name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,blockedScoringAttempt,challengeLost,shotOffTarget,clearanceOffLine,outfielderBlock,sofascoreId,goalAssist,accurateCross,totalContest,bigChanceCreated,keyPass,firstName,lastName,wonContest,onTargetScoringAttempt,totalOffside,goals,bigChanceMissed,aerialLost,ownGoals
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",8.0,6.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,,,,,45.0,16.0,6.7,6.0,0.016,0.3437,0.328555,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,1.0,1.0,,,,3.0,,,,,,,,EvanFerguson9,,,,,1.0,,,,1.0,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",11.0,8.0,,,4.0,6.0,4.0,5.0,4.0,,,,,45.0,22.0,8.3,8.0,0.7223,1.7894,0.0156317,"{'original': 8.3, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,3.0,3.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,KaoruM,,,2.0,,,,,,2.0,,2.0,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",21.0,21.0,2.0,2.0,12.0,12.0,9.0,9.0,3.0,,,,,45.0,30.0,6.3,4.0,0.6169,0.0,0.0460211,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,6.0,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,AnsuFati,,,1.0,,,,,,,,,1.0,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",9.0,9.0,,,1.0,1.0,8.0,8.0,1.0,,,,,27.0,24.0,7.1,4.0,0.0777,0.0,0.0901093,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,5.0,9.0,2.0,1.0,,1.0,,2.0,3.0,,1.0,2.0,,,,joaopedro,,,4.0,,1.0,,,4.0,,,,,1.0,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",8.0,8.0,,,3.0,3.0,5.0,5.0,1.0,,,,,16.0,13.0,6.8,1.0,0.0,0.0,0.0030078,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,4.0,1.0,,,4.0,2.0,,,,,1.0,,,,carlos_baleba,,,,,,,,,,,,,,
Tariq Lamptey,lamptey-tariq,T. Lamptey,D,48,165,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,10.0,7.0,6.3,2.0,0.0,0.0,0.00266282,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,1.0,,,,,,1.0,1.0,,,1.0,,,,TariqLamptey,,,1.0,,,,,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solly March,solly-march,S. March,M,7,180,1260,M,301288,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,774662400,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سولي مارتش', 'hi': 'सोली मार्च', 'bn': 'সলি মার্চ'}, 'shortNameTranslation': {'ar': 'س. مارتش', 'hi': 'एस. मार्च', 'bn': 'এস. মার্চ'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
