name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,blockedScoringAttempt,hitWoodwork,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,totalCross,accurateCross,challengeLost,dispossessed,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,firstName,lastName,totalContest,wonContest,bigChanceMissed,sofascoreId,goalAssist,totalOffside,goodHighClaim
Rasmus Højlund,rasmus-hojlund,R. Højlund,F,19,191,71511,M,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",18.0,13.0,,,6.0,9.0,7.0,9.0,,5.0,,,,,90.0,40.0,6.1,13.0,0.00916781,1.0,"{'original': 6.1, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,1.0,14.0,2.0,,,,5.0,,,,4.0,1.0,4.0,0.1564,,,,4.0,1.0,,,0.2657,,,,,1.0,RHøjlund,,1.0,
Harry Maguire,harry-maguire,H. Maguire,D,5,194,27440,M,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",13.0,9.0,2.0,1.0,7.0,10.0,2.0,3.0,,,,,,,45.0,26.0,6.8,4.0,0.00119021,,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,3.0,,1.0,,8.0,,,,,,,0.1055,,,,,,,1.0,,,,,,,harrymaguire93,,,
Antony,antony,Antony,M,7,172,222476,M,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",7.0,5.0,,,3.0,4.0,2.0,3.0,,,,,,,31.0,14.0,6.5,3.0,0.0212222,,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,,0.0221,,,,,,,,,,,1.0,,,Antony,,,
Lisandro Martínez,lisandro-martinez,L. Martínez,D,6,175,51098,M,859999,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,885081600,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليساندرو مارتينيز', 'hi': 'लिसांड्रो मार्टिनेज', 'bn': 'লিসান্দ্রো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'hi': 'एल. मार्टिनेज', 'bn': 'এল. মার্টিনেজ'}}",10.0,8.0,2.0,,7.0,9.0,1.0,1.0,,2.0,,,,,21.0,13.0,6.2,2.0,0.00020438,,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,LichaMartínez,,,
Mason Mount,mason-mount,M. Mount,M,7,181,42056,M,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,,10.0,11.0,7.1,3.0,0.00092214,,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,4.0,3.0,,,,1.0,,,,,2.0,1.0,0.1137,,,,,1.0,1.0,,0.873,,,2.0,,,MMount,,,
Casemiro,casemiro,Casemiro,M,18,185,88452,M,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",15.0,11.0,1.0,1.0,7.0,7.0,4.0,8.0,1.0,3.0,,,,,10.0,17.0,7.1,4.0,0.060727,1.0,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,,,,1.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,Casemiro,1.0,,
Tom Heaton,tom-heaton,T. Heaton,G,22,188,5775,M,18122,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,513907200,"{'value': 140000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم هيتون', 'hi': 'टॉम हेटन', 'bn': 'টম হিটন'}, 'shortNameTranslation': {'ar': 'ت. هيتون', 'hi': 'टी. हेटन', 'bn': 'টি. হিটন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomheatongk,,,
Willy Kambwala,kambwala-willy,W. Kambwala,D,5,192,2092,M,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,Willy Kambwala,,,,,,,,
Sofyan Amrabat,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofyanamrabat,,,
Christian Eriksen,christian-eriksen,C. Eriksen,M,24,182,22138,M,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chriseriksen8,,,
