name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,fouls,expectedGoals,aerialWon,onTargetScoringAttempt,goals,outfielderBlock,unsuccessfulTouch,expectedGoalsOnTarget,firstName,lastName,blockedScoringAttempt,totalContest,wonContest,wonTackle,wasFouled,totalCross,goalAssist,bigChanceCreated,keyPass,totalOffside,bigChanceMissed,hitWoodwork,accurateCross,punches,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",13.0,6.0,,,2.0,5.0,4.0,8.0,,7.0,,,89.0,30.0,7.1,15.0,0.0170873,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,8.0,8.0,,4.0,,,4.0,1.0,0.6711,2.0,2.0,1.0,,2.0,0.1708,Nicolas Jackson,,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",5.0,2.0,,,1.0,1.0,1.0,4.0,,,,,15.0,6.0,6.6,3.0,0.00015992,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Josh Acheampong,josh-acheampong,J. Acheampong,D,34,190,13291,M,joshkofi2,1403050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146787200,"{'value': 19300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش أتشيمبونج', 'hi': 'जोश अचेमपोंग', 'bn': 'জোশ আচেম্পং'}, 'shortNameTranslation': {'ar': 'ج. أتشيمبونج', 'hi': 'जे. अचेमपोंग', 'bn': 'জে. আচেম্পং'}}",1.0,,1.0,,,,,1.0,,1.0,,,12.0,6.0,7.0,1.0,0.00030691,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,,,,,,,,,,,3.0,,,Josh Acheampong,,,,,,,,,,,,,,,,,,
Jimi Tauriainen,jimi-tauriainen,J. Tauriainen,M,42,188,628,M,,1391111,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1078790400,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي توريانين'}, 'shortNameTranslation': {'ar': 'ج. توريانين'}}",,,,,,,,,,,,,1.0,1.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,Jimi Tauriainen,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zak Sturge,zak-sturge,Z. Sturge,D,3,188,311,M,,1092974,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1087257600,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زاك ستورج'}, 'shortNameTranslation': {'ar': 'ز. ستورج'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Castledine,leo-castledine,L. Castledine,M,24,175,1205,M,,1142185,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1124496000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليو كاستيديني', 'hi': 'लियो कैसलडाइन', 'bn': 'লিও ক্যাসলেডাইন'}, 'shortNameTranslation': {'ar': 'ل. كاستيديني', 'hi': 'एल. कैसलडाइन', 'bn': 'এল. ক্যাসলেডাইন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrique George,tyrique-george,T. George,M,32,181,10535,M,,1403061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1139011200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايريك جورج', 'hi': 'टायरिक जॉर्ज', 'bn': 'টাইরিক জর্জ'}, 'shortNameTranslation': {'ar': 'ت. جورج', 'hi': 'टी. जॉर्ज', 'bn': 'টি. জর্জ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,Tyrique George,,,,,,,,,,,,,,,,,,
Kiano Dyer,dyer-kiano,K. Dyer,M,33,178,1543,M,,1402736,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1164067200,,"{'nameTranslation': {'ar': 'داير، كيانوا'}, 'shortNameTranslation': {'ar': 'ك. داير'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,Kiano Dyer,,,,,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,Deivid Washington,,,,,,,,,,,,,,,,,,
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",27.0,25.0,2.0,,24.0,26.0,1.0,1.0,1.0,7.0,1.0,2.0,90.0,33.0,6.6,3.0,0.0002824,"{'original': 6.6, 'alternative': 6.4}",0,-1.2525,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",60.0,50.0,2.0,,12.0,14.0,40.0,56.0,,7.0,,,90.0,96.0,7.1,20.0,0.271541,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,3.0,3.0,,,1.0,2.0,2.0,0.0301,,1.0,,,,0.0229,,,,1.0,,1.0,1.0,10.0,,1.0,2.0,,,,2.0,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",69.0,61.0,5.0,1.0,37.0,39.0,24.0,30.0,3.0,6.0,,,90.0,81.0,6.6,9.0,0.0243787,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,5.0,7.0,1.0,,1.0,1.0,1.0,1.0,0.2799,4.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",76.0,71.0,1.0,1.0,48.0,50.0,23.0,26.0,3.0,5.0,,,90.0,93.0,7.5,7.0,0.0141439,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,6.0,6.0,,2.0,,1.0,3.0,2.0,,1.0,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,1.0
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",54.0,47.0,1.0,1.0,23.0,28.0,24.0,27.0,,5.0,,,86.0,69.0,6.3,10.0,0.0249185,"{'original': 6.3, 'alternative': 5.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,9.0,3.0,6.0,,1.0,,2.0,1.0,0.0408,,,,,1.0,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",52.0,47.0,7.0,6.0,22.0,25.0,25.0,27.0,1.0,4.0,,,63.0,63.0,7.0,9.0,0.038592,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,5.0,2.0,1.0,,,2.0,,,1.0,,,,3.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",30.0,26.0,,,9.0,9.0,18.0,23.0,1.0,5.0,,,63.0,43.0,7.0,7.0,0.0643814,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,,1.0,1.0,3.0,,2.0,0.2541,,,,,1.0,,,,1.0,1.0,1.0,,,2.0,,,1.0,,,,1.0,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",30.0,22.0,,,3.0,3.0,19.0,32.0,,2.0,,,78.0,51.0,6.4,18.0,0.101547,"{'original': 6.4, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,1.0,,,1.0,1.0,,1.0,0.2468,,,,1.0,,,,,1.0,6.0,1.0,,,5.0,,,1.0,,1.0,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",38.0,30.0,1.0,,8.0,8.0,22.0,31.0,,,,,90.0,51.0,6.4,15.0,0.177667,"{'original': 6.4, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,10.0,1.0,1.0,4.0,,2.0,1.0,4.0,0.1031,,,,,1.0,,,,1.0,,,,,1.0,,,2.0,,,,,,,,
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",30.0,24.0,,,6.0,7.0,18.0,24.0,,2.0,,,90.0,42.0,7.2,11.0,0.126872,"{'original': 7.2, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,5.0,,2.0,,,1.0,,,,,,,1.0,,,,,2.0,1.0,1.0,3.0,1.0,,,3.0,2.0,,,,,,,
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",11.0,8.0,,,2.0,2.0,6.0,9.0,2.0,1.0,,,63.0,19.0,6.8,5.0,0.00800766,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,3.0,,,,,,1.0,0.1413,,,,,2.0,,,,1.0,,,,3.0,,,,,,,,,,,,
