Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,xG Diff,Goal,xGOT,NPxG,ExpG,ShtIncBl,Touches_in_Op_Box_%,TouchOpBox,TchsA3%,TchsA3,FldTilt,Poss%,PsCmp,PsAtt,Touches,PPDA,HighTurnovers,Sequences start D3 end A3,DirectSpeed,AvgSeqPass,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
7,3cwjdmekfdouwg990mqdq9fh0,835,Paraguay,Paraguay,PAR,Paraguay,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.89,1,0.42,0.53,0.53,9,2.2%,11,10.7%,54,19.5%,35.0%,232,319,503,12.34,7,4,1.33,2.5,835,1,USA vs PAR,false,true,false,false,true,2026-06-13,49wa9ymnt0trv2mjruak556ok,9vh2u1p4ppm597tjfahst2m3n,596,596,Paraguay,United States,USA,1,4,Played,L 1-4,2608247,USA vs PAR (2026-06-13)
7,avggs3u2b5cu8i1dnzknhth52,1057,Morocco,Morocco,MAR,Morocco,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.11,1,0.74,1.37,1.37,14,1.9%,13,27.2%,188,60.6%,48.5%,419,486,690,19.14,12,4,0.53,3.6,1057,1,BRA vs MAR,false,true,false,true,false,2026-06-13,ar8b186wqraa80u0vpi2e4nis,ajab3nmpoltsoeqcuoyi4pwzx,614,614,Morocco,Brazil,BRA,1,1,Played,T 1-1,2608245,BRA vs MAR (2026-06-13)
13,39d8zamp9tvg3wc51jxc2a1c0,1221,Côte d'Ivoire,Côte d'Ivoire,CIV,Côte d'Ivoire,#FF9900,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.51,1,1.22,1.52,1.52,15,5.9%,39,22.9%,152,51.3%,48.5%,397,470,663,21.89,8,10,1.40,3.6,1221,1,CIV vs ECU,true,false,true,false,false,2026-06-14,ddupm8zbfndp54r8uru3obf9w,2j2402oabiovxw24cnjk9m369,830,830,Côte d'Ivoire,Ecuador,ECU,1,0,Played,W 1-0,2608250,CIV vs ECU (2026-06-14)
13,3l2t2db0c5ow2f7s7bhr6mij4,357,Germany,Germany,GER,Germany,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,3.81,7,5.24,3.43,4.22,26,7.9%,64,33.9%,276,78.6%,64.7%,554,637,814,6.06,15,12,1.40,4.7,357,1,GER vs CUW,true,false,true,false,false,2026-06-14,cjc09ujyfc1ks4blsyl8hbfv8,3csexoalt9hfesmo2p4619ga4,6512,6512,Germany,Curaçao,CUW,7,1,Played,W 7-1,2608249,GER vs CUW (2026-06-14)
13,657oha8nkne1ybba2bouzkbo7,366,Netherlands,Netherlands,NED,Netherlands,#FF6600,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.20,2,2.16,0.78,0.78,10,4.8%,33,28.7%,196,59.4%,59.5%,463,524,684,17.07,5,4,0.99,5.0,366,1,NED vs JPN,true,false,false,true,false,2026-06-14,424kyd0drjm51x8dsauowgpp0,6duaxcbrofil112qfq4v895go,1266,1266,Netherlands,Japan,JPN,2,2,Played,T 2-2,2608251,NED vs JPN (2026-06-14)
13,9s2kpeunkes0g17l95r3t91j6,362,Türkiye,Türkiye,TUR,Türkiye,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.18,0,1.46,1.36,1.36,30,5.6%,51,42.4%,387,82.1%,71.3%,635,704,913,10.00,11,13,1.33,5.1,362,1,AUS vs TUR,false,true,false,false,true,2026-06-14,5d1c5lu90p9hhk82c0kcp05qs,bl4fd8cxe6kjvjx8br82gkhnq,575,575,Türkiye,Australia,AUS,0,2,Played,L 0-2,2608248,AUS vs TUR (2026-06-14)
13,2j2402oabiovxw24cnjk9m369,830,Ecuador,Ecuador,ECU,Ecuador,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.51,0,0.03,1.01,1.01,12,2.4%,16,20.5%,137,48.7%,51.5%,419,492,668,8.61,13,6,0.89,3.9,830,1,CIV vs ECU,false,true,false,false,true,2026-06-14,ddupm8zbfndp54r8uru3obf9w,39d8zamp9tvg3wc51jxc2a1c0,1221,1221,Ecuador,Côte d'Ivoire,CIV,0,1,Played,L 0-1,2608250,CIV vs ECU (2026-06-14)
13,151psmk1h1c846f2lqmflkx75,1327,Haiti,Haiti,HAI,Haiti,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.00,0,0.22,1.05,1.05,15,3.6%,22,24.2%,147,57.8%,53.0%,368,431,608,9.36,9,16,1.47,3.8,1327,1,HAI vs SCO,true,false,false,false,true,2026-06-14,cydmo9vjfyvaefav6t1531xck,bcllqlzvj9j7opjene2zvran7,115,115,Haiti,Scotland,SCO,0,1,Played,L 0-1,2608246,HAI vs SCO (2026-06-14)
13,bl4fd8cxe6kjvjx8br82gkhnq,575,Australia,Australia,AUS,Australia,#FFCC00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.18,2,1.08,1.18,1.18,9,3.6%,18,19.7%,98,17.9%,28.7%,201,271,498,20.69,6,5,1.28,2.6,575,1,AUS vs TUR,true,false,true,false,false,2026-06-14,5d1c5lu90p9hhk82c0kcp05qs,9s2kpeunkes0g17l95r3t91j6,362,362,Australia,Türkiye,TUR,2,0,Played,W 2-0,2608248,AUS vs TUR (2026-06-14)
13,bcllqlzvj9j7opjene2zvran7,115,Scotland,Scotland,SCO,Scotland,#0000CC,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.00,1,1.18,1.05,1.05,9,3.9%,21,18.9%,103,42.2%,47.0%,307,374,545,13.33,8,11,1.75,3.4,115,1,HAI vs SCO,false,true,true,false,false,2026-06-14,cydmo9vjfyvaefav6t1531xck,151psmk1h1c846f2lqmflkx75,1327,1327,Scotland,Haiti,HAI,1,0,Played,W 1-0,2608246,HAI vs SCO (2026-06-14)
13,6duaxcbrofil112qfq4v895go,1266,Japan,Japan,JPN,Japan,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.20,2,1.32,0.59,0.59,10,3.8%,19,26.9%,136,40.6%,40.5%,286,341,506,23.69,1,3,1.15,3.4,1266,1,NED vs JPN,false,true,false,true,false,2026-06-14,424kyd0drjm51x8dsauowgpp0,657oha8nkne1ybba2bouzkbo7,366,366,Japan,Netherlands,NED,2,2,Played,T 2-2,2608251,NED vs JPN (2026-06-14)
13,3csexoalt9hfesmo2p4619ga4,6512,Curaçao,Curaçao,CUW,Curaçao,,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-3.81,1,0.50,0.41,0.41,8,1.8%,10,14.5%,81,21.4%,35.3%,282,343,557,20.56,7,4,1.15,2.9,6512,1,GER vs CUW,false,true,false,false,true,2026-06-14,cjc09ujyfc1ks4blsyl8hbfv8,3l2t2db0c5ow2f7s7bhr6mij4,357,357,Curaçao,Germany,GER,1,7,Played,L 1-7,2608249,GER vs CUW (2026-06-14)
23,eh7yt2x2wck51oixw8012ux5j,118,Spain,Spain,ESP,Spain,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.90,0,1.45,2.10,2.10,27,5.2%,51,54.4%,537,92.7%,73.8%,734,800,987,7.55,29,20,1.26,5.7,118,1,ESP vs CPV,true,false,false,true,false,2026-06-15,66cem7lh6o8ckkfxp4tao7o5w,1iq69zi4oze3oh0cis0s5wb7o,1529,1529,Spain,Cabo Verde,CPV,0,0,Played,T 0-0,2608255,ESP vs CPV (2026-06-15)
23,4w1ktgu1nbbgqfe3ssbb4fg5v,361,Sweden,Sweden,SWE,Sweden,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.06,5,2.12,1.33,1.33,13,4.2%,22,27.7%,144,50.0%,48.9%,278,356,520,13.62,14,13,1.48,2.8,361,1,SWE vs TUN,true,false,true,false,false,2026-06-15,4v4v3ge0g7tm1w9uzpoehmzh0,ctp7ovvf34m7fzshua9ogbr6i,1224,1224,Sweden,Tunisia,TUN,5,1,Played,W 5-1,2608252,SWE vs TUN (2026-06-15)
23,pfvmhackqyhhk02majd2tb8l,360,Belgium,Belgium,BEL,Belgium,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.27,1,0.64,1.35,1.35,15,4.5%,31,33.5%,229,68.2%,53.9%,391,455,684,8.15,13,8,1.47,3.6,360,1,BEL vs EGY,true,false,false,true,false,2026-06-15,aw4mhrfav7b5r7d4lc6dwz1g4,3669sbeijslw88073qlw1cbcp,1225,1225,Belgium,Egypt,EGY,1,1,Played,T 1-1,2608253,BEL vs EGY (2026-06-15)
23,9l06impjllgop0gte8fldb4zo,837,Uruguay,Uruguay,URU,Uruguay,#3399FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.06,1,1.68,1.72,1.72,27,5.0%,41,34.5%,281,73.6%,66.2%,540,612,815,11.95,8,13,1.05,4.5,837,1,KSA vs URU,false,true,false,true,false,2026-06-15,6zuh8kndp7mz2j33tqajmos2c,9l4imoomrnyceg5u3kdxf5l5r,1264,1264,Uruguay,Saudi Arabia,KSA,1,1,Played,T 1-1,2608256,KSA vs URU (2026-06-15)
23,9l4imoomrnyceg5u3kdxf5l5r,1264,Saudi Arabia,Saudi Arabia,KSA,Saudi Arabia,#008000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.06,1,0.65,0.66,0.66,7,2.0%,10,17.0%,84,26.4%,33.8%,236,322,494,17.38,10,3,0.99,2.8,1264,1,KSA vs URU,true,false,false,true,false,2026-06-15,6zuh8kndp7mz2j33tqajmos2c,9l06impjllgop0gte8fldb4zo,837,837,Saudi Arabia,Uruguay,URU,1,1,Played,T 1-1,2608256,KSA vs URU (2026-06-15)
23,ctp7ovvf34m7fzshua9ogbr6i,1224,Tunisia,Tunisia,TUN,Tunisia,#ed001a,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.06,1,0.35,0.28,0.28,6,1.9%,10,21.0%,111,50.0%,51.1%,292,371,529,18.79,2,7,1.93,3.0,1224,1,SWE vs TUN,false,true,false,false,true,2026-06-15,4v4v3ge0g7tm1w9uzpoehmzh0,4w1ktgu1nbbgqfe3ssbb4fg5v,361,361,Tunisia,Sweden,SWE,1,5,Played,L 1-5,2608252,SWE vs TUN (2026-06-15)
23,3669sbeijslw88073qlw1cbcp,1225,Egypt,Egypt,EGY,Egypt,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.27,1,0.61,1.08,1.08,14,4.5%,27,19.7%,119,31.8%,46.1%,323,398,605,10.08,9,7,1.33,3.2,1225,1,BEL vs EGY,false,true,false,true,false,2026-06-15,aw4mhrfav7b5r7d4lc6dwz1g4,pfvmhackqyhhk02majd2tb8l,360,360,Egypt,Belgium,BEL,1,1,Played,T 1-1,2608253,BEL vs EGY (2026-06-15)
23,1iq69zi4oze3oh0cis0s5wb7o,1529,Cabo Verde,Cabo Verde,CPV,Cabo Verde,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.90,0,0.13,0.20,0.20,6,1.2%,6,5.3%,26,7.3%,26.2%,205,278,492,96.33,1,5,1.30,2.5,1529,1,ESP vs CPV,false,true,false,true,false,2026-06-15,66cem7lh6o8ckkfxp4tao7o5w,eh7yt2x2wck51oixw8012ux5j,118,118,Cabo Verde,Spain,ESP,0,0,Played,T 0-0,2608255,ESP vs CPV (2026-06-15)
31,4pz87gsel7183b7kcadw1dwzv,368,France,France,FRA,France,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.23,3,2.06,1.79,1.79,11,2.6%,19,19.1%,139,53.7%,52.8%,505,575,727,17.70,11,18,1.22,4.7,368,1,FRA vs SEN,true,false,true,false,false,2026-06-16,cqsflhc7vaul90l2d4ipzzzmc,2wk1549tkz80oet8226euj7jp,1226,1226,France,Senegal,SEN,3,1,Played,W 3-1,2608257,FRA vs SEN (2026-06-16)
31,e1vf7kzswllumuykwezkrbo70,363,Norway,Norway,NOR,Norway,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.72,4,2.65,2.52,2.52,12,3.5%,25,21.1%,150,57.4%,61.3%,477,537,710,8.87,10,8,0.94,4.6,363,1,IRQ vs NOR,false,true,true,false,false,2026-06-16,dk9nrrzts19sez2hpbxx7soic,7u6a9femhquay3jnk6ysgiwx9,1800,1800,Norway,Iraq,IRQ,4,1,Played,W 4-1,2608258,IRQ vs NOR (2026-06-16)
31,2wk1549tkz80oet8226euj7jp,1226,Senegal,Senegal,SEN,Senegal,#009933,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.23,1,0.17,0.56,0.56,6,1.9%,13,15.9%,107,46.3%,47.2%,430,502,675,26.06,10,9,1.40,3.9,1226,1,FRA vs SEN,false,true,false,false,true,2026-06-16,cqsflhc7vaul90l2d4ipzzzmc,4pz87gsel7183b7kcadw1dwzv,368,368,Senegal,France,FRA,1,3,Played,L 1-3,2608257,FRA vs SEN (2026-06-16)
31,7u6a9femhquay3jnk6ysgiwx9,1800,Iraq,Iraq,IRQ,Iraq,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.72,1,0.60,0.80,0.80,11,3.6%,18,18.1%,92,42.6%,38.7%,271,334,507,22.20,7,6,1.09,3.1,1800,1,IRQ vs NOR,true,false,false,false,true,2026-06-16,dk9nrrzts19sez2hpbxx7soic,e1vf7kzswllumuykwezkrbo70,363,363,Iraq,Norway,NOR,1,4,Played,L 1-4,2608258,IRQ vs NOR (2026-06-16)
31,cubclbw5k5gdqdau95bnav0nn,1042,IR Iran,IR Iran,IRN,Iran,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.26,2,1.72,1.50,1.50,17,4.1%,25,21.9%,133,52.6%,49.0%,314,409,606,14.28,10,6,1.40,2.9,1042,1,IRN vs NZL,true,false,false,true,false,2026-06-16,c4kuk30dj016i6gjwxw4clnh0,bhu61cgwm07e2pik1jqmnztgl,1804,1804,IR Iran,New Zealand,NZL,2,2,Played,T 2-2,2608254,IRN vs NZL (2026-06-16)
31,bhu61cgwm07e2pik1jqmnztgl,1804,New Zealand,New Zealand,NZL,New Zealand,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.26,2,1.00,1.24,1.24,14,3.2%,21,21.2%,138,47.4%,51.0%,376,446,651,10.87,10,10,1.64,3.3,1804,1,IRN vs NZL,false,true,false,true,false,2026-06-16,c4kuk30dj016i6gjwxw4clnh0,cubclbw5k5gdqdau95bnav0nn,1042,1042,New Zealand,IR Iran,IRN,2,2,Played,T 2-2,2608254,IRN vs NZL (2026-06-16)
37,ck8m1cn23sukwsurgx5qakttk,114,England,England,ENG,England,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,2.52,4,3.33,2.44,3.22,22,5.9%,38,17.3%,111,48.2%,51.5%,406,474,641,13.23,8,7,0.78,3.9,114,1,ENG vs CRO,true,false,true,false,false,2026-06-17,jx85i5ao3wvsb8opsu0ic1sk,4njsfszcgd9m765d6suktsz2a,535,535,England,Croatia,CRO,4,2,Played,W 4-2,2608263,ENG vs CRO (2026-06-17)
37,4njsfszcgd9m765d6suktsz2a,535,Croatia,Croatia,CRO,Croatia,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-2.52,2,0.51,0.70,0.70,10,2.7%,16,18.9%,113,51.8%,48.5%,381,443,598,20.75,11,4,0.89,4.1,535,1,ENG vs CRO,false,true,false,false,true,2026-06-17,jx85i5ao3wvsb8opsu0ic1sk,ck8m1cn23sukwsurgx5qakttk,114,114,Croatia,England,ENG,2,4,Played,L 2-4,2608263,ENG vs CRO (2026-06-17)
37,61g4epojd5f198lv1sje27yh3,515,Austria,Austria,AUT,Austria,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.23,3,1.29,0.90,1.69,11,3.6%,28,22.7%,177,59.9%,62.7%,487,580,780,6.45,13,9,1.17,4.1,515,1,AUT vs JOR,true,false,true,false,false,2026-06-17,67uqo1wgdcka1yxqltbiqxn9w,btn8ibf55ovz7y252vdiprbip,1843,1843,Austria,Jordan,JOR,3,1,Played,W 3-1,2608260,AUT vs JOR (2026-06-17)
37,9bix8nlt6cgbson25qntg2zzh,1219,Ghana,Ghana,GHA,Ghana,#CC0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.52,1,1.04,1.25,1.25,7,2.5%,14,20.1%,113,39.1%,38.4%,292,352,563,25.32,8,9,1.87,2.8,1219,1,GHA vs PAN,true,false,true,false,false,2026-06-17,1ewge3gy7siiimkd64tawg1zo,8856r86rattc8kxn6a0l9tb2t,1869,1869,Ghana,Panama,PAN,1,0,Played,W 1-0,2608264,GHA vs PAN (2026-06-17)
37,8gxg8f7p9299jbrz30u8bsc7g,359,Portugal,Portugal,POR,Portugal,#CC0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.22,1,0.53,0.65,0.65,7,3.1%,29,25.2%,237,74.1%,74.8%,724,783,939,7.22,6,18,0.97,6.6,359,1,POR vs COD,true,false,false,true,false,2026-06-17,aa59tfi9hkmjec05olroia13o,dd4ko7d3muqheb54u1s9k39p3,1222,1222,Portugal,Congo DR,COD,1,1,Played,T 1-1,2608261,POR vs COD (2026-06-17)
37,ak48fkypnql8y4n69cvcq5ghc,632,Argentina,Argentina,ARG,Argentina,#99FFFF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.94,3,2.22,1.26,1.26,10,1.7%,12,13.1%,92,35.1%,47.5%,504,561,702,20.00,4,11,0.86,5.3,632,1,ARG vs ALG,true,false,true,false,false,2026-06-17,55108ze2r7d8dgkmcauepuhp0,cbx8lz7loz866tsoawwrpxyl9,1215,1215,Argentina,Algeria,ALG,3,0,Played,W 3-0,2608259,ARG vs ALG (2026-06-17)
37,8856r86rattc8kxn6a0l9tb2t,1869,Panama,Panama,PAN,Panama,#0033FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.52,0,1.36,0.73,0.73,11,2.5%,19,19.0%,147,60.9%,61.6%,503,583,775,10.63,9,12,1.13,4.4,1869,1,GHA vs PAN,false,true,false,false,true,2026-06-17,1ewge3gy7siiimkd64tawg1zo,9bix8nlt6cgbson25qntg2zzh,1219,1219,Panama,Ghana,GHA,0,1,Played,L 0-1,2608264,GHA vs PAN (2026-06-17)
37,dd4ko7d3muqheb54u1s9k39p3,1222,Congo DR,Congo DR,COD,Congo DR,#0000ff,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.22,1,0.97,0.87,0.87,8,2.4%,10,22.0%,92,25.9%,25.2%,195,249,418,32.25,5,7,1.58,2.8,1222,1,POR vs COD,false,true,false,true,false,2026-06-17,aa59tfi9hkmjec05olroia13o,8gxg8f7p9299jbrz30u8bsc7g,359,359,Congo DR,Portugal,POR,1,1,Played,T 1-1,2608261,POR vs COD (2026-06-17)
37,cbx8lz7loz866tsoawwrpxyl9,1215,Algeria,Algeria,ALG,Algeria,#00CC00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.94,0,0.00,0.32,0.32,7,1.8%,14,25.8%,200,64.9%,52.5%,563,609,775,16.14,19,8,0.87,5.7,1215,1,ARG vs ALG,false,true,false,false,true,2026-06-17,55108ze2r7d8dgkmcauepuhp0,ak48fkypnql8y4n69cvcq5ghc,632,632,Algeria,Argentina,ARG,0,3,Played,L 0-3,2608259,ARG vs ALG (2026-06-17)
37,btn8ibf55ovz7y252vdiprbip,1843,Jordan,Jordan,JOR,Jordan,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.23,1,1.18,0.46,0.46,11,3.8%,21,22.3%,123,40.1%,37.3%,241,332,551,18.68,5,5,1.40,2.5,1843,1,AUT vs JOR,false,true,false,false,true,2026-06-17,67uqo1wgdcka1yxqltbiqxn9w,61g4epojd5f198lv1sje27yh3,515,515,Jordan,Austria,AUT,1,3,Played,L 1-3,2608260,AUT vs JOR (2026-06-17)
47,eg7vduna0h3vis1wd47s41za7,597,Canada,Canada,CAN,Canada,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,4.38,6,4.85,4.60,4.60,32,12.5%,97,64.3%,497,93.4%,78.7%,515,567,773,6.96,15,17,1.63,4.0,597,2,CAN vs QAT,true,false,true,false,false,2026-06-18,3luqmzpzk0qoh2tc96utv0ges,ea68amhsn28ijs7bzjuzeqrz6,1873,1873,Canada,Qatar,QAT,6,0,Played,W 6-0,2608267,CAN vs QAT (2026-06-18)
47,ea68amhsn28ijs7bzjuzeqrz6,1873,Qatar,Qatar,QAT,Qatar,#990000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-4.38,0,0.00,0.22,0.22,2,0.3%,1,7.5%,26,6.6%,21.3%,104,162,348,29.00,1,3,1.32,2.0,1873,2,CAN vs QAT,false,true,false,false,true,2026-06-18,3luqmzpzk0qoh2tc96utv0ges,eg7vduna0h3vis1wd47s41za7,597,597,Qatar,Canada,CAN,0,6,Played,L 0-6,2608267,CAN vs QAT (2026-06-18)
