Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Shot,Goal,GoalOP,GoalSetPly,xG,xGOT,SGA,OpnPlySOT,SOT,OFF,ShotExcBlk,Blkd,OnTarget%,ShotConv,MinPerGoal,%ShotHead,%ShotInBox,%ShtOutBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra,optaTeamId,teamId,Team
1393,4omwvnw9p46nfg7by0amh2hh,198705,J. Souttar,John Souttar,,115,Scotland,Scotland,SCO,bcllqlzvj9j7opjene2zvran7,Scotland,#0000CC,70excpe1synn9kadnbppahdn7,FIFA World Cup,149469,John,Souttar,,0,0,29,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,SCO vs MAR,true,false,false,false,true,2026-06-19,exuljwp9gd116hkf5sox4q5g4,avggs3u2b5cu8i1dnzknhth52,1057,1057,Scotland,Morocco,MAR,0,1,Played,L 0-1,2608270,SCO vs MAR (2026-06-19),115,bcllqlzvj9j7opjene2zvran7,Scotland
1393,a56vzlwv6aa1kwlgidrkjjhii,504450,J. Italiano,Jacob Italiano,Right Wing Back,575,Australia,Australia,AUS,bl4fd8cxe6kjvjx8br82gkhnq,Australia,#FFCC00,70excpe1synn9kadnbppahdn7,FIFA World Cup,439197,Jacob,Italiano,Right Wing Back,1,90,24,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,false,true,false,false,true,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,9vh2u1p4ppm597tjfahst2m3n,596,596,Australia,United States,USA,0,2,Played,L 0-2,2608271,USA vs AUS (2026-06-19),575,bl4fd8cxe6kjvjx8br82gkhnq,Australia
1393,5nsag404623qznyyizl8yuwkq,572615,C. Richards,Chris Richards,Central Defender,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,427623,Chris,Richards,Central Defender,1,90,26,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,dxmulnxbs11kpi1goq5hl9cve,363962,A. Salah-Eddine,Anass Salah-Eddine,,1057,Morocco,Morocco,MAR,avggs3u2b5cu8i1dnzknhth52,Morocco,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup,441279,Anass,Salah-Eddine,,0,0,24,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,SCO vs MAR,false,true,true,false,false,2026-06-19,exuljwp9gd116hkf5sox4q5g4,bcllqlzvj9j7opjene2zvran7,115,115,Morocco,Scotland,SCO,1,0,Played,W 1-0,2608270,SCO vs MAR (2026-06-19),1057,avggs3u2b5cu8i1dnzknhth52,Morocco
1393,4mxrkb4p79yloyybxgc4z6f2t,195916,A. Tagnaouti,Ahmed Reda Tagnaouti,,1057,Morocco,Morocco,MAR,avggs3u2b5cu8i1dnzknhth52,Morocco,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup,172903,Ahmed Reda,Tagnaouti,,0,0,30,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,SCO vs MAR,false,true,true,false,false,2026-06-19,exuljwp9gd116hkf5sox4q5g4,bcllqlzvj9j7opjene2zvran7,115,115,Morocco,Scotland,SCO,1,0,Played,W 1-0,2608270,SCO vs MAR (2026-06-19),1057,avggs3u2b5cu8i1dnzknhth52,Morocco
1393,4d629fx1hhv4b5u3ajgz86ay1,580616,Kim Moon-Hwan,Kim Moon-Hwan,Right Midfielder,1041,Korea Republic,Korea Rep,KOR,1yghbv1c71b37eenutbwnvvq,Korea Republic,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup,184767,Moon-Hwan,Kim,Right Midfielder,1,71,30,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,MEX vs KOR,false,true,false,false,true,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,4vofb84dzb5fyc81n2ssws6ah,659,659,Korea Republic,Mexico,MEX,0,1,Played,L 0-1,2608265,MEX vs KOR (2026-06-19),1041,1yghbv1c71b37eenutbwnvvq,Korea Republic
1393,1igjz2w9dr9mj5f4ade5plsve,532477,C. Metcalfe,Connor Metcalfe,Left Midfielder,575,Australia,Australia,AUS,bl4fd8cxe6kjvjx8br82gkhnq,Australia,#FFCC00,70excpe1synn9kadnbppahdn7,FIFA World Cup,431915,Connor,Metcalfe,Left Midfielder,1,45,26,1,0,0,0,0.04,0.06,0.02,1,1,0,1,0,100.0%,0.0%,0.0,0.0%,0.0%,100.0%,2,USA vs AUS,false,true,false,false,true,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,9vh2u1p4ppm597tjfahst2m3n,596,596,Australia,United States,USA,0,2,Played,L 0-2,2608271,USA vs AUS (2026-06-19),575,bl4fd8cxe6kjvjx8br82gkhnq,Australia
1393,1cyhpfi77dom7gmpuownxlcrt,506478,L. Romo,Luis Romo,Central Midfielder,659,Mexico,Mexico,MEX,4vofb84dzb5fyc81n2ssws6ah,Mexico,#009933,70excpe1synn9kadnbppahdn7,FIFA World Cup,234788,Luis,Romo,Central Midfielder,1,71,31,1,1,1,0,0.07,0.22,0.15,1,1,0,1,0,100.0%,100.0%,71.0,0.0%,100.0%,0.0%,2,MEX vs KOR,true,false,true,false,false,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,1yghbv1c71b37eenutbwnvvq,1041,1041,Mexico,Korea Republic,KOR,1,0,Played,W 1-0,2608265,MEX vs KOR (2026-06-19),659,4vofb84dzb5fyc81n2ssws6ah,Mexico
1393,emglxnqrlqskt8krglv7sziwa,624137,R. Pepi,Ricardo Pepi,Centre Forward,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,439742,Ricardo,Pepi,Centre Forward,1,74,23,2,0,0,0,0.11,0.00,-0.11,0,0,1,1,1,0.0%,0.0%,0.0,100.0%,100.0%,0.0%,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,54b4j04ondrq28e4eenma1rai,561527,S. Berhalter,Sebastian Berhalter,Central Midfielder,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,426490,Sebastian,Berhalter,Central Midfielder,1,16,25,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,bbf1u7db2qw8u4bega6b0uesq,631362,A. El Kaabi,Ayoub El Kaabi,,1057,Morocco,Morocco,MAR,avggs3u2b5cu8i1dnzknhth52,Morocco,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup,447490,Ayoub,El Kaabi,,0,0,33,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,SCO vs MAR,false,true,true,false,false,2026-06-19,exuljwp9gd116hkf5sox4q5g4,bcllqlzvj9j7opjene2zvran7,115,115,Morocco,Scotland,SCO,1,0,Played,W 1-0,2608270,SCO vs MAR (2026-06-19),1057,avggs3u2b5cu8i1dnzknhth52,Morocco
1393,8b3igmuipfhfzm39ack89de96,287743,Lee Kang-In,Lee Kang-In,Right Attacking Midfielder,1041,Korea Republic,Korea Rep,KOR,1yghbv1c71b37eenutbwnvvq,Korea Republic,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup,451358,Kang-In,Lee,Right Attacking Midfielder,1,90,25,2,0,0,0,0.05,0.00,-0.05,0,0,1,1,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,2,MEX vs KOR,false,true,false,false,true,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,4vofb84dzb5fyc81n2ssws6ah,659,659,Korea Republic,Mexico,MEX,0,1,Played,L 0-1,2608265,MEX vs KOR (2026-06-19),1041,1yghbv1c71b37eenutbwnvvq,Korea Republic
