name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,blockedScoringAttempt,keyPass,goalAssist,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,firstName,lastName,accurateCross,bigChanceMissed,goals,hitWoodwork,totalKeeperSweeper,accurateKeeperSweeper
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",22.0,19.0,,,4.0,5.0,15.0,17.0,,5.0,,,,83.0,46.0,7.9,14.0,0.7122,1.2983,0.17665,"{'original': 7.9, 'alternative': 7.7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,4.0,5.0,,3.0,,1.0,1.0,1.0,9.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,,Nicolas Jackson,,,1.0,1.0,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",7.0,7.0,,,4.0,4.0,3.0,3.0,,,,,,12.0,7.0,6.6,,0.0,0.0,0.036839,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",1.0,1.0,,,,,1.0,2.0,,,,,,9.0,3.0,6.3,2.0,0.0,0.0,0.00329531,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
Mason Burstow,mason-burstow,M. Burstow,F,48,187,659,M,,1138421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1059955200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون بيرستو', 'hi': 'मेसन बर्स्टो', 'bn': 'ম্যাসন বার্স্টো'}, 'shortNameTranslation': {'ar': 'م. بيرستو', 'hi': 'एम. बर्स्टो', 'bn': 'এম. বার্স্টো'}}",,,,,,,,,,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,,,,,,,Mason Burstow,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Beach,beach-eddie,E. Beach,G,30,196,271,M,,1632524,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1065657600,"{'value': 215000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتش، إيدي'}, 'shortNameTranslation': {'ar': 'إ. بيتش'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashir Humphreys,bashir-humphreys,B. Humphreys,D,12,186,1207,M,,996910,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1047686400,"{'value': 13100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باشير همفريز', 'hi': 'बशीर हम्फ्रीज़', 'bn': 'বশির হামফ্রেইস'}, 'shortNameTranslation': {'ar': 'ب. همفريز', 'hi': 'बी. हम्फ्रीज़', 'bn': 'বি. হামফ্রেইস'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Moreira,diego-moreira,D. Moreira,F,7,179,5735,M,diegzyyy,1142233,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1091750400,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو مورييرا', 'hi': 'डिएगो मोरेरा', 'bn': 'দিয়েগো মোরেরা'}, 'shortNameTranslation': {'ar': 'د. مورييرا', 'hi': 'डी. मोरेरा', 'bn': 'ডি. মোরেইরা'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,Diego,Moreira,,,,,,
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",30.0,14.0,21.0,5.0,9.0,9.0,5.0,21.0,,7.0,5.0,5.0,,90.0,40.0,7.3,16.0,0.0,0.0,0.00215174,"{'original': 7.3, 'alternative': 7.1}",0,-0.2986,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,issa_kabore_29,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",13.0,12.0,1.0,,5.0,5.0,7.0,11.0,1.0,3.0,,,,70.0,33.0,6.3,8.0,0.0267,0.0,0.00464706,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,4.0,4.0,,,,,,,2.0,1.0,1.0,1.0,,,1.0,4.0,3.0,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189,101,M,,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",25.0,20.0,4.0,3.0,12.0,13.0,8.0,12.0,3.0,3.0,,,,77.0,34.0,6.4,6.0,0.0,0.0,0.00650232,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,
Tom Lockyer,tom-lockyer,T. Lockyer,D,12,183,188,M,,197848,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,786412800,"{'value': 405000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",27.0,18.0,9.0,1.0,11.0,13.0,7.0,14.0,6.0,6.0,,,,90.0,39.0,6.5,9.0,0.0,0.0,0.00634593,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,2.0,4.0,4.0,2.0,,3.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
Amari'i Bell,amarii-bell,A. Bell,D,17,179,253,M,,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",49.0,37.0,8.0,3.0,20.0,23.0,17.0,26.0,4.0,6.0,,,,90.0,65.0,6.9,13.0,0.0,0.0,0.00849489,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,2.0,7.0,1.0,,1.0,,7.0,4.0,1.0,,,,,,,,,,,,,,,,,,
Ryan Giles,ryan-giles,R. Giles,D,3,179,227,M,,931304,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948844800,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان جايلز', 'hi': 'रयान गिल्स', 'bn': 'রায়ান জাইলস'}, 'shortNameTranslation': {'ar': 'ر. جايلز', 'hi': 'आर. गिल्स', 'bn': 'আর. জাইলস'}}",26.0,24.0,1.0,,9.0,9.0,17.0,27.0,1.0,4.0,,,,90.0,44.0,6.6,10.0,0.0616,0.0675,0.043475,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",20.0,18.0,1.0,1.0,7.0,8.0,11.0,12.0,,5.0,,,,77.0,33.0,6.9,4.0,0.0225,0.0,0.0469073,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,9.0,,,,1.0,4.0,2.0,,4.0,1.0,,,,1.0,2.0,1.0,,1.0,,,,,,,,
Marvelous Nakamba,marvelous-nakamba,M. Nakamba,M,13,177,1025,M,,556904,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,758937600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارفلوس ناكامبا', 'hi': 'मार्वलस नाकाम्बा', 'bn': 'বিস্ময়কর নাকাম্বা'}, 'shortNameTranslation': {'ar': 'م. ناكامبا', 'hi': 'एम. नाकाम्बा', 'bn': 'এম. নাকাম্বা'}}",36.0,33.0,1.0,1.0,11.0,12.0,22.0,25.0,,8.0,,,,90.0,43.0,6.7,4.0,0.0,0.0,0.0164935,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,4.0,3.0,1.0,,,1.0,3.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",29.0,25.0,2.0,1.0,10.0,11.0,15.0,18.0,,3.0,,,,77.0,38.0,6.8,6.0,0.0776,0.0,0.0188693,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,4.0,,,,1.0,,,2.0,3.0,,,,,,,,,2.0,,,,,,,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,1056,M,,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",15.0,13.0,,,5.0,6.0,8.0,9.0,2.0,2.0,,,,70.0,24.0,6.6,6.0,0.0,0.0,0.0603907,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,8.0,3.0,,,,,,,1.0,1.0,5.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",16.0,12.0,1.0,1.0,2.0,2.0,10.0,15.0,1.0,2.0,,,,90.0,29.0,6.8,7.0,0.1622,0.0,0.147501,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,1.0,8.0,4.0,,,,,,,1.0,2.0,,2.0,1.0,,,2.0,1.0,,1.0,,,,,,,,
