Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
7,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,1,PAK vs GYO,false,true,false,true,false,2025-07-27,ero16fnbvlwq2ry8ne20k6f4k,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Gyori ETO,Paks,PAK,3,3,Played,T 3-3,2560158,PAK vs GYO (2025-07-27)
7,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,1,PUS vs KAZ,false,true,false,false,true,2025-07-27,eq0f66jh8pbgbbcnojfskq32s,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Kazincbarcika,Puskás,PUS,1,2,Played,L 1-2,2560154,PUS vs KAZ (2025-07-27)
13,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,2,DEB vs MTK,true,false,true,false,false,2025-08-01,espouoses5u5d8yjs0yub0pw4,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Debrecen,MTK,MTK,1,0,Played,W 1-0,2560161,DEB vs MTK (2025-08-01)
13,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,2,DEB vs MTK,false,true,false,false,true,2025-08-01,espouoses5u5d8yjs0yub0pw4,b7jek1bop3eoughds0xi22tte,225,225,MTK,Debrecen,DEB,0,1,Played,L 0-1,2560161,DEB vs MTK (2025-08-01)
15,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,2,FTC vs KAZ,true,false,true,false,false,2025-08-02,et1onhdk3w540mwwk8ngqhvys,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Ferencváros,Kazincbarcika,KAZ,3,0,Played,W 3-0,2560162,FTC vs KAZ (2025-08-02)
15,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,2,DVT vs ZTE,false,true,false,true,false,2025-08-02,esdio72l7be06no9az17uvrbo,amfs0dhjwsobm10en9twg0q,2271,2271,Zalaegerszeg,Diosgyor,DVT,2,2,Played,T 2-2,2560160,DVT vs ZTE (2025-08-02)
15,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,2,DVT vs ZTE,true,false,false,true,false,2025-08-02,esdio72l7be06no9az17uvrbo,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Diosgyor,Zalaegerszeg,ZTE,2,2,Played,T 2-2,2560160,DVT vs ZTE (2025-08-02)
15,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,2,FTC vs KAZ,false,true,false,false,true,2025-08-02,et1onhdk3w540mwwk8ngqhvys,b3o0wckz4w3fusytybpgxftgm,227,227,Kazincbarcika,Ferencváros,FTC,0,3,Played,L 0-3,2560162,FTC vs KAZ (2025-08-02)
19,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,2,GYO vs UJP,false,true,false,true,false,2025-08-03,erzwjslkz6wivl7xacf9zuzh0,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Újpest,Gyori ETO,GYO,1,1,Played,T 1-1,2560159,GYO vs UJP (2025-08-03)
19,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,2,KIS vs PAK,true,false,false,false,true,2025-08-03,etpphtx0eas0nus27n4mtivpw,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Kisvárda,Paks,PAK,1,5,Played,L 1-5,2560164,KIS vs PAK (2025-08-03)
19,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,2,KIS vs PAK,false,true,true,false,false,2025-08-03,etpphtx0eas0nus27n4mtivpw,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Paks,Kisvárda,KIS,5,1,Played,W 5-1,2560164,KIS vs PAK (2025-08-03)
19,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,2,PUS vs NYI,true,false,true,false,false,2025-08-03,etdrbgq3a12kgqlfa8ihny4gk,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Puskás,Nyíregyháza Spartacus,NYI,3,2,Played,W 3-2,2560163,PUS vs NYI (2025-08-03)
19,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,2,PUS vs NYI,false,true,false,false,true,2025-08-03,etdrbgq3a12kgqlfa8ihny4gk,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Nyíregyháza Spartacus,Puskás,PUS,2,3,Played,L 2-3,2560163,PUS vs NYI (2025-08-03)
19,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,2,GYO vs UJP,true,false,false,true,false,2025-08-03,erzwjslkz6wivl7xacf9zuzh0,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Gyori ETO,Újpest,UJP,1,1,Played,T 1-1,2560159,GYO vs UJP (2025-08-03)
25,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,3,KAZ vs DEB,false,true,true,false,false,2025-08-08,eufbyd78kj8bvc0nwjm6g2g44,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Debrecen,Kazincbarcika,KAZ,2,1,Played,W 2-1,2560166,KAZ vs DEB (2025-08-08)
25,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,3,KAZ vs DEB,true,false,false,false,true,2025-08-08,eufbyd78kj8bvc0nwjm6g2g44,b7jek1bop3eoughds0xi22tte,225,225,Kazincbarcika,Debrecen,DEB,1,2,Played,L 1-2,2560166,KAZ vs DEB (2025-08-08)
27,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,3,NYI vs FTC,false,true,true,false,false,2025-08-09,eu2z2q4h5jlkjvn2l5skduln8,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Ferencváros,Nyíregyháza Spartacus,NYI,4,1,Played,W 4-1,2560165,NYI vs FTC (2025-08-09)
27,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,3,MTK vs DVT,true,false,true,false,false,2025-08-09,eurl91knivoy934md4fzd0c2c,amfs0dhjwsobm10en9twg0q,2271,2271,MTK,Diosgyor,DVT,5,0,Played,W 5-0,2560167,MTK vs DVT (2025-08-09)
27,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,3,MTK vs DVT,false,true,false,false,true,2025-08-09,eurl91knivoy934md4fzd0c2c,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Diosgyor,MTK,MTK,0,5,Played,L 0-5,2560167,MTK vs DVT (2025-08-09)
27,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,3,NYI vs FTC,true,false,false,false,true,2025-08-09,eu2z2q4h5jlkjvn2l5skduln8,b3o0wckz4w3fusytybpgxftgm,227,227,Nyíregyháza Spartacus,Ferencváros,FTC,1,4,Played,L 1-4,2560165,NYI vs FTC (2025-08-09)
31,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,3,UJP vs PAK,true,false,false,false,true,2025-08-10,evg102pkhi16rahx0fezgvu38,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Újpest,Paks,PAK,1,2,Played,L 1-2,2560169,UJP vs PAK (2025-08-10)
31,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,3,ZTE vs GYO,true,false,false,true,false,2025-08-10,ev3pqphbkzbiftudc4yzf5btg,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Zalaegerszeg,Gyori ETO,GYO,1,1,Played,T 1-1,2560168,ZTE vs GYO (2025-08-10)
31,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,3,KIS vs PUS,true,false,true,false,false,2025-08-10,evsfwmfyu5g3imh05v6d4ayok,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Kisvárda,Puskás,PUS,2,1,Played,W 2-1,2560170,KIS vs PUS (2025-08-10)
31,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,3,UJP vs PAK,false,true,true,false,false,2025-08-10,evg102pkhi16rahx0fezgvu38,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Paks,Újpest,UJP,2,1,Played,W 2-1,2560169,UJP vs PAK (2025-08-10)
31,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,3,KIS vs PUS,false,true,false,false,true,2025-08-10,evsfwmfyu5g3imh05v6d4ayok,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Puskás,Kisvárda,KIS,1,2,Played,L 1-2,2560170,KIS vs PUS (2025-08-10)
31,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,3,ZTE vs GYO,false,true,false,true,false,2025-08-10,ev3pqphbkzbiftudc4yzf5btg,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Gyori ETO,Zalaegerszeg,ZTE,1,1,Played,T 1-1,2560168,ZTE vs GYO (2025-08-10)
37,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,4,UJP vs KIS,true,false,false,false,true,2025-08-15,ew4j7chmye6a7534tak5p4cno,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Újpest,Kisvárda,KIS,0,1,Played,L 0-1,2560171,UJP vs KIS (2025-08-15)
37,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,4,UJP vs KIS,false,true,true,false,false,2025-08-15,ew4j7chmye6a7534tak5p4cno,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Kisvárda,Újpest,UJP,1,0,Played,W 1-0,2560171,UJP vs KIS (2025-08-15)
39,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,4,FTC vs PUS,true,false,false,false,true,2025-08-16,exv4qes7h88s3e1z5prh6a2ok,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Ferencváros,Puskás,PUS,1,2,Played,L 1-2,2560176,FTC vs PUS (2025-08-16)
39,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,4,FTC vs PUS,false,true,true,false,false,2025-08-16,exv4qes7h88s3e1z5prh6a2ok,b3o0wckz4w3fusytybpgxftgm,227,227,Puskás,Ferencváros,FTC,2,1,Played,W 2-1,2560176,FTC vs PUS (2025-08-16)
39,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,4,DVT vs KAZ,true,false,false,true,false,2025-08-16,ex6cwnn6ntzzfb2rwf0fq8il0,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Diosgyor,Kazincbarcika,KAZ,2,2,Played,T 2-2,2560174,DVT vs KAZ (2025-08-16)
39,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,4,DVT vs KAZ,false,true,false,true,false,2025-08-16,ex6cwnn6ntzzfb2rwf0fq8il0,amfs0dhjwsobm10en9twg0q,2271,2271,Kazincbarcika,Diosgyor,DVT,2,2,Played,T 2-2,2560174,DVT vs KAZ (2025-08-16)
43,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,4,DEB vs NYI,true,false,false,false,true,2025-08-17,exij6bq6jvo1xhxp93svvmcyc,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Debrecen,Nyíregyháza Spartacus,NYI,1,2,Played,L 1-2,2560175,DEB vs NYI (2025-08-17)
43,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,4,MTK vs GYO,true,false,false,false,true,2025-08-17,e0jug75inzxnvv2y7ymvli50,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,MTK,Gyori ETO,GYO,2,7,Played,L 2-7,2560239,MTK vs GYO (2025-08-17)
43,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,4,PAK vs ZTE,false,true,false,true,false,2025-08-17,ewgmivjypcwv8t6biasc9cw0k,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Zalaegerszeg,Paks,PAK,2,2,Played,T 2-2,2560172,PAK vs ZTE (2025-08-17)
43,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,4,PAK vs ZTE,true,false,false,true,false,2025-08-17,ewgmivjypcwv8t6biasc9cw0k,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Paks,Zalaegerszeg,ZTE,2,2,Played,T 2-2,2560172,PAK vs ZTE (2025-08-17)
43,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,4,DEB vs NYI,false,true,true,false,false,2025-08-17,exij6bq6jvo1xhxp93svvmcyc,b7jek1bop3eoughds0xi22tte,225,225,Nyíregyháza Spartacus,Debrecen,DEB,2,1,Played,W 2-1,2560175,DEB vs NYI (2025-08-17)
43,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,4,MTK vs GYO,false,true,true,false,false,2025-08-17,e0jug75inzxnvv2y7ymvli50,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Gyori ETO,MTK,MTK,7,2,Played,W 7-2,2560239,MTK vs GYO (2025-08-17)
49,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,5,PUS vs DEB,false,true,true,false,false,2025-08-22,ezji1wl6gmog42n5f8iq9pr10,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Debrecen,Puskás,PUS,3,1,Played,W 3-1,2560181,PUS vs DEB (2025-08-22)
49,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,5,PUS vs DEB,true,false,false,false,true,2025-08-22,ezji1wl6gmog42n5f8iq9pr10,b7jek1bop3eoughds0xi22tte,225,225,Puskás,Debrecen,DEB,1,3,Played,L 1-3,2560181,PUS vs DEB (2025-08-22)
51,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,5,ZTE vs UJP,false,true,true,false,false,2025-08-23,ez7ivvjw6ul1rls77sm8ltlas,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Újpest,Zalaegerszeg,ZTE,4,1,Played,W 4-1,2560180,ZTE vs UJP (2025-08-23)
51,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,5,ZTE vs UJP,true,false,false,false,true,2025-08-23,ez7ivvjw6ul1rls77sm8ltlas,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Zalaegerszeg,Újpest,UJP,1,4,Played,L 1-4,2560180,ZTE vs UJP (2025-08-23)
51,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,5,NYI vs DVT,false,true,true,false,false,2025-08-23,ey7a1efxnbmkc5x450276elg4,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Diosgyor,Nyíregyháza Spartacus,NYI,4,1,Played,W 4-1,2560177,NYI vs DVT (2025-08-23)
51,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,5,NYI vs DVT,true,false,false,false,true,2025-08-23,ey7a1efxnbmkc5x450276elg4,amfs0dhjwsobm10en9twg0q,2271,2271,Nyíregyháza Spartacus,Diosgyor,DVT,1,4,Played,L 1-4,2560177,NYI vs DVT (2025-08-23)
55,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,5,MTK vs PAK,true,false,false,false,true,2025-08-24,eyvfgxstl73w7x1vbkzxg7k7o,e86hbyj6fwyumuwoiaglh33r5,2718,2718,MTK,Paks,PAK,2,3,Played,L 2-3,2560179,MTK vs PAK (2025-08-24)
55,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,5,MTK vs PAK,false,true,true,false,false,2025-08-24,eyvfgxstl73w7x1vbkzxg7k7o,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Paks,MTK,MTK,3,2,Played,W 3-2,2560179,MTK vs PAK (2025-08-24)
57,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,6,PAK vs KAZ,true,false,true,false,false,2025-08-29,f0vxi8okbdq1bmnn9lmucr85w,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Paks,Kazincbarcika,KAZ,3,0,Played,W 3-0,2560185,PAK vs KAZ (2025-08-29)
57,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,6,PAK vs KAZ,false,true,false,false,true,2025-08-29,f0vxi8okbdq1bmnn9lmucr85w,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Kazincbarcika,Paks,PAK,0,3,Played,L 0-3,2560185,PAK vs KAZ (2025-08-29)
59,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,6,UJP vs MTK,true,false,false,false,true,2025-08-30,f0ju8y234sboc08pofx9338r8,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Újpest,MTK,MTK,1,2,Played,L 1-2,2560184,UJP vs MTK (2025-08-30)
59,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,6,UJP vs MTK,false,true,true,false,false,2025-08-30,f0ju8y234sboc08pofx9338r8,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,MTK,Újpest,UJP,2,1,Played,W 2-1,2560184,UJP vs MTK (2025-08-30)
59,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,6,ZTE vs KIS,true,false,false,false,true,2025-08-30,f07nn7zbxo3vgaimn2v0upxxw,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Zalaegerszeg,Kisvárda,KIS,1,2,Played,L 1-2,2560183,ZTE vs KIS (2025-08-30)
