name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalTackle,unsuccessfulTouch,fouls,outfielderBlock,interceptionWon,wonTackle,keyPass,aerialWon,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,firstName,lastName,sofascoreId,totalCross,accurateCross,challengeLost,totalContest,wonContest,blockedScoringAttempt,errorLeadToAGoal,wasFouled,bigChanceMissed,shotOffTarget,totalOffside,aerialLost,bigChanceCreated,goodHighClaim,goalAssist,goals
Ederson,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",48.0,42.0,13.0,7.0,40.0,41.0,2.0,7.0,2.0,11.0,2.0,3.0,2.0,2.0,90.0,61.0,7.7,6.0,0.00187141,"{'original': 7.7, 'alternative': 7.7}",0,0.3566,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,Ederson93,,,,,,,,,,,,,,1.0,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",38.0,31.0,1.0,,18.0,20.0,14.0,19.0,,2.0,,,,,79.0,53.0,7.7,12.0,0.0380357,"{'original': 7.7, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,3.0,1.0,2.0,,2.0,,1.0,,,2.0,,,,,,,KyleWalker2,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,2.0,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",98.0,94.0,5.0,3.0,69.0,70.0,25.0,28.0,1.0,3.0,,,,,90.0,104.0,7.2,4.0,0.00755643,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,,2.0,,,,,1.0,,,,,,,,manuel_akanji,,,1.0,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",82.0,81.0,1.0,,60.0,60.0,21.0,22.0,2.0,,,,,,90.0,88.0,7.1,1.0,0.00730648,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,1.0,,1.0,,1.0,1.0,,1.0,,0.4242,,,,nathanake,,,2.0,,,,,,,1.0,,1.0,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",64.0,54.0,3.0,1.0,35.0,40.0,19.0,24.0,,5.0,,,,,90.0,81.0,7.0,13.0,0.011434,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,,2.0,1.0,,,1.0,,,,,,,,,JGvardiol,,,1.0,1.0,1.0,,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",113.0,109.0,7.0,7.0,62.0,65.0,47.0,48.0,,4.0,,,,,79.0,120.0,7.4,5.0,0.0255695,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,4.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,Rodri,,,,1.0,1.0,,,1.0,,,,1.0,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",70.0,66.0,2.0,1.0,33.0,33.0,33.0,37.0,,2.0,,,,,78.0,76.0,7.5,5.0,0.0187128,"{'original': 7.5, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,BSilva,,,1.0,,,,,,,,,,1.0,,1.0,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",32.0,30.0,2.0,1.0,16.0,17.0,15.0,17.0,1.0,2.0,,,,,72.0,47.0,7.2,8.0,0.0112376,"{'original': 7.2, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,,1.0,1.0,,,,1.0,,,1.0,0.1334,0.1603,,,KDB,2.0,1.0,,2.0,,2.0,,1.0,,,,,,,,1.0
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",89.0,87.0,,,45.0,46.0,42.0,43.0,,4.0,,,,,90.0,96.0,7.2,4.0,0.0385206,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,Kova8,,,,1.0,1.0,,,,,,,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",47.0,44.0,2.0,2.0,16.0,16.0,29.0,35.0,1.0,3.0,,,,,71.0,68.0,8.7,11.0,0.18727,"{'original': 8.7, 'alternative': 8.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,5.0,2.0,1.0,,1.0,,,1.0,3.0,,2.0,0.283,0.7355,,,Foden,4.0,1.0,,3.0,,1.0,,4.0,,,1.0,,,,,2.0
