Date,Home,Away,HomeGoals,AwayGoals,Match_URL,HomePoints,AwayPoints,HomePointsDropped,AwayPointsDropped
2024-11-02,MTK Budapest,Zalaegerszeg,1,1,https://fbref.com/en/matches/cd1f0c07/MTK-Budapest-Zalaegerszeg-November-2-2024-NB-I,1,1,0.0,2.0
2024-11-02,Puskás,Újpest,1,1,https://fbref.com/en/matches/4b71b565/Puskas-Akademia-Ujpest-November-2-2024-NB-I,1,1,2.0,0.0
2024-11-02,Győr,Nyíregyháza,1,1,https://fbref.com/en/matches/c08d11d6/Gyor-Nyiregyhaza-November-2-2024-NB-I,1,1,2.0,0.0
2024-11-03,Paks,Diósgyőr,3,4,https://fbref.com/en/matches/8484ffc3/Paks-Diosgyor-November-3-2024-NB-I,0,3,0.0,0.0
2024-11-03,Ferencváros,Debrecen,2,2,https://fbref.com/en/matches/d150a06f/Ferencvaros-Debrecen-November-3-2024-NB-I,1,1,2.0,2.0
2024-11-03,Vidi,Kecskemét,6,1,https://fbref.com/en/matches/eb97281a/Vidi-Kecskemet-November-3-2024-NB-I,3,0,0.0,3.0
2024-11-08,Nyíregyháza,MTK Budapest,2,0,https://fbref.com/en/matches/5dd80f84/Nyiregyhaza-MTK-Budapest-November-8-2024-NB-I,3,0,0.0,0.0
2024-11-09,Zalaegerszeg,Puskás,4,2,https://fbref.com/en/matches/5d22014a/Zalaegerszeg-Puskas-Akademia-November-9-2024-NB-I,3,0,0.0,0.0
2024-11-09,Debrecen,Győr,2,2,https://fbref.com/en/matches/d809982d/Debrecen-Gyor-November-9-2024-NB-I,1,1,2.0,2.0
2024-11-09,Újpest,Paks,0,0,https://fbref.com/en/matches/ce8622f9/Ujpest-Paks-November-9-2024-NB-I,1,1,0.0,0.0
2024-11-10,Diósgyőr,Vidi,1,0,https://fbref.com/en/matches/072a5f06/Diosgyor-Vidi-November-10-2024-NB-I,3,0,0.0,0.0
2024-11-10,Kecskemét,Ferencváros,0,1,https://fbref.com/en/matches/a6b51f58/Kecskemet-Ferencvaros-November-10-2024-NB-I,0,3,0.0,0.0
2024-11-23,Nyíregyháza,Puskás,0,3,https://fbref.com/en/matches/29fc77d0/Nyiregyhaza-Puskas-Akademia-November-23-2024-NB-I,0,3,0.0,0.0
2024-11-23,MTK Budapest,Győr,2,2,https://fbref.com/en/matches/89f17d33/MTK-Budapest-Gyor-November-23-2024-NB-I,1,1,2.0,2.0
2024-11-23,Vidi,Újpest,0,1,https://fbref.com/en/matches/2e1fc7db/Vidi-Ujpest-November-23-2024-NB-I,0,3,0.0,0.0
2024-11-24,Paks,Zalaegerszeg,2,2,https://fbref.com/en/matches/5c886085/Paks-Zalaegerszeg-November-24-2024-NB-I,1,1,2.0,2.0
2024-11-24,Ferencváros,Diósgyőr,3,3,https://fbref.com/en/matches/678cc64f/Ferencvaros-Diosgyor-November-24-2024-NB-I,1,1,0.0,2.0
2024-11-24,Debrecen,Kecskemét,2,2,https://fbref.com/en/matches/ac489246/Debrecen-Kecskemet-November-24-2024-NB-I,1,1,2.0,2.0
2024-11-29,Nyíregyháza,Paks,4,2,https://fbref.com/en/matches/45f16df3/Nyiregyhaza-Paks-November-29-2024-NB-I,3,0,0.0,0.0
2024-11-30,MTK Budapest,Puskás,0,1,https://fbref.com/en/matches/e99d3643/MTK-Budapest-Puskas-Akademia-November-30-2024-NB-I,0,3,0.0,0.0
2024-11-30,Győr,Kecskemét,1,2,https://fbref.com/en/matches/2013162e/Gyor-Kecskemet-November-30-2024-NB-I,0,3,0.0,0.0
2024-11-30,Diósgyőr,Debrecen,3,1,https://fbref.com/en/matches/29adb546/Diosgyor-Debrecen-November-30-2024-NB-I,3,0,0.0,0.0
2024-12-01,Zalaegerszeg,Vidi,0,1,https://fbref.com/en/matches/e31f7788/Zalaegerszeg-Vidi-December-1-2024-NB-I,0,3,0.0,0.0
2024-12-01,Újpest,Ferencváros,0,0,https://fbref.com/en/matches/3637687c/Ujpest-Ferencvaros-December-1-2024-NB-I,1,1,0.0,0.0
2024-12-03,MTK Budapest,Paks,3,1,https://fbref.com/en/matches/d1b5b929/MTK-Budapest-Paks-December-3-2024-NB-I,3,0,0.0,0.0
2024-12-04,Győr,Puskás,0,2,https://fbref.com/en/matches/1e0de733/Gyor-Puskas-Akademia-December-4-2024-NB-I,0,3,0.0,0.0
2024-12-05,Debrecen,Ferencváros,5,4,https://fbref.com/en/matches/61919b57/Debrecen-Ferencvaros-December-5-2024-NB-I,3,0,0.0,0.0
2024-12-07,Kecskemét,Diósgyőr,0,0,https://fbref.com/en/matches/8b462bed/Kecskemet-Diosgyor-December-7-2024-NB-I,1,1,0.0,0.0
2024-12-07,Puskás,Győr,0,3,https://fbref.com/en/matches/eb433841/Puskas-Akademia-Gyor-December-7-2024-NB-I,0,3,0.0,0.0
2024-12-07,Paks,MTK Budapest,4,2,https://fbref.com/en/matches/e45669b9/Paks-MTK-Budapest-December-7-2024-NB-I,3,0,0.0,3.0
2024-12-08,Vidi,Nyíregyháza,2,0,https://fbref.com/en/matches/e4c493e9/Vidi-Nyiregyhaza-December-8-2024-NB-I,3,0,0.0,0.0
2024-12-08,Debrecen,Újpest,1,2,https://fbref.com/en/matches/870b9adf/Debrecen-Ujpest-December-8-2024-NB-I,0,3,0.0,0.0
2024-12-08,Ferencváros,Zalaegerszeg,1,0,https://fbref.com/en/matches/f0fc99cb/Ferencvaros-Zalaegerszeg-December-8-2024-NB-I,3,0,0.0,0.0
2024-12-14,MTK Budapest,Vidi,3,2,https://fbref.com/en/matches/9c27bd85/MTK-Budapest-Vidi-December-14-2024-NB-I,3,0,0.0,3.0
2024-12-14,Zalaegerszeg,Debrecen,2,1,https://fbref.com/en/matches/c67df8d6/Zalaegerszeg-Debrecen-December-14-2024-NB-I,3,0,0.0,0.0
2024-12-14,Győr,Diósgyőr,3,4,https://fbref.com/en/matches/df9411c5/Gyor-Diosgyor-December-14-2024-NB-I,0,3,0.0,0.0
2024-12-14,Puskás,Paks,3,1,https://fbref.com/en/matches/13b7dba1/Puskas-Akademia-Paks-December-14-2024-NB-I,3,0,0.0,0.0
2024-12-15,Újpest,Kecskemét,1,1,https://fbref.com/en/matches/a70a336f/Ujpest-Kecskemet-December-15-2024-NB-I,1,1,0.0,2.0
2024-12-15,Nyíregyháza,Ferencváros,0,1,https://fbref.com/en/matches/cdc0f637/Nyiregyhaza-Ferencvaros-December-15-2024-NB-I,0,3,0.0,0.0
2025-02-01,Paks,Győr,1,1,https://fbref.com/en/matches/dfbd5db7/Paks-Gyor-February-1-2025-NB-I,1,1,2.0,0.0
2025-02-01,Vidi,Puskás,1,0,https://fbref.com/en/matches/848390c2/Vidi-Puskas-Akademia-February-1-2025-NB-I,3,0,0.0,0.0
2025-02-01,Diósgyőr,Újpest,1,1,https://fbref.com/en/matches/b6a43bd1/Diosgyor-Ujpest-February-1-2025-NB-I,1,1,0.0,2.0
