time,player,team,score,HomeGoals,AwayGoals,match_id
 6,Rudi Požeg Vancaš,Diósgyőr,1:0,1,0,127
 28,Artem Favorov,Puskás Akadémia,1:1,1,1,127
 89,Gábor Jurek,Diósgyőr,2:1,2,1,127
 56,Fran Brodić,Újpest,1:1,1,1,128
 60,Marin Jurina,MTK Budapest,1:2,1,2,128
 64,Zsombor Gruber,MTK Budapest,1:3,1,3,128
 72,Benedek Varju,MTK Budapest,1:4,1,4,128
 8,Ivan Šaponjić,Vidi,0:1,0,1,129
 53,Mátyás Katona,Vidi,0:2,0,2,129
 59,Brandon Domingues,Debrecen,1:2,1,2,129
 35,Ádám Martin,Paks,0:1,0,1,130
 37,Driton Camaj,Kecskemét,1:1,1,1,130
 58,Bence Ötvös,Paks,1:2,1,2,130
 11,Albion Marku,Győr,0:1,0,1,131
 79,Aleksandar Pešić,Ferencváros,1:2,1,2,131
 84,Saldanha,Ferencváros,2:2,2,2,131
 5,Bálint Katona,Kecskemét,1:0,1,0,132
 41,Donát Zsótér,Kecskemét,2:0,2,0,132
 65,Ivan Šaponjić,Vidi,2:1,2,1,132
 64,János Szépe,Győr,0:1,0,1,133
 3,Yohan Croizet,Zalaegerszeg,1:0,1,0,134
90+1,Róbert Polievka,MTK Budapest,1:1,1,1,134
 23,János Szabó,Paks,0:1,0,1,135
 48,Attila Osváth,Paks,0:2,0,2,135
 54,Lamin Colley,Puskás Akadémia,0:1,0,1,136
 59,Fran Brodić,Újpest,1:1,1,1,136
 35,Aleksandar Pešić,Ferencváros,0:1,0,1,137
 9,Fran Brodić,Újpest,0:1,0,1,139
 25,Barna Tóth,Paks,1:1,1,1,139
 48,Barna Tóth,Paks,2:1,2,1,139
 52,Barna Tóth,Paks,3:1,3,1,139
 57,Szabolcs Mezei,Paks,4:1,4,1,139
 68,Barna Tóth,Paks,5:1,5,1,139
 90,Kristóf Hinora,Paks,6:1,6,1,139
 9,Aleksandar Pešić,Ferencváros,1:0,1,0,141
 31,Habib Maïga,Ferencváros,2:0,2,0,141
 78,Raul Bicalho,Ferencváros,4:0,4,0,141
 48,Artúr Horváth,MTK Budapest,1:0,1,0,142
 75,Krisztián Németh,MTK Budapest,2:0,2,0,142
90+3,Róbert Polievka,MTK Budapest,3:0,3,0,142
 62,Zsolt Nagy,Puskás Akadémia,1:1,1,1,143
 78,Lamin Colley,Puskás Akadémia,2:1,2,1,143
 7,Márk Szécsi,Debrecen,0:1,0,1,144
 21,Botond Vajda,Debrecen,0:2,0,2,144
 27,Lóránd Pászka,Kecskemét,1:2,1,2,144
45+1,Kristiyan Malinov,Debrecen,1:3,1,3,144
 73,Krisztián Németh,MTK Budapest,1:1,1,1,145
 78,Claudiu Bumba,Győr,2:1,2,1,145
 28,Norbert Könyves,Paks,0:1,0,1,146
 81,Ábel Krajcsovics,Zalaegerszeg,1:1,1,1,146
 5,Urho Nissilä,Puskás Akadémia,0:1,0,1,147
 30,Urho Nissilä,Puskás Akadémia,0:2,0,2,147
 22,Barnabás Bese,Újpest,1:0,1,0,148
 58,Ivan Šaponjić,Vidi,2:1,2,1,148
90+2,Bálint Szabó,Vidi,2:2,2,2,148
 40,Rudi Požeg Vancaš,Diósgyőr,1:1,1,1,149
 88,Dániel Lukács,Kecskemét,1:0,1,0,150
90+6,Eneo Bitri,Győr,1:1,1,1,150
 21,Kristóf Papp,Paks,1:0,1,0,151
 66,Attila Osváth,Paks,2:0,2,0,151
 17,Bright Edomwonyi,Diósgyőr,0:1,0,1,152
 25,Donát Bárány,Debrecen,1:1,1,1,152
 51,Donát Bárány,Debrecen,2:1,2,1,152
 55,Brandon Domingues,Debrecen,3:1,3,1,152
 24,Yohan Croizet,Zalaegerszeg,0:1,0,1,153
 55,Yohan Croizet,Zalaegerszeg,0:2,0,2,153
 38,Rajmund Molnár,MTK Budapest,0:1,0,1,154
 42,Jonathan Levi,Puskás Akadémia,1:1,1,1,154
 18,Habib Maïga,Ferencváros,1:0,1,0,155
