name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,goalAssist,totalCross,accurateCross,duelLost,dispossessed,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,challengeLost,outfielderBlock,fouls,firstName,lastName,goals,totalOffside,punches,errorLeadToAShot
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",11.0,9.0,,,4.0,4.0,5.0,7.0,1.0,4.0,,,1.0,,,,90.0,22.0,7.0,0.0707899,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,EvanFerguson9,,,,7.0,2.0,,,,,1.0,1.0,,,2.0,2.0,2.0,7.0,0.1739,0.0266,1.0,3.0,,,2.0,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",49.0,45.0,4.0,3.0,19.0,19.0,26.0,31.0,1.0,2.0,,3.0,,,,,45.0,57.0,6.9,0.0669933,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,billygilmour,,1.0,,5.0,,,,,,1.0,,1.0,,1.0,,2.0,8.0,0.0575,,1.0,3.0,1.0,,1.0,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",38.0,32.0,,,6.0,7.0,26.0,34.0,2.0,3.0,,3.0,,,,,45.0,60.0,6.8,0.422176,"{'original': 6.8, 'alternative': 6.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,KaoruM,,3.0,,11.0,3.0,6.0,1.0,,,2.0,1.0,2.0,,,,,17.0,0.2991,0.3034,1.0,1.0,1.0,,1.0,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",49.0,48.0,,,12.0,12.0,36.0,37.0,,2.0,,4.0,,,,,31.0,53.0,7.1,0.0436613,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,2.0,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,
Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182,1551,M,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",11.0,9.0,1.0,,6.0,7.0,3.0,4.0,,,,4.0,,,,,31.0,17.0,6.9,0.00436216,"{'original': 6.9, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,2.0,0.6736,1.1474,,,,,,Jack Hinshelwood,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",3.0,1.0,,,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,,,14.0,4.0,6.8,6.61e-06,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,facubuonanotte_,,,,,,,,,,,,,,,,,2.0,,,,,,,,Facundo Buonanotte,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benicio Boaitey,boaitey-benicio,B. Boaitey,M,26,162,113,M,1142604,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073606400,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوياتي، بينيشيو', 'hi': 'बोआइटे, बेनिसियो', 'bn': 'বোয়াইতে, বেনিসিও'}, 'shortNameTranslation': {'ar': 'ب. بينيشيو', 'hi': 'बी. बोआइटे', 'bn': 'বি. বোয়াইটি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Moder,jakub-moder,J. Moder,M,7,191,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,kubamoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark O'Mahony,omahony-mark,M. O'Mahony,F,20,182,328,M,1149855,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1105660800,"{'value': 425000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوماهوني، مارك', 'hi': ""ओ'महोनी, मार्क"", 'bn': ""ও'মাহনি, মার্ক""}, 'shortNameTranslation': {'ar': 'م. أوماهوني', 'hi': ""एम. ओ'महोनी"", 'bn': ""এম. ও'মাহনি""}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Trafford,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",48.0,17.0,35.0,5.0,16.0,20.0,1.0,28.0,,,1.0,11.0,,3.0,9.0,10.0,90.0,67.0,9.1,0.00034405,"{'original': 9.1, 'alternative': 9.1}",0,2.9961,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,1.0,
Vitinho,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",26.0,21.0,2.0,1.0,8.0,10.0,13.0,17.0,,9.0,2.0,5.0,2.0,,,,90.0,51.0,6.4,0.00952857,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,8.0,1.0,1.0,1.0,,,,,,,6.0,1.0,1.0,10.0,,,,3.0,3.0,,1.0,,,,,,1.0
Dara O'Shea,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",32.0,22.0,6.0,,15.0,21.0,7.0,11.0,2.0,4.0,4.0,6.0,,,,,90.0,44.0,6.9,0.00563926,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,3.0,1.0,,,,,,,,1.0,2.0,2.0,,11.0,,,,1.0,,3.0,1.0,,,,,,
Jordan Beyer,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",30.0,26.0,2.0,2.0,23.0,26.0,3.0,4.0,2.0,4.0,9.0,2.0,,,,,90.0,47.0,7.3,0.00065765,"{'original': 7.3, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,2.0,2.0,1.0,,4.0,,,,1.0,,2.0,,,,,,,
Charlie Taylor,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",19.0,17.0,3.0,2.0,9.0,10.0,8.0,11.0,3.0,5.0,5.0,2.0,,,,,90.0,34.0,6.9,0.00295258,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,2.0,,,,,,,,,,2.0,2.0,,6.0,,,,2.0,,,,,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",20.0,15.0,3.0,1.0,8.0,10.0,7.0,13.0,1.0,3.0,,2.0,,,,,58.0,29.0,6.8,0.0715761,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,,,,,,,1.0,,,,2.0,,2.0,10.0,0.0384,,1.0,,,,,,,,,,
Sander Berge,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",23.0,21.0,1.0,,11.0,12.0,10.0,11.0,2.0,8.0,3.0,3.0,,,,,90.0,36.0,7.2,0.0188414,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,,,,,,,,,1.0,6.0,4.0,1.0,3.0,,,1.0,1.0,,,1.0,,,,,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",31.0,25.0,7.0,1.0,15.0,16.0,10.0,15.0,3.0,10.0,,5.0,2.0,,,,90.0,47.0,7.0,0.00690828,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,4.0,1.0,3.0,1.0,,,,,,4.0,4.0,4.0,,9.0,,,,,,,1.0,,,,,,
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",13.0,10.0,,,4.0,5.0,6.0,8.0,,2.0,2.0,4.0,,,,,78.0,27.0,6.9,0.00925481,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,7.0,,4.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,7.0,0.1048,0.1983,,2.0,1.0,,1.0,,,1.0,,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",24.0,18.0,1.0,,11.0,12.0,7.0,12.0,2.0,3.0,1.0,5.0,,,,,78.0,32.0,6.7,0.0111466,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,5.0,,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,9.0,0.3423,0.8788,1.0,4.0,,,2.0,,,,,,
