name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,bigChanceCreated,interceptionWon,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,keyPass,aerialLost,aerialWon,wonContest,ownGoals,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,totalTackle,expectedGoals,expectedGoalsOnTarget,wonTackle,firstName,lastName,goalAssist,errorLeadToAShot,blockedScoringAttempt,totalOffside,bigChanceMissed,goodHighClaim,clearanceOffLine,penaltyWon
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,52393,M,Nkunku,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",13.0,12.0,,4.0,4.0,,2.0,,,,,,72.0,25.0,6.1,5.0,0.00906319,"{'original': 6.1, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,9.0,,,2.0,2.0,,1.0,2.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,2.0,,,,0.4759,0.9134,,,,,,,,2.0,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",10.0,8.0,,2.0,2.0,,,,,,,,27.0,11.0,6.2,2.0,0.00267116,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,6.0,8.0,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,,0.2113,,,Nicolas Jackson,,,,,1.0,1.0,,,
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,185,10655,M,chukwuemeka10,994556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1066608000,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'hi': 'कार्नी चुक्वुमेका', 'bn': 'কার্নি চুকউয়েমেকা'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'hi': 'सी. चुक्वुमेका', 'bn': 'সি. চুকউয়েমেকা'}}",13.0,12.0,,3.0,3.0,,3.0,,,,,,18.0,16.0,6.6,3.0,0.0321049,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,9.0,10.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,0.0225,0.0188,,,,,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",20.0,14.0,,1.0,1.0,,1.0,,,,,,18.0,28.0,7.0,11.0,0.0422524,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,14.0,24.0,5.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",9.0,8.0,,4.0,4.0,,1.0,,,,,,9.0,14.0,6.1,3.0,0.00562191,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,4.0,5.0,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",20.0,17.0,1.0,1.0,3.0,,1.0,,,,,,9.0,24.0,6.4,4.0,0.0125695,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,16.0,18.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Sá,jose-sa,J. Sá,G,1,192,3995,M,,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",26.0,11.0,18.0,9.0,9.0,1.0,7.0,1.0,,2.0,1.0,1.0,90.0,37.0,6.3,15.0,0.00271771,"{'original': 6.3, 'alternative': 6.1}",0,0.1494,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,17.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",39.0,30.0,13.0,26.0,28.0,5.0,3.0,,,,,,90.0,47.0,7.1,9.0,0.00097809,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,6.0,4.0,11.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",25.0,24.0,4.0,22.0,22.0,6.0,1.0,,,,,,90.0,37.0,7.3,1.0,0.00063625,"{'original': 7.3, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,3.0,,,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,,,1.0,,,,,,,,,1.0,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",41.0,33.0,5.0,25.0,30.0,4.0,4.0,,,,,,90.0,59.0,6.6,11.0,0.0014003,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,8.0,11.0,,,3.0,5.0,1.0,,3.0,,,1.0,,,2.0,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,nelsonsemedo50,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",33.0,24.0,5.0,14.0,20.0,1.0,5.0,,,,,,90.0,64.0,6.7,13.0,0.0142943,"{'original': 6.7, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,10.0,13.0,,,5.0,6.0,1.0,,4.0,,2.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,,,1.0,0.0234,,1.0,,,,,1.0,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",36.0,31.0,1.0,22.0,25.0,4.0,8.0,,,,,,90.0,46.0,6.9,6.0,0.00884773,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,9.0,11.0,,,3.0,4.0,,,,,,,,1.0,3.0,1.0,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,joaogomes.01,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",22.0,18.0,4.0,12.0,13.0,,2.0,,,,,,89.0,37.0,7.2,7.0,0.0154233,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,6.0,9.0,,,7.0,7.0,2.0,1.0,,,2.0,2.0,,,3.0,1.0,1.0,1.0,,,,,,,6.0,,,4.0,,,1.0,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,r_aitnouri,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",31.0,24.0,2.0,9.0,12.0,,2.0,,,,,,87.0,50.0,7.2,12.0,0.0124863,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,15.0,19.0,,,6.0,6.0,3.0,,2.0,,1.0,4.0,,1.0,,,2.0,,1.0,,1.0,,,1.0,4.0,0.0881,,2.0,,,,,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2578,M,,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",27.0,19.0,2.0,11.0,12.0,1.0,2.0,,,,,,72.0,40.0,6.8,13.0,0.144197,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,9.0,20.0,5.0,1.0,,3.0,,,,,,1.0,,3.0,,2.0,,,,,2.0,,,,,0.1571,,,,,,,,,1.0,,,
