name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,firstName,lastName,challengeLost,shotOffTarget,goals,outfielderBlock,blockedScoringAttempt,dispossessed,penaltyConceded,accurateCross,bigChanceMissed,goalAssist,sofascoreId,errorLeadToAShot,penaltyWon,penaltyMiss
Lyle Foster,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",23.0,15.0,,,8.0,9.0,7.0,14.0,,3.0,,,,,,85.0,41.0,6.4,15.0,0.201212,1.0,"{'original': 6.4, 'alternative': 6.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,8.0,3.0,2.0,1.0,1.0,2.0,,,,2.0,,,0.5863,0.1739,,,1.0,2.0,,,1.0,4.0,,,1.0,,,,,
Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",30.0,27.0,2.0,1.0,12.0,14.0,15.0,16.0,,5.0,,,,,,45.0,36.0,6.5,4.0,0.00500215,,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,1.0,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",14.0,14.0,4.0,4.0,4.0,4.0,12.0,12.0,1.0,1.0,,,,,,28.0,22.0,7.3,2.0,0.297656,3.0,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,3.0,1.0,,,,,1.0,,,,1.0,,0.0235,,,,1.0,,,,1.0,2.0,,2.0,,1.0,,,,
David Datro Fofana,david-datro-fofana,D. D. Fofana,F,19,181,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,,11.0,2.0,6.6,1.0,0.0008236,1.0,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,datro_9,,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,11.0,6.0,6.5,2.0,0.00263528,,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,1.0,,,0.0249,,,,,,,,1.0,1.0,,,,,,,,
James Trafford,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Taylor,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Benson,manuel-benson,M. Benson,M,21,166,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Trésor,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",26.0,18.0,15.0,7.0,13.0,14.0,5.0,12.0,,10.0,,2.0,,,4.0,90.0,38.0,7.0,9.0,0.00072738,,"{'original': 7, 'alternative': 6.9}",0,-0.2825,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentino Livramento,valentino-livramento,V. Livramento,D,21,181,4844,M,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",50.0,40.0,1.0,,17.0,22.0,23.0,28.0,,3.0,,,,,,90.0,74.0,7.1,14.0,0.146247,1.0,"{'original': 7.1, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,,,0.0976,0.139,,,1.0,,,1.0,,,,,1.0,,,1.0,,
Emil Krafth,emil-krafth,E. Krafth,D,17,184,946,M,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",56.0,49.0,4.0,1.0,40.0,44.0,9.0,12.0,,3.0,,,,,,90.0,62.0,6.8,8.0,0.0046903,,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,2.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",40.0,32.0,1.0,,26.0,29.0,6.0,11.0,,3.0,,,,,,90.0,53.0,6.9,10.0,0.00345802,,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,3.0,2.0,6.0,,,,3.0,1.0,3.0,2.0,1.0,,,0.0466,,,,,1.0,,,,1.0,,,,,,,,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",53.0,39.0,7.0,5.0,23.0,27.0,16.0,28.0,,12.0,,,,,,90.0,81.0,7.3,19.0,0.0173318,,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,1.0,2.0,6.0,1.0,1.0,,1.0,3.0,4.0,1.0,2.0,,,0.0668,,Lewis Hall,,,,,,2.0,1.0,,,,,lewishall_10,,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,176,3550,M,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",28.0,21.0,2.0,,5.0,6.0,17.0,27.0,2.0,4.0,,,,,,69.0,45.0,8.3,16.0,0.911608,6.0,"{'original': 8.3, 'alternative': 8.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,1.0,,5.0,3.0,4.0,1.0,,,1.0,2.0,,2.0,,,0.1036,,,,1.0,1.0,,,1.0,,,1.0,,2.0,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",30.0,23.0,1.0,1.0,9.0,11.0,14.0,19.0,,2.0,,,,,,77.0,41.0,7.5,8.0,0.0367389,,"{'original': 7.5, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,3.0,3.0,,,1.0,,,2.0,,1.0,,2.0,0.211,0.4442,,,1.0,1.0,1.0,,,,,,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",67.0,53.0,6.0,2.0,20.0,24.0,34.0,44.0,,8.0,,,,,,90.0,98.0,7.8,24.0,0.0992627,2.0,"{'original': 7.8, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,,11.0,9.0,5.0,1.0,2.0,,1.0,6.0,6.0,2.0,2.0,2.0,0.2631,0.7367,,,,,1.0,1.0,,3.0,,1.0,,,BrunoGuimarães,,,
Anthony Gordon,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",31.0,24.0,2.0,2.0,8.0,9.0,19.0,30.0,,8.0,,,,,,85.0,56.0,8.1,17.0,0.334949,4.0,"{'original': 8.1, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,1.0,,7.0,6.0,3.0,1.0,1.0,,,2.0,1.0,2.0,3.0,2.0,0.1381,0.0476,,,1.0,1.0,,,2.0,1.0,,3.0,,1.0,AGordon,,1.0,
Callum Wilson,callum-wilson,C. Wilson,F,9,180,3183,M,113956,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,699148800,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",9.0,5.0,,,,1.0,5.0,8.0,1.0,1.0,,,,,,69.0,24.0,7.5,11.0,0.106473,1.0,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,2.0,3.0,1.0,,1.0,1.0,,,,5.0,2.0,1.0,0.9226,0.9733,,,,,1.0,,1.0,1.0,,,,,,,,
