name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,shotOffTarget,interceptionWon,expectedGoals,outfielderBlock,totalTackle,wonTackle,wasFouled,challengeLost,totalContest,unsuccessfulTouch,wonContest,fouls,blockedScoringAttempt,onTargetScoringAttempt,goals,expectedGoalsOnTarget,hitWoodwork,keyPass,firstName,lastName,bigChanceMissed,totalOffside,bigChanceCreated,totalKeeperSweeper,accurateKeeperSweeper
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",40.0,32.0,8.0,,32.0,32.0,,8.0,3.0,14.0,1.0,,,1.0,90.0,51.0,6.8,8.0,7.32e-05,"{'original': 6.8, 'alternative': 6.7}",0,-0.5273,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",35.0,29.0,3.0,1.0,15.0,16.0,14.0,21.0,1.0,2.0,,,,,84.0,48.0,6.7,9.0,0.0210081,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",68.0,58.0,9.0,2.0,42.0,42.0,16.0,26.0,6.0,1.0,,,,,90.0,84.0,7.4,11.0,0.0255553,"{'original': 7.4, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,3.0,3.0,5.0,,,1.0,,5.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",58.0,42.0,7.0,1.0,31.0,37.0,11.0,21.0,7.0,2.0,,,,,90.0,71.0,6.7,18.0,0.00180231,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,4.0,3.0,5.0,,1.0,,0.0401,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,sergio_regui,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",33.0,25.0,5.0,,8.0,15.0,18.0,23.0,1.0,4.0,,,,,77.0,57.0,7.1,16.0,0.0508452,"{'original': 7.1, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,1.0,1.0,1.0,3.0,6.0,,1.0,1.0,0.0417,2.0,3.0,1.0,,,3.0,3.0,2.0,1.0,,,,,,2.0,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",47.0,43.0,5.0,4.0,20.0,20.0,25.0,31.0,1.0,8.0,,,,,90.0,67.0,7.5,8.0,0.157452,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,1.0,,5.0,2.0,,,1.0,0.131,,2.0,2.0,,1.0,2.0,,,1.0,1.0,,,,,3.0,,,,,1.0,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",39.0,34.0,2.0,1.0,19.0,20.0,15.0,20.0,,3.0,,,,,77.0,47.0,7.0,6.0,0.00910878,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,1.0,1.0,1.0,5.0,,,2.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",36.0,29.0,3.0,1.0,16.0,18.0,13.0,19.0,1.0,4.0,,,,,67.0,47.0,6.8,9.0,0.109391,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,,2.0,3.0,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,bryan_m19,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",25.0,13.0,2.0,,3.0,7.0,11.0,20.0,,7.0,,,,,90.0,49.0,6.2,24.0,0.0139839,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,3.0,11.0,7.0,4.0,,,0.033,1.0,,,3.0,1.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,ivantoney,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",21.0,12.0,3.0,,8.0,10.0,4.0,14.0,2.0,6.0,,,,,90.0,37.0,6.4,15.0,0.00859939,"{'original': 6.4, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,4.0,1.0,8.0,3.0,1.0,,1.0,0.4899,,1.0,,1.0,,1.0,,,2.0,1.0,2.0,,0.63,,,,,1.0,,,,
