Date,home_team,away_team,home_odds,away_odds,tournament_op
2025-01-22,Dplus Kia,FearX,1.1,6.17,LCK
2025-01-22,Team WE,LGD Gaming,1.61,2.24,LPL
2025-01-23,Oh My God,JD Gaming,10.42,1.03,LPL
2025-01-23,OKSavingsBank Brion,Gen.G,10.6,1.03,LCK
2025-01-23,Hanwha Life,Nongshim RedForce,1.06,7.59,LCK
2025-01-24,DRX,FearX,2.16,1.65,LCK
2025-01-24,Top Esports,Anyone's Legend,1.56,2.33,LPL
2025-01-24,T1,KT Rolster,1.36,2.9,LCK
2025-01-25,GIANTX,Movistar KOI,2.03,1.77,LEC
2025-01-25,paiN Gaming,LOUD,1.4,2.82,LTA South
2025-01-25,Vivo Keyd,Leviatan,1.43,2.6,LTA South
2025-01-25,Hanwha Life,Dplus Kia,1.45,2.66,LCK
2025-01-25,Gen.G,DN Freecs,1.07,7.0,LCK
2025-01-25,Royal Never Give Up,Invictus Gaming,4.58,1.18,LPL
2025-01-25,FlyQuest eSports,Shopify Rebellion,1.12,5.54,LTA North
2025-01-25,LNG Esports,Bilibili Gaming,8.14,1.05,LPL
2025-01-25,Karmine Corp,SK Gaming,1.29,3.41,LEC
2025-01-25,Vitality,G2 Esports,3.16,1.33,LEC
2025-01-25,Rogue,Fnatic,3.24,1.32,LEC
2025-01-25,Team BDS,Heretics,1.45,2.75,LEC
2025-01-26,Isurus Gaming,FURIA Esports,1.36,3.0,LTA South
2025-01-26,Team Liquid,Dignitas,1.05,8.44,LTA North
2025-01-26,100 Thieves,Disguised,1.19,4.35,LTA North
2025-01-26,KT Rolster,OKSavingsBank Brion,1.39,2.85,LCK
2025-01-26,Lyon Gaming,Cloud9,2.8,1.38,LTA North
2025-01-26,T1,Nongshim RedForce,1.13,5.28,LCK
2025-01-26,RED Canids,Fluxo,1.09,6.51,LTA South
2025-01-26,Team BDS,Movistar KOI,2.15,1.69,LEC
2025-01-26,SK Gaming,Vitality,1.99,1.8,LEC
2025-01-26,Fnatic,G2 Esports,2.05,1.75,LEC
2025-01-26,Karmine Corp,Rogue,1.3,3.49,LEC
2025-01-26,GIANTX,Heretics,1.51,2.52,LEC
2025-01-27,SK Gaming,Movistar KOI,3.45,1.29,LEC
2025-01-27,Karmine Corp,Heretics,1.28,3.53,LEC
2025-01-27,G2 Esports,GIANTX,1.59,2.34,LEC
2025-01-27,Fnatic,Team BDS,1.3,3.45,LEC
2025-01-27,Vitality,Rogue,1.69,2.13,LEC
2025-01-31,DRX,Hanwha Life,5.72,1.12,LCK
2025-01-31,DN Freecs,KT Rolster,2.91,1.39,LCK
2025-02-01,Vitality,Karmine Corp,3.2,1.32,LEC
2025-02-01,T1,Gen.G,2.83,1.39,LCK
2025-02-01,SK Gaming,Team BDS,2.95,1.39,LEC
2025-02-01,Heretics,Movistar KOI,2.99,1.38,LEC
2025-02-01,Rogue,G2 Esports,3.74,1.27,LEC
2025-02-01,Vivo Keyd,LOUD,3.82,1.25,LTA South
2025-02-01,FURIA Esports,Fluxo,1.13,5.34,LTA South
2025-02-01,OKSavingsBank Brion,Dplus Kia,5.05,1.15,LCK
2025-02-01,Shopify Rebellion,Lyon Gaming,1.57,2.3,LTA North
2025-02-01,GIANTX,Fnatic,2.62,1.48,LEC
2025-02-02,Fnatic,Karmine Corp,1.78,2.01,LEC
2025-02-02,Heretics,Vitality,1.94,1.84,LEC
2025-02-02,G2 Esports,Movistar KOI,1.74,2.06,LEC
2025-02-02,Team Liquid,100 Thieves,1.25,3.82,LTA North
2025-02-02,Nongshim RedForce,FearX,1.67,2.13,LCK
2025-02-02,Team BDS,GIANTX,2.0,1.79,LEC
2025-02-02,Isurus Gaming,RED Canids,1.84,1.89,LTA South
2025-02-02,paiN Gaming,Leviatan,1.2,4.24,LTA South
2025-02-02,Leviatan,Isurus Gaming,3.1,1.57,LTA South
2025-02-02,Rogue,SK Gaming,1.65,2.21,LEC
2025-02-02,Dignitas,Disguised,1.64,2.21,LTA North
2025-02-03,100 Thieves,Cloud9,2.12,1.69,LTA North
2025-02-03,Movistar KOI,Rogue,1.25,3.8,LEC
2025-02-03,SK Gaming,Fnatic,4.89,1.17,LEC
2025-02-03,Vitality,GIANTX,2.17,1.67,LEC
2025-02-03,FlyQuest eSports,Cloud9,1.16,4.85,LTA North
2025-02-03,Karmine Corp,Team BDS,1.37,3.05,LEC
2025-02-03,G2 Esports,Heretics,1.21,4.35,LEC
2025-02-07,Nongshim RedForce,OKSavingsBank Brion,1.61,2.27,LCK
2025-02-07,DRX,DN Freecs,1.73,2.08,LCK
2025-02-08,Hanwha Life,DRX,1.12,5.82,LCK
2025-02-08,T1,Nongshim RedForce,1.1,6.49,LCK
2025-02-08,Ninjas in Pyjamas,FunPlus Phoenix,1.1,6.12,LPL
2025-02-09,FlyQuest eSports,Dignitas,1.05,9.17,LTA North
2025-02-09,RED Canids,LOUD,1.73,2.04,LTA South
2025-02-09,Team Liquid,Shopify Rebellion,1.15,5.07,LTA North
2025-02-09,paiN Gaming,FURIA Esports,1.25,3.78,LTA South
2025-02-09,LOUD,paiN Gaming,1.92,1.8,LTA South
2025-02-09,Weibo Gaming,JD Gaming,2.01,1.75,LPL
2025-02-09,Nongshim RedForce,DRX,2.18,1.65,LCK
2025-02-10,FlyQuest eSports,Team Liquid,1.7,2.13,LTA North
2025-02-10,Team WE,Anyone's Legend,12.39,1.02,LPL
2025-02-11,LNG Esports,EDward Gaming,1.42,2.73,LPL
2025-02-12,Ultra Prime,Oh My God,2.72,1.44,LPL
2025-02-12,KT Rolster,Nongshim RedForce,1.53,2.43,LCK
2025-02-13,Royal Never Give Up,Ninjas in Pyjamas,5.04,1.14,LPL
2025-02-13,T1,Hanwha Life,1.59,2.32,LCK
2025-02-14,TT Gaming,Bilibili Gaming,8.24,1.05,LPL
2025-02-15,Fnatic,Heretics,1.06,8.25,LEC
2025-02-15,Invictus Gaming,FunPlus Phoenix,1.11,6.03,LPL
2025-02-15,Dplus Kia,Nongshim RedForce,1.17,4.76,LCK
2025-02-15,100 Thieves,paiN Gaming,1.09,6.49,LTA Cross Conference
2025-02-15,Leviatan,FlyQuest eSports,9.24,1.04,LTA Cross Conference
2025-02-15,G2 Esports,GIANTX,1.22,4.17,LEC
2025-02-16,Gen.G,Hanwha Life,1.61,2.24,LCK
2025-02-16,Isurus Gaming,Team Liquid,4.29,1.2,LTA Cross Conference
2025-02-16,Karmine Corp,Vitality,1.24,3.9,LEC
2025-02-16,Cloud9,LOUD,1.11,5.88,LTA Cross Conference
2025-02-16,Movistar KOI,Team BDS,1.45,2.75,LEC
2025-02-16,Top Esports,LGD Gaming,1.07,7.36,LPL
2025-02-17,Karmine Corp,Movistar KOI,1.88,1.9,LEC
2025-02-17,Fnatic,G2 Esports,1.67,2.16,LEC
2025-02-19,Dplus Kia,Hanwha Life,2.26,1.6,LCK
2025-02-20,Nongshim RedForce,Gen.G,6.67,1.09,LCK
2025-02-22,Ninjas in Pyjamas,Anyone's Legend,2.23,1.61,LPL
2025-02-22,Heretics,GIANTX,2.89,1.4,LEC
2025-02-22,Dplus Kia,Gen.G,1.91,1.84,LCK
2025-02-22,TT Gaming,JD Gaming,2.62,1.47,LPL
2025-02-22,Team BDS,Vitality,1.78,2.01,LEC
2025-02-22,Team Liquid,Cloud9,1.99,1.75,LTA Cross Conference
2025-02-22,100 Thieves,FlyQuest eSports,3.64,1.27,LTA Cross Conference
2025-02-23,Fnatic,Team BDS,1.14,5.45,LEC
2025-02-23,Movistar KOI,GIANTX,1.46,2.68,LEC
2025-02-23,Top Esports,Invictus Gaming,1.54,2.36,LPL
2025-02-23,Bilibili Gaming,Weibo Gaming,1.27,3.58,LPL
2025-02-23,Hanwha Life,Gen.G,1.9,1.85,LCK
2025-02-23,100 Thieves,Team Liquid,2.06,1.71,LTA Cross Conference
2025-02-24,TT Gaming,Bilibili Gaming,5.25,1.14,LPL
2025-02-24,Ninjas in Pyjamas,Top Esports,2.74,1.43,LPL
2025-02-24,G2 Esports,Karmine Corp,1.53,2.46,LEC
2025-02-25,JD Gaming,Anyone's Legend,1.67,2.13,LPL
2025-02-26,Bilibili Gaming,Top Esports,1.38,2.95,LPL
2025-02-27,JD Gaming,Top Esports,2.24,1.61,LPL
2025-02-28,Movistar KOI,Fnatic,2.72,1.45,LEC
2025-03-01,Karmine Corp,Fnatic,2.29,1.61,LEC
2025-03-01,Anyone's Legend,Top Esports,2.19,1.63,LPL
2025-03-02,G2 Esports,Karmine Corp,1.29,3.53,LEC
2025-03-22,Weibo Gaming,Team WE,1.18,4.52,LPL
2025-03-22,Weibo Gaming,Bilibili Gaming,2.72,1.41,LPL
2025-03-22,EDward Gaming,Bilibili Gaming,4.21,1.2,LPL
2025-03-22,Team WE,Bilibili Gaming,6.17,1.1,LPL
2025-03-22,Team WE,EDward Gaming,3.01,1.36,LPL
2025-03-22,Weibo Gaming,EDward Gaming,1.36,2.97,LPL
2025-03-23,LNG Esports,JD Gaming,3.67,1.25,LPL
2025-03-23,LNG Esports,LGD Gaming,1.63,2.2,LPL
2025-03-23,JD Gaming,Invictus Gaming,1.57,2.32,LPL
2025-03-23,LNG Esports,Invictus Gaming,3.54,1.29,LPL
2025-03-23,LGD Gaming,JD Gaming,3.93,1.23,LPL
2025-03-23,LGD Gaming,Invictus Gaming,3.5,1.27,LPL
2025-03-24,Ultra Prime,TT Gaming,3.49,1.28,LPL
2025-03-24,TT Gaming,Royal Never Give Up,1.27,3.61,LPL
2025-03-24,Ultra Prime,Anyone's Legend,5.77,1.12,LPL
2025-03-24,Ultra Prime,Royal Never Give Up,2.36,1.54,LPL
2025-03-24,TT Gaming,Anyone's Legend,2.64,1.45,LPL
2025-03-24,Royal Never Give Up,Anyone's Legend,5.49,1.13,LPL
2025-03-25,Ninjas in Pyjamas,FunPlus Phoenix,1.23,3.9,LPL
2025-03-25,Top Esports,Oh My God,1.16,4.86,LPL
2025-03-25,Top Esports,FunPlus Phoenix,1.15,5.06,LPL
2025-03-25,Oh My God,FunPlus Phoenix,1.59,2.27,LPL
2025-03-25,Oh My God,Ninjas in Pyjamas,3.68,1.26,LPL
2025-03-25,Top Esports,Ninjas in Pyjamas,1.59,2.25,LPL
2025-03-26,Team WE,Bilibili Gaming,6.15,1.1,LPL
2025-03-26,EDward Gaming,Bilibili Gaming,4.48,1.18,LPL
2025-03-26,Weibo Gaming,Team WE,1.16,4.79,LPL
2025-03-26,Weibo Gaming,EDward Gaming,1.33,3.17,LPL
2025-03-26,Weibo Gaming,Bilibili Gaming,2.84,1.39,LPL
2025-03-26,Team WE,EDward Gaming,2.95,1.37,LPL
2025-03-27,LNG Esports,Invictus Gaming,4.65,1.16,LPL
2025-03-27,LNG Esports,LGD Gaming,1.83,1.88,LPL
2025-03-27,LGD Gaming,JD Gaming,3.67,1.25,LPL
2025-03-27,JD Gaming,Invictus Gaming,1.9,1.81,LPL
2025-03-27,LNG Esports,JD Gaming,4.31,1.19,LPL
2025-03-27,LGD Gaming,Invictus Gaming,4.8,1.16,LPL
2025-03-28,Royal Never Give Up,Anyone's Legend,5.41,1.13,LPL
2025-03-28,TT Gaming,Anyone's Legend,3.18,1.32,LPL
2025-03-28,Ultra Prime,Anyone's Legend,4.69,1.16,LPL
2025-03-28,Ultra Prime,TT Gaming,2.57,1.46,LPL
2025-03-28,TT Gaming,Royal Never Give Up,1.42,2.68,LPL
2025-03-28,Ultra Prime,Royal Never Give Up,1.81,1.9,LPL
2025-03-29,Top Esports,Ninjas in Pyjamas,1.43,2.7,LPL
2025-03-29,Top Esports,Oh My God,1.1,6.2,LPL
2025-03-29,Ninjas in Pyjamas,FunPlus Phoenix,1.22,4.0,LPL
2025-03-29,Fnatic,GIANTX,1.17,4.6,LEC
2025-03-29,Oh My God,Ninjas in Pyjamas,4.57,1.17,LPL
2025-03-29,Heretics,Rogue,1.68,2.13,LEC
2025-03-29,G2 Esports,Movistar KOI,1.34,3.08,LEC
2025-03-29,Oh My God,FunPlus Phoenix,2.1,1.68,LPL
2025-03-29,Top Esports,FunPlus Phoenix,1.11,5.95,LPL
2025-03-30,Movistar KOI,Karmine Corp,2.77,1.41,LEC
2025-03-30,Vitality,GIANTX,2.19,1.63,LEC
2025-03-30,FunPlus Phoenix,Ultra Prime,1.86,1.88,LPL
2025-03-30,Ultra Prime,Team WE,1.83,1.9,LPL
2025-03-30,FunPlus Phoenix,LGD Gaming,2.2,1.61,LPL
2025-03-31,LGD Gaming,Team WE,1.53,2.41,LPL
2025-03-31,Team BDS,Rogue,1.18,4.46,LEC
2025-03-31,Fnatic,SK Gaming,1.05,8.44,LEC
2025-04-02,Hanwha Life,Gen.G,1.69,2.11,LCK
2025-04-02,DRX,DN Freecs,1.67,2.13,LCK
2025-04-03,FearX,Dplus Kia,5.91,1.11,LCK
2025-04-03,Nongshim RedForce,OKSavingsBank Brion,1.3,3.39,LCK
2025-04-04,DRX,T1,6.6,1.08,LCK
2025-04-04,Hanwha Life,KT Rolster,1.09,6.64,LCK
2025-04-05,RED Canids,LOUD,2.35,1.54,LTA South
2025-04-05,DN Freecs,Nongshim RedForce,4.43,1.2,LCK
2025-04-05,Fluxo,Vivo Keyd,2.78,1.4,LTA South
2025-04-05,Karmine Corp,Team BDS,1.26,3.65,LEC
2025-04-05,Team Liquid,FlyQuest eSports,2.16,1.64,LTA North
2025-04-05,Leviatan,FURIA Esports,1.83,1.9,LTA South
2025-04-05,TT Gaming,Bilibili Gaming,4.97,1.16,LPL
2025-04-05,Heretics,G2 Esports,6.24,1.1,LEC
2025-04-05,paiN Gaming,Isurus Gaming,2.22,1.61,LTA South
2025-04-05,Top Esports,Anyone's Legend,1.55,2.3,LPL
2025-04-05,Invictus Gaming,FunPlus Phoenix,1.08,6.85,LPL
2025-04-05,Rogue,Vitality,3.91,1.24,LEC
2025-04-05,OKSavingsBank Brion,FearX,1.81,1.95,LCK
2025-04-05,Shopify Rebellion,Dignitas,1.73,2.02,LTA North
2025-04-06,Lyon Gaming,Disguised,1.73,2.02,LTA North
2025-04-06,SK Gaming,Team BDS,2.01,1.77,LEC
2025-04-06,Fnatic,Karmine Corp,2.42,1.53,LEC
2025-04-06,JD Gaming,Ninjas in Pyjamas,1.39,2.8,LPL
2025-04-06,100 Thieves,Cloud9,2.07,1.72,LTA North
2025-04-06,Fluxo,Leviatan,4.05,1.21,LTA South
2025-04-06,LOUD,paiN Gaming,2.51,1.49,LTA South
2025-04-06,Cloud9,Shopify Rebellion,1.28,3.46,LTA North
2025-04-06,Vivo Keyd,RED Canids,2.06,1.72,LTA South
2025-04-06,FURIA Esports,Isurus Gaming,2.7,1.44,LTA South
2025-04-06,T1,Gen.G,2.43,1.53,LCK
2025-04-06,Team Liquid,100 Thieves,1.66,2.14,LTA North
2025-04-06,FunPlus Phoenix,TT Gaming,2.57,1.47,LPL
2025-04-06,Bilibili Gaming,Invictus Gaming,1.39,2.87,LPL
2025-04-06,KT Rolster,Dplus Kia,3.4,1.3,LCK
2025-04-07,Rogue,GIANTX,2.4,1.53,LEC
2025-04-07,FlyQuest eSports,Disguised,1.14,5.14,LTA North
2025-04-07,Top Esports,Weibo Gaming,1.43,2.72,LPL
2025-04-07,LNG Esports,EDward Gaming,2.41,1.51,LPL
2025-04-07,Heretics,Movistar KOI,3.22,1.32,LEC
2025-04-07,Dignitas,Lyon Gaming,1.82,1.91,LTA North
2025-04-08,Top Esports,FunPlus Phoenix,1.06,7.97,LPL
2025-04-08,Invictus Gaming,Anyone's Legend,1.97,1.77,LPL
2025-04-09,LGD Gaming,Oh My God,1.8,1.95,LPL
2025-04-09,Team WE,JD Gaming,6.38,1.09,LPL
2025-04-09,Dplus Kia,OKSavingsBank Brion,1.13,5.58,LCK
2025-04-09,DN Freecs,Hanwha Life,8.28,1.06,LCK
2025-04-10,FearX,DRX,2.31,1.59,LCK
2025-04-10,Weibo Gaming,TT Gaming,1.24,3.81,LPL
2025-04-10,Bilibili Gaming,Anyone's Legend,1.39,2.82,LPL
2025-04-10,T1,KT Rolster,1.15,5.16,LCK
2025-04-11,Anyone's Legend,FunPlus Phoenix,1.06,7.81,LPL
2025-04-11,Invictus Gaming,Top Esports,2.95,1.37,LPL
2025-04-11,Gen.G,Nongshim RedForce,1.13,5.55,LCK
2025-04-11,OKSavingsBank Brion,DN Freecs,1.94,1.82,LCK
2025-04-12,Team BDS,Heretics,1.26,3.66,LEC
2025-04-12,G2 Esports,Rogue,1.05,8.57,LEC
2025-04-12,FunPlus Phoenix,Weibo Gaming,5.74,1.11,LPL
2025-04-12,SK Gaming,Karmine Corp,5.42,1.14,LEC
2025-04-12,Bilibili Gaming,JD Gaming,1.37,2.97,LPL
2025-04-12,Hanwha Life,T1,1.85,1.92,LCK
2025-04-12,TT Gaming,Invictus Gaming,4.79,1.16,LPL
2025-04-12,paiN Gaming,FURIA Esports,1.49,2.52,LTA South
2025-04-12,Disguised,Cloud9,4.06,1.22,LTA North
2025-04-12,LOUD,Vivo Keyd,1.83,1.9,LTA South
2025-04-12,Isurus Gaming,Fluxo,1.16,4.71,LTA South
2025-04-12,100 Thieves,FlyQuest eSports,2.53,1.49,LTA North
2025-04-12,KT Rolster,FearX,1.5,2.48,LCK
2025-04-12,RED Canids,Leviatan,2.02,1.73,LTA South
2025-04-13,Vivo Keyd,Isurus Gaming,1.88,1.85,LTA South
2025-04-13,RED Canids,paiN Gaming,2.6,1.46,LTA South
2025-04-13,FlyQuest eSports,Shopify Rebellion,1.13,5.22,LTA North
2025-04-13,Movistar KOI,Team BDS,1.53,2.41,LEC
2025-04-13,Leviatan,LOUD,1.8,1.93,LTA South
2025-04-13,Ninjas in Pyjamas,Team WE,1.18,4.41,LPL
2025-04-13,Vitality,Fnatic,5.17,1.15,LEC
2025-04-13,Anyone's Legend,Weibo Gaming,1.49,2.5,LPL
2025-04-13,Dignitas,Team Liquid,4.32,1.19,LTA North
2025-04-13,TT Gaming,Top Esports,5.07,1.15,LPL
2025-04-13,Dplus Kia,Gen.G,3.96,1.24,LCK
2025-04-13,Nongshim RedForce,DRX,1.35,3.07,LCK
2025-04-13,Fluxo,FURIA Esports,3.4,1.28,LTA South
2025-04-13,Shopify Rebellion,Lyon Gaming,1.86,1.88,LTA North
2025-04-13,100 Thieves,Disguised,1.24,3.95,LTA North
2025-04-14,JD Gaming,FunPlus Phoenix,1.1,5.91,LPL
2025-04-14,Royal Never Give Up,Ultra Prime,1.99,1.74,LPL
2025-04-14,Team Liquid,Lyon Gaming,1.31,3.29,LTA North
2025-04-14,GIANTX,SK Gaming,1.55,2.36,LEC
2025-04-14,Cloud9,Dignitas,1.24,3.78,LTA North
2025-04-14,Heretics,Karmine Corp,5.99,1.1,LEC
2025-04-15,Anyone's Legend,TT Gaming,1.1,6.04,LPL
2025-04-15,Ninjas in Pyjamas,Invictus Gaming,2.8,1.4,LPL
2025-04-16,T1,Nongshim RedForce,1.22,4.26,LCK
2025-04-16,FearX,Gen.G,9.75,1.05,LCK
2025-04-16,LGD Gaming,LNG Esports,1.63,2.17,LPL
2025-04-16,Team WE,Top Esports,7.94,1.06,LPL
2025-04-17,DRX,Hanwha Life,8.63,1.06,LCK
2025-04-17,OKSavingsBank Brion,KT Rolster,2.43,1.53,LCK
2025-04-17,Weibo Gaming,Ninjas in Pyjamas,1.73,1.98,LPL
2025-04-17,Bilibili Gaming,Team WE,1.04,8.52,LPL
2025-04-18,TT Gaming,Ninjas in Pyjamas,2.79,1.4,LPL
2025-04-18,Invictus Gaming,JD Gaming,2.32,1.56,LPL
2025-04-18,DN Freecs,Dplus Kia,5.62,1.11,LCK
2025-04-18,FearX,T1,5.33,1.15,LCK
2025-04-19,CTBC Flying Oyster,Talon,1.67,2.1,LCP
2025-04-19,Fnatic,Rogue,1.08,6.73,LEC
2025-04-19,Team WE,Anyone's Legend,6.72,1.08,LPL
2025-04-19,Cloud9,Team Liquid,2.16,1.64,LTA North
2025-04-19,FlyQuest eSports,Lyon Gaming,1.22,3.97,LTA North
2025-04-19,Vivo Keyd,Leviatan,1.49,2.51,LTA South
2025-04-19,Fluxo,paiN Gaming,4.07,1.21,LTA South
2025-04-19,Gen.G,OKSavingsBank Brion,1.04,9.37,LCK
2025-04-19,GIANTX,Karmine Corp,6.38,1.09,LEC
2025-04-19,Vikings Esports,Fukuoka SoftBank Hawks,1.1,5.69,LCP
2025-04-19,Nongshim RedForce,Hanwha Life,5.49,1.13,LCK
2025-04-19,Oh My God,EDward Gaming,2.5,1.49,LPL
2025-04-19,FURIA Esports,RED Canids,1.55,2.32,LTA South
2025-04-19,Isurus Gaming,LOUD,1.74,2.01,LTA South
2025-04-20,FURIA Esports,Vivo Keyd,1.71,2.06,LTA South
2025-04-20,Isurus Gaming,RED Canids,1.7,2.06,LTA South
2025-04-20,Secret Whales,GAM Esports,2.44,1.5,LCP
2025-04-20,LOUD,Fluxo,1.35,3.03,LTA South
2025-04-20,Bilibili Gaming,Top Esports,1.72,2.01,LPL
2025-04-20,Dplus Kia,DRX,1.07,7.96,LCK
2025-04-20,LNG Esports,Ultra Prime,2.27,1.57,LPL
2025-04-20,Dignitas,100 Thieves,3.44,1.28,LTA North
2025-04-20,KT Rolster,DN Freecs,1.58,2.31,LCK
2025-04-20,G2 Esports,Team BDS,1.13,5.47,LEC
2025-04-20,paiN Gaming,Leviatan,1.4,2.8,LTA South
2025-04-20,DetonatioN FocusMe,Chiefs Esports Club,1.48,2.5,LCP
2025-04-20,Cloud9,FlyQuest eSports,2.3,1.57,LTA North
2025-04-20,FunPlus Phoenix,Ninjas in Pyjamas,2.34,1.55,LPL
2025-04-20,Heretics,Vitality,1.89,1.86,LEC
2025-04-20,Shopify Rebellion,Disguised,1.61,2.23,LTA North
2025-04-20,Lyon Gaming,100 Thieves,2.56,1.48,LTA North
2025-04-21,Leviatan,Isurus Gaming,2.07,1.69,LTA South
2025-04-21,Team Liquid,Shopify Rebellion,1.21,4.09,LTA North
2025-04-21,Disguised,Dignitas,2.05,1.7,LTA North
2025-04-21,Disguised,Team Liquid,5.82,1.11,LTA North
2025-04-21,FlyQuest eSports,Dignitas,1.11,5.72,LTA North
2025-04-21,Team WE,Invictus Gaming,5.35,1.13,LPL
2025-04-21,JD Gaming,Weibo Gaming,1.4,2.79,LPL
2025-04-21,SK Gaming,Rogue,1.47,2.57,LEC
2025-04-21,Lyon Gaming,Cloud9,3.03,1.35,LTA North
2025-04-21,RED Canids,Fluxo,1.35,3.03,LTA South
2025-04-21,Vivo Keyd,paiN Gaming,2.4,1.52,LTA South
2025-04-21,LOUD,FURIA Esports,2.4,1.53,LTA South
2025-04-21,Movistar KOI,Vitality,1.2,4.29,LEC
2025-04-22,Team WE,TT Gaming,2.4,1.53,LPL
2025-04-22,100 Thieves,Shopify Rebellion,1.35,3.02,LTA North
2025-04-22,Royal Never Give Up,LGD Gaming,2.29,1.56,LPL
2025-04-23,Nongshim RedForce,FearX,1.77,2.0,LCK
2025-04-23,Oh My God,LNG Esports,2.6,1.46,LPL
2025-04-23,DRX,KT Rolster,2.34,1.57,LCK
2025-04-23,Ninjas in Pyjamas,Top Esports,4.08,1.21,LPL
2025-04-24,Anyone's Legend,JD Gaming,1.54,2.39,LPL
2025-04-24,Hanwha Life,OKSavingsBank Brion,1.06,8.31,LCK
2025-04-24,Weibo Gaming,Team WE,1.22,3.98,LPL
