name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,firstName,lastName,challengeLost,dispossessed,wonContest,interceptionWon,unsuccessfulTouch,onTargetScoringAttempt,blockedScoringAttempt,goals,errorLeadToAGoal,errorLeadToAShot,expectedGoalsOnTarget,keyPass,lastManTackle,outfielderBlock,goalAssist,bigChanceCreated,bigChanceMissed,hitWoodwork,totalOffside,crossNotClaimed,totalKeeperSweeper,accurateKeeperSweeper,accurateCross
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",24.0,19.0,,,6.0,6.0,13.0,18.0,3.0,4.0,,,,,90.0,46.0,7.5,14.0,0.0212192,"{'original': 7.5, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,,11.0,2.0,,2.0,2.0,,,2.0,0.5334,,,,3.0,,1.0,6.0,2.0,,1.0,,,0.8799,,,,,,,,1.0,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",38.0,30.0,2.0,1.0,8.0,9.0,22.0,29.0,2.0,5.0,,,,,45.0,47.0,6.6,10.0,0.0224923,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,4.0,4.0,1.0,,2.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",13.0,13.0,,,1.0,1.0,12.0,12.0,1.0,1.0,,,,,45.0,24.0,7.5,5.0,0.072712,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,1.0,,,1.0,1.0,,,0.9311,,,,1.0,,,4.0,1.0,,1.0,,,0.9501,2.0,,,,,,,,,,,
Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13267,M,radudragusin5,997103,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,1012694400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رادو دراجوشين', 'hi': 'राडू द्रागुसिन', 'bn': 'রাদু ড্রাগুশিন'}, 'shortNameTranslation': {'ar': 'ر. دراجوشين', 'hi': 'आर. द्रागुसिन', 'bn': 'আর. ড্রাগুসিন'}}",2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,11.0,3.0,6.6,1.0,6.204e-05,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183,1466,M,,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,1.0,1.0,,,,,1.0,3.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,3.0,1.0,1.0,,,,1.0,1.0,,Jamie Donley,,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Gil,bryan-gil,B. Gil,M,21,176,3690,M,bryan11gil,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Scarlett,scarlett-dane,D. Scarlett,F,44,180,2195,M,,998772,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1080086400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكارليت، دين', 'hi': 'स्कारलेट, डेन', 'bn': 'স্কারলেট, ডেন'}, 'shortNameTranslation': {'ar': 'د. سكارليت', 'hi': 'डी. स्कारलेट', 'bn': 'ডি. স্কারলেট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",34.0,17.0,27.0,10.0,10.0,11.0,7.0,23.0,1.0,7.0,2.0,1.0,2.0,1.0,90.0,40.0,6.5,17.0,0.00116079,"{'original': 6.5, 'alternative': 6}",0,-0.0032999999999999,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",19.0,13.0,5.0,2.0,10.0,12.0,3.0,7.0,4.0,5.0,,,,,78.0,37.0,6.5,8.0,0.00195029,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",24.0,16.0,5.0,2.0,10.0,13.0,6.0,11.0,7.0,2.0,,,,,90.0,42.0,7.1,8.0,0.0143877,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,1.0,5.0,,1.0,1.0,1.0,1.0,,0.089,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180,600,M,,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",24.0,13.0,5.0,3.0,5.0,8.0,9.0,17.0,4.0,2.0,,,,,90.0,47.0,7.0,13.0,0.155004,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,1.0,8.0,,,4.0,2.0,,,0.0622,,,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,1.0
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",15.0,9.0,2.0,,6.0,9.0,4.0,8.0,2.0,5.0,,,,,78.0,31.0,6.1,15.0,0.0736799,"{'original': 6.1, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,1.0,5.0,2.0,4.0,,1.0,1.0,,,,Mads,Roerslev,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",19.0,12.0,4.0,2.0,8.0,10.0,7.0,14.0,1.0,6.0,,,,,57.0,40.0,7.3,13.0,0.220351,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,,4.0,4.0,2.0,,3.0,2.0,,,,,,3.0,,1.0,3.0,2.0,,,,,,,2.0,1.0,,,1.0,,,1.0,,,,3.0
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",37.0,30.0,4.0,3.0,13.0,14.0,17.0,23.0,,11.0,,,,,90.0,61.0,7.5,11.0,0.0375352,"{'original': 7.5, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,3.0,8.0,9.0,,,3.0,1.0,3.0,6.0,,,,1.0,1.0,,7.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",18.0,14.0,4.0,3.0,8.0,9.0,6.0,10.0,,5.0,,,,,88.0,30.0,6.6,8.0,0.0083809,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,2.0,4.0,1.0,,1.0,,2.0,1.0,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",19.0,15.0,1.0,,6.0,7.0,9.0,14.0,1.0,4.0,,,,,88.0,34.0,6.4,13.0,0.109918,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,2.0,4.0,5.0,3.0,,1.0,,1.0,,,,,1.0,,1.0,,4.0,,,,,,,1.0,,,,,,,,,,,
