name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,fouls,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,expectedGoals,totalCross,accurateCross,aerialLost,aerialWon,duelWon,bigChanceCreated,clearanceOffLine,ownGoals,keyPass,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,expectedGoalsOnTarget,totalContest,wonContest,unsuccessfulTouch,totalOffside,sofascoreId,errorLeadToAShot,wasFouled,goalAssist,goals
William Osula,,,osula-william,W. Osula,F,18,191.0,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",4.0,2.0,,,1.0,1.0,1.0,3.0,,,,,,,31.0,6.0,6.5,2.0,0.00042976,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188.0,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",14.0,11.0,3.0,1.0,6.0,7.0,5.0,7.0,,,,,,,59.0,25.0,6.2,5.0,0.00160399,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,,6.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,1.0,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180.0,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",9.0,8.0,1.0,,6.0,6.0,2.0,4.0,1.0,,,,,,27.0,15.0,6.2,3.0,0.00072842,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180.0,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",12.0,9.0,4.0,1.0,6.0,6.0,3.0,7.0,2.0,,,,,,11.0,16.0,6.8,4.0,0.00122257,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,
Tom Davies,,,tom-davies,T. Davies,M,22,179.0,345,M,795058,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899164800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم ديفيس', 'hi': 'टॉम डेविस', 'bn': 'টম ডেভিস'}, 'shortNameTranslation': {'ar': 'ت. ديفيس', 'hi': 'टी. डेविस', 'bn': 'টি. ডেভিস'}}",2.0,1.0,,,1.0,2.0,,,,,,,,,11.0,3.0,6.5,1.0,2.358e-05,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhian Brewster,,,rhian-brewster,R. Brewster,F,10,180.0,873,M,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,11.0,6.0,6.5,1.0,0.00041217,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,
Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1148,M,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Blacker,Billy,Blacker,billy-blacker,B. Blacker,M,24,,29,M,1515860,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1148515200,"{'value': 110000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي بلاكر'}, 'shortNameTranslation': {'ar': 'ب. بلاكر'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180.0,223,M,1191153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073520000,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188.0,920,M,367228,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,833846400,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر مكبورني', 'hi': 'ओलिवर मैकबर्नी', 'bn': 'অলিভার ম্যাকবার্নি'}, 'shortNameTranslation': {'ar': 'أ. مكبورني', 'hi': 'ओ. मैकबर्नी', 'bn': 'ও. ম্যাকবার্নি'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,193.0,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",18.0,18.0,,,18.0,18.0,,,5.0,1.0,1.0,1.0,,,90.0,24.0,7.1,,4.867e-05,"{'original': 7.1, 'alternative': 7.3}",0,0.289,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,,,adam-webster,A. Webster,D,4,191.0,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",48.0,45.0,2.0,2.0,9.0,9.0,36.0,39.0,1.0,,,,,,45.0,54.0,7.2,4.0,0.0395363,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,,,,1.0,,,,2.0,2.0,2.0,,,,2.0,,,,,,,,,,1.0,,,,,,
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,189.0,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",143.0,137.0,3.0,3.0,51.0,54.0,86.0,89.0,6.0,,,,,,90.0,156.0,8.2,9.0,0.484465,"{'original': 8.2, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,,,4.0,,,0.0132,,,1.0,6.0,9.0,,,,3.0,2.0,,,1.0,3.0,3.0,,1.0,,2.0,,,,,,
Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190.0,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",164.0,155.0,8.0,4.0,72.0,75.0,83.0,90.0,8.0,,,,,,90.0,169.0,8.3,10.0,0.473429,"{'original': 8.3, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,,,1.0,,,0.1123,1.0,,,3.0,3.0,1.0,,,2.0,1.0,,1.0,1.0,,,0.0687,,,,,,,,1.0,
Tariq Lamptey,,,lamptey-tariq,T. Lamptey,D,48,165.0,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",27.0,26.0,1.0,1.0,8.0,9.0,18.0,19.0,,,,,,,45.0,38.0,6.8,4.0,0.0537633,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,,,,1.0,,0.0281,1.0,,2.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,TariqLamptey,,,,
Pascal Groß,,,pascal-gross,P. Groß,M,13,181.0,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",119.0,116.0,4.0,3.0,35.0,36.0,90.0,102.0,1.0,,,,,,90.0,148.0,9.1,13.0,0.7606,"{'original': 9.1, 'alternative': 9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,1.0,,,,0.7265,19.0,9.0,1.0,,1.0,2.0,,,9.0,,,1.0,1.0,1.0,1.0,,,,,,pascalgross65,,,1.0,
Billy Gilmour,,,gilmour-billy,B. Gilmour,M,6,169.0,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",124.0,120.0,4.0,3.0,38.0,38.0,82.0,86.0,6.0,,,,,,90.0,133.0,7.6,7.0,0.121571,"{'original': 7.6, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,1.0,1.0,,1.0,0.0366,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,billygilmour,,,,
Simon Adingra,,,simon-adingra,S. Adingra,M,24,175.0,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",26.0,23.0,,,5.0,6.0,19.0,29.0,5.0,,,,,,90.0,51.0,8.7,15.0,0.0445528,"{'original': 8.7, 'alternative': 8.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,1.0,,2.0,1.0,1.0,,0.4764,9.0,1.0,,,1.0,,,,,2.0,1.0,3.0,1.0,1.0,,0.3974,2.0,,1.0,,simon.adingra,,,,2.0
Facundo Buonanotte,Facundo Buonanotte,,facundo-buonanotte,F. Buonanotte,M,40,174.0,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",22.0,20.0,,,5.0,6.0,15.0,16.0,1.0,,,,,,66.0,33.0,7.5,3.0,0.0356527,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,,,1.0,,0.455,,,,,5.0,,,,,2.0,,1.0,,4.0,2.0,0.7857,,,1.0,,facubuonanotte_,,1.0,,1.0
Kaoru Mitoma,,,mitoma-kaoru,K. Mitoma,M,22,178.0,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",45.0,33.0,1.0,,8.0,10.0,25.0,42.0,3.0,,,,,,76.0,64.0,7.8,23.0,0.116972,"{'original': 7.8, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,,,0.2124,7.0,,,2.0,6.0,,,,1.0,,,1.0,1.0,1.0,1.0,0.2022,2.0,2.0,4.0,,KaoruM,,1.0,,
