name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,totalClearance,lastManTackle,totalTackle,wonTackle,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,blockedScoringAttempt,outfielderBlock,interceptionWon,aerialLost,dispossessed,firstName,lastName,totalCross,accurateCross,totalContest,wonContest,bigChanceMissed,wasFouled,unsuccessfulTouch,clearanceOffLine,goals,totalOffside
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",26.0,22.0,,,0.0,10.0,10.0,1.0,,,90.0,37.0,7.1,8.0,0.0283221,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,12.0,16.0,,3.0,6.0,,,,,,,6.0,3.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,,,2.0,,,
Julio Enciso,julio-enciso,J. Enciso,M,10,173,11901,M,973556,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,1074816000,"{'value': 18900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'خوليو إنسيسو', 'hi': 'जूलियो एनकिसो', 'bn': 'জুলিও এনসিসো'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'hi': 'जे. एनकिसो', 'bn': 'জে. এনসিসো'}}",13.0,8.0,1.0,1.0,0.0,3.0,3.0,,,,34.0,17.0,6.6,6.0,0.00376499,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,julioenciso.33,5.0,10.0,,3.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,
Tariq Lamptey,lamptey-tariq,T. Lamptey,D,48,165,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",7.0,7.0,,,0.0,3.0,3.0,,,,9.0,9.0,6.2,1.0,0.0250896,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,TariqLamptey,4.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",21.0,20.0,1.0,1.0,0.0,10.0,10.0,1.0,,,9.0,22.0,6.4,1.0,0.00546037,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,billygilmour,10.0,11.0,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",3.0,3.0,,,0.0,2.0,2.0,,,,9.0,9.0,6.8,1.0,0.00236486,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,AnsuFati,1.0,1.0,,1.0,3.0,,,,,,,1.0,1.0,,0.0378,,,1.0,,,,1.0,,,,,,,,2.0,,,,
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odeluga Offiah,odeluga-offiah,O. Offiah,D,42,187,114,M,1069627,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1035590400,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديلوجا أوفيه', 'hi': 'ओडेलुगा ओफियाह', 'bn': 'ওডেলুগা অফিয়াহ'}, 'shortNameTranslation': {'ar': 'أ. أوفيه', 'hi': 'ओ. ऑफियाह', 'bn': 'ও. অফিয়াহ'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,Odeluga Offiah,,,,,,,,,,,
Cameron Peupion,cameron-peupion,C. Peupion,M,21,175,199,M,1002331,"{'alpha2': 'AU', 'alpha3': 'AUS', 'name': 'Australia', 'slug': 'australia'}",EUR,1032739200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون بيوبيون', 'hi': 'कैमरून पेउपियन', 'bn': 'ক্যামেরন পিউপিয়ন'}, 'shortNameTranslation': {'ar': 'ك. بيوبيون', 'hi': 'सी. पेउपियन', 'bn': 'সি. পিউপিয়ন'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,facubuonanotte_,,,,,,,,,,,,,,,,,,,,,,,Facundo Buonanotte,,,,,,,,,,,
Benicio Boaitey,boaitey-benicio,B. Boaitey,M,26,162,113,M,1142604,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073606400,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوياتي، بينيشيو', 'hi': 'बोआइटे, बेनिसियो', 'bn': 'বোয়াইতে, বেনিসিও'}, 'shortNameTranslation': {'ar': 'ب. بينيشيو', 'hi': 'बी. बोआइटे', 'bn': 'বি. বোয়াইটি'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Onana,andre-onana,A. Onana,G,24,190,55570,M,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",45.0,34.0,19.0,8.0,0.0,33.0,37.0,15.0,2.0,2.0,90.0,53.0,7.2,11.0,0.00027792,"{'original': 7.2, 'alternative': 7.4}",0,0.7561,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,AndréOnana24,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",33.0,31.0,1.0,,0.0,16.0,17.0,4.0,,,90.0,55.0,6.8,6.0,0.00663804,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,awbissaka,15.0,16.0,,6.0,2.0,1.0,,,,,,1.0,,,,,,,1.0,2.0,1.0,2.0,,,,,3.0,1.0,,,,,,
Casemiro,casemiro,Casemiro,M,18,185,88452,M,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",58.0,52.0,10.0,6.0,0.0,27.0,28.0,3.0,,,90.0,81.0,9.4,7.0,0.231299,"{'original': 9.4, 'alternative': 9.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Casemiro,25.0,30.0,,6.0,7.0,,,,,5.0,,6.0,4.0,3.0,,,1.0,,5.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,,
Lisandro Martínez,lisandro-martinez,L. Martínez,D,6,175,51098,M,859999,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,885081600,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليساندرو مارتينيز', 'hi': 'लिसांड्रो मार्टिनेज', 'bn': 'লিসান্দ্রো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'hi': 'एल. मार्टिनेज', 'bn': 'এল. মার্টিনেজ'}}",39.0,36.0,2.0,1.0,0.0,30.0,31.0,2.0,,,59.0,45.0,7.0,3.0,0.00354886,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,LichaMartínez,6.0,8.0,,,2.0,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",38.0,33.0,4.0,3.0,0.0,23.0,24.0,7.0,,,90.0,49.0,8.0,7.0,0.0104086,"{'original': 8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DDalot,10.0,15.0,,2.0,3.0,1.0,,,1.0,1.0,,3.0,2.0,1.0,0.5305,0.6416,2.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,
Kobbie Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",33.0,28.0,2.0,1.0,0.0,15.0,17.0,3.0,,,75.0,48.0,7.1,8.0,0.00750534,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,KobbieM,13.0,16.0,,3.0,7.0,,,,,,,2.0,1.0,1.0,,,2.0,,,,,1.0,Kobbie,Mainoo,,,4.0,3.0,,2.0,1.0,,,
Sofyan Amrabat,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",46.0,41.0,1.0,1.0,0.0,26.0,28.0,,,,69.0,57.0,6.6,9.0,0.00920145,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,sofyanamrabat,15.0,18.0,,4.0,1.0,,,,,2.0,,,,1.0,,,,,1.0,1.0,,3.0,,,,,,,,1.0,1.0,,,
Amad Diallo,diallo-amad,A. Diallo,F,16,173,85678,M,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",31.0,29.0,,,0.0,11.0,13.0,1.0,,,75.0,48.0,6.6,8.0,0.125193,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,AmadDiallo19,18.0,18.0,2.0,8.0,5.0,1.0,,1.0,,1.0,,2.0,1.0,,0.0315,,2.0,,,,1.0,4.0,,,,,3.0,1.0,,,,,,
Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",26.0,20.0,3.0,2.0,0.0,6.0,9.0,3.0,,,90.0,43.0,7.1,13.0,0.0150764,"{'original': 7.1, 'alternative': 6.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,AleGarnacho,14.0,19.0,,3.0,5.0,,,,1.0,,,1.0,1.0,,0.2656,0.0296,,3.0,,,,3.0,,,2.0,,3.0,3.0,,1.0,2.0,,,1.0
Scott McTominay,scott-mctominay,S. McTominay,M,8,193,24760,M,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",24.0,21.0,2.0,,0.0,8.0,9.0,3.0,,,90.0,36.0,6.8,7.0,0.00955976,"{'original': 6.8, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,ScottMcTominay,13.0,15.0,,2.0,3.0,,,1.0,,1.0,,1.0,1.0,,0.2952,,,2.0,,,,2.0,,,,,,,,2.0,1.0,,,
