name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelWon,outfielderBlock,interceptionWon,wasFouled,totalTackle,wonTackle,aerialLost,duelLost,challengeLost,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goalAssist,totalCross,accurateCross,dispossessed,unsuccessfulTouch,shotOffTarget,bigChanceCreated,bigChanceMissed,hitWoodwork,sofascoreId,savedShotsFromInsideTheBox,totalOffside
Ivan Toney,ivan-toney,I. Toney,F,17,185.0,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",33.0,18.0,2.0,1.0,4.0,8.0,16.0,29.0,4.0,5.0,,,,90.0,56.0,7.9,22.0,0.389844,"{'original': 7.9, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,7.0,,1.0,4.0,1.0,1.0,5.0,5.0,,,,1.0,,1.0,1.0,0.1114,0.3517,2.0,,,,4.0,2.0,,5.0,,1.0,,,ivantoney,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178.0,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",12.0,8.0,2.0,1.0,3.0,5.0,5.0,7.0,,2.0,,,,16.0,22.0,6.7,8.0,0.00656957,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,3.0,,,3.0,,,,2.0,,2.0,,,1.0,,,0.0183,,,,,,,,,2.0,,,,,sergio_regui,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180.0,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",9.0,6.0,1.0,,2.0,3.0,4.0,6.0,,2.0,,,,16.0,12.0,6.7,3.0,0.00371828,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196.0,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",2.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,11.0,8.0,6.9,2.0,0.00154226,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180.0,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dasilva,joshua-dasilva,J. D. Silva,M,,184.0,455,M,856260,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,909100800,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوشوا داسيلفا', 'hi': 'जोशुआ दासिल्वा', 'bn': 'জোশুয়া দাসিলভা'}, 'shortNameTranslation': {'ar': 'ج. داسيلفا', 'hi': 'जेडी दासिल्वा', 'bn': 'জে. ডি. সিলভা'}}",4.0,3.0,,,1.0,1.0,2.0,4.0,,,,,,11.0,12.0,6.4,6.0,0.00072203,"{'original': 6.4, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,1.0,1.0,,5.0,,1.0,1.0,,,,2.0,,,,,,,1.0,,3.0,1.0,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191.0,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189.0,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180.0,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Peart-Harris,myles-peart-harris,M. Peart-Harris,M,25,187.0,181,M,980649,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1032307200,"{'value': 875000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايلز بيرت-هاريس', 'hi': 'माइल्स पीयर्ट-हैरिस', 'bn': 'মাইলস পিয়ার্ট-হ্যারিস'}, 'shortNameTranslation': {'ar': 'م. بيرت-هاريس', 'hi': 'एम. पीयर्ट-हैरिस', 'bn': 'এম. পিয়ার্ট-হ্যারিস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,matt-turner,M. Turner,G,30,190.0,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",28.0,19.0,18.0,9.0,16.0,16.0,3.0,12.0,2.0,7.0,1.0,2.0,,90.0,35.0,6.2,10.0,0.00114638,"{'original': 6.2, 'alternative': 5.9}",0,-1.7275,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175.0,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",37.0,28.0,5.0,1.0,12.0,14.0,16.0,26.0,3.0,4.0,,,,86.0,57.0,6.6,15.0,0.0216876,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,gonzalo_montiel29,,
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,188.0,706,M,983066,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1024790400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",31.0,25.0,3.0,2.0,15.0,21.0,10.0,10.0,6.0,2.0,,,,90.0,44.0,6.5,7.0,0.00665159,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,3.0,,1.0,1.0,3.0,6.0,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,
Murillo,murillo,Murillo,D,5,180.0,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",38.0,26.0,7.0,1.0,11.0,17.0,15.0,21.0,7.0,6.0,,,,90.0,53.0,6.4,14.0,0.0134801,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,Murillo,,,,,,1.0,,,,,murillosantiago40,,
Nuno Tavares,nuno-tavares,N. Tavares,D,17,185.0,4988,M,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",60.0,49.0,5.0,2.0,13.0,15.0,36.0,47.0,2.0,4.0,,,,90.0,89.0,6.7,22.0,0.0398946,"{'original': 6.7, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,,,1.0,,,,3.0,1.0,4.0,3.0,1.0,,,,0.0376,0.0237,,,,,2.0,,1.0,3.0,1.0,,,,nuno_tavares71,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178.0,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",61.0,55.0,2.0,2.0,17.0,19.0,38.0,42.0,1.0,2.0,,,,90.0,73.0,6.7,8.0,0.0900072,"{'original': 6.7, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,6.0,,,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,1.0,0.5367,,1.0,,,,,,1.0,,3.0,,1.0,,,,
Danilo,danilo,Danilo,M,35,177.0,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",47.0,40.0,8.0,5.0,12.0,16.0,28.0,32.0,2.0,8.0,,,,90.0,60.0,7.7,8.0,0.157051,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0486,0.3113,1.0,,,,1.0,,,,,1.0,,,Danilo,,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179.0,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",69.0,58.0,6.0,3.0,13.0,15.0,46.0,56.0,,6.0,,,,90.0,87.0,7.2,17.0,0.312847,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,10.0,1.0,1.0,2.0,2.0,1.0,3.0,8.0,,6.0,4.0,,,,3.0,,,1.0,,,,2.0,1.0,,2.0,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190.0,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",33.0,27.0,1.0,,11.0,13.0,16.0,20.0,1.0,5.0,,,,62.0,44.0,6.5,8.0,0.0189356,"{'original': 6.5, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,3.0,,1.0,1.0,,,,3.0,1.0,,,,1.0,,1.0,0.0645,,,,,,,,1.0,1.0,1.0,,,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177.0,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",38.0,34.0,1.0,1.0,2.0,2.0,34.0,41.0,,2.0,,,,90.0,62.0,7.3,13.0,0.173879,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,,,1.0,2.0,1.0,1.0,6.0,1.0,4.0,3.0,,1.0,,,0.0938,,2.0,,,1.0,5.0,2.0,3.0,2.0,,1.0,,,Calteck10,,2.0
