name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,unsuccessfulTouch,fouls,keyPass,firstName,lastName,wonTackle,aerialWon,dispossessed,bigChanceMissed,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,goals,wasFouled,bigChanceCreated,goodHighClaim,ownGoals
Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",16.0,9.0,,,1.0,1.0,8.0,15.0,4.0,,,,,66.0,25.0,7.2,8.0,0.2062,0.158,0.0489644,"{'original': 7.2, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,1.0,2.0,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,2.0,,2.0,,,
Marcus Rashford,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",16.0,13.0,,,3.0,6.0,10.0,10.0,2.0,,,,,85.0,34.0,6.0,12.0,0.3903,0.9236,0.0486685,"{'original': 6, 'alternative': 5.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,2.0,,2.0,1.0,1.0,,,,,,3.0,,2.0,,,,,4.0,2.0,1.0,1.0,1.0,,1.0,,,
Jadon Sancho,sancho-jadon,J. Sancho,M,19,180,74821,M,JSancho,851100,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,953942400,"{'value': 19400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جادون سانشو', 'hi': 'सैन्चो, जाडॉन', 'bn': 'সানচো, জাডন'}, 'shortNameTranslation': {'ar': 'ج. سانشو', 'hi': 'जे. जाडॉन', 'bn': 'জে. সানচো'}}",14.0,13.0,,,5.0,6.0,8.0,8.0,4.0,,,,,24.0,22.0,6.6,3.0,0.0,0.0,0.0077163,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,3.0,4.0,1.0,5.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",16.0,16.0,1.0,1.0,3.0,3.0,13.0,15.0,,,,,,24.0,27.0,6.8,2.0,0.0,0.0,0.0116477,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,,,4.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
Christian Eriksen,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",17.0,16.0,2.0,1.0,4.0,4.0,12.0,13.0,2.0,,,,,24.0,23.0,6.9,2.0,0.0,0.0,0.00936989,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,2.0,,,,,,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,
Facundo Pellistri,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",5.0,5.0,,,,,5.0,5.0,1.0,,,,,15.0,10.0,6.7,2.0,0.0,0.0,0.00787243,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,
Anthony Martial,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",6.0,6.0,,,,,6.0,6.0,,,,,,15.0,8.0,6.6,1.0,0.0,0.0,0.0102126,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
Radek Vitek,vitek-radek,R. Vítek,G,23,198,1129,M,,1101989,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,1066953600,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتك، راديك', 'hi': 'विटेक, राडेक', 'bn': 'ভিটেক, রাদেক'}, 'shortNameTranslation': {'ar': 'ر. فيتك', 'hi': 'आर. विटेक', 'bn': 'আর. ভিটেক'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Henderson,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McTominay,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
