name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalClearance,outfielderBlock,totalTackle,fouls,expectedGoals,keyPass,dispossessed,interceptionWon,wonTackle,unsuccessfulTouch,wasFouled,expectedGoalsOnTarget,bigChanceCreated,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,accurateCross,bigChanceMissed,goals,totalOffside,firstName,lastName,goalAssist,punches,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal,clearanceOffLine
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,GabiMartinelli,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",38.0,34.0,2.0,2.0,6.0,6.0,32.0,45.0,4.0,,,,82.0,69.0,8.0,17.0,0.72156,"{'original': 8, 'alternative': 7.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,2.0,,6.0,7.0,,,,,3.0,,0.2029,5.0,2.0,,2.0,,1.0,,1.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",3.0,3.0,,,,,3.0,3.0,,,,,9.0,3.0,7.2,,0.13072,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,
Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31309,M,leandrotrossard,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",5.0,4.0,,,3.0,3.0,1.0,2.0,,,,,8.0,8.0,6.7,2.0,0.0384184,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,esr,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",2.0,2.0,,,2.0,2.0,,,1.0,,,,8.0,3.0,6.8,,2.157e-05,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,0.0594,,,,,,,0.0279,,,,,,,,,,,,,,,,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4985,M,reissnelson,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,8.0,3.0,6.5,1.0,2.48e-06,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",2.0,1.0,,,1.0,2.0,,,1.0,,,,1.0,3.0,,1.0,2.465e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,ARamsdale,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178,15469,M,myleslewisskelly,1423711,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1159228800,"{'value': 43000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس-سكيلي، مايلز', 'hi': 'लुईस-स्केली, माइल्स', 'bn': 'লুইস-স্কেলি, মাইলস'}, 'shortNameTranslation': {'ar': 'م. لويس-سكيلي', 'hi': 'एम. लुईस-स्केली', 'bn': 'এম. লুইস-স্কেলি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myles Lewis-Skelly,,,,,,,,
Reuell Walters,walters-reuell,R. Walters,D,2,183,368,M,,1138843,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1103155200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'والترز، روييل', 'hi': 'वाल्टर्स, रूएल', 'bn': 'ওয়াল্টার্স, রিয়েল'}, 'shortNameTranslation': {'ar': 'ر. والترز', 'hi': 'आर. वाल्टर्स', 'bn': 'আর. ওয়াল্টার্স'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Soares,cedric-soares,C. Soares,M,6,172,2753,M,,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",40.0,37.0,5.0,3.0,37.0,39.0,,1.0,11.0,,5.0,6.0,90.0,53.0,7.7,3.0,4.098e-05,"{'original': 7.7, 'alternative': 7.4}",0,-0.5674,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",10.0,9.0,,,7.0,8.0,2.0,2.0,1.0,,,,27.0,13.0,6.5,2.0,0.00053301,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",82.0,79.0,2.0,1.0,54.0,56.0,25.0,26.0,4.0,,,,90.0,99.0,6.7,4.0,0.013613,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,6.0,,,9.0,2.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",108.0,95.0,13.0,5.0,70.0,75.0,25.0,34.0,4.0,,,,90.0,122.0,7.4,14.0,0.020257,"{'original': 7.4, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,,4.0,1.0,3.0,,3.0,4.0,,1.0,0.0162,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0
James Milner,james-milner,J. Milner,M,20,175,3314,M,,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",21.0,17.0,4.0,2.0,11.0,12.0,6.0,10.0,1.0,,,,60.0,35.0,6.5,9.0,0.00405883,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,1.0,5.0,4.0,,,2.0,,3.0,1.0,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,pascalgross65,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",61.0,54.0,6.0,2.0,30.0,34.0,26.0,32.0,1.0,,,,90.0,78.0,7.1,10.0,0.166494,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,,2.0,4.0,1.0,,1.0,2.0,3.0,1.0,0.4066,4.0,,,2.0,,1.0,,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,billygilmour,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",65.0,60.0,1.0,,33.0,35.0,27.0,30.0,2.0,,,,90.0,70.0,6.6,7.0,0.0190678,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,simon.adingra,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",24.0,19.0,3.0,,9.0,12.0,10.0,14.0,4.0,,,,79.0,36.0,6.4,10.0,0.0272334,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,5.0,4.0,1.0,,,,2.0,2.0,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",22.0,20.0,,,13.0,15.0,7.0,7.0,1.0,,,,60.0,27.0,6.6,3.0,0.0031502,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,4.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,KaoruM,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",26.0,24.0,1.0,1.0,11.0,13.0,13.0,14.0,4.0,,,,90.0,33.0,6.4,6.0,0.0551283,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,7.0,3.0,2.0,,,,,2.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,
