name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,hitWoodwork,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,keyPass,aerialLost,aerialWon,bigChanceMissed,blockedScoringAttempt,outfielderBlock,unsuccessfulTouch,onTargetScoringAttempt,expectedGoalsOnTarget,goals,punches,errorLeadToAShot,totalOffside
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,AGordon,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",32.0,26.0,1.0,,4.0,5.0,23.0,30.0,4.0,,,,89.0,53.0,7.9,15.0,0.129108,"{'original': 7.9, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,3.0,5.0,,,2.0,,,,,,,2.0,2.0,3.0,,0.7383,2.0,1.0,,,1.0,,4.0,2.0,1.0069,1.0,,,
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",3.0,,3.0,,,,,3.0,1.0,,,,14.0,4.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,,,loris-karius,L. Karius,G,1,190,1695,M,,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Murphy,,,alex-murphy,A. Murphy,D,37,188,673,M,,1125214,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1088121600,"{'value': 315000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil Krafth,,,emil-krafth,E. Krafth,D,17,184,946,M,,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Diallo,,,diallo-amadou,A. Diallo,D,16,166,177,M,,1000449,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1045267200,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أمادو', 'hi': 'डायलो, अमाडौ', 'bn': 'ডায়ালো, আমাদৌ'}, 'shortNameTranslation': {'ar': 'د. أمادو', 'hi': 'ए. डायलो', 'bn': 'এ. ডায়ালো'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4014,M,lewishall_10,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Parkinson,Ben Parkinson,,parkinson-ben,B. Parkinson,F,40,183,117,M,,1409087,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1110412800,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باركنسون، بن', 'hi': 'पार्किंसन, बेन', 'bn': 'পারকিনসন, বেন'}, 'shortNameTranslation': {'ar': 'ب. باركنسون', 'hi': 'बी. पार्किंसन', 'bn': 'বি. পার্কিনসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",37.0,20.0,20.0,3.0,17.0,22.0,3.0,15.0,13.0,1.0,2.0,3.0,90.0,52.0,7.0,17.0,0.00035159,"{'original': 7, 'alternative': 7}",0,0.4946,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,3.0,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",29.0,19.0,3.0,,11.0,19.0,8.0,11.0,5.0,,,,80.0,44.0,6.5,14.0,0.00404199,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,1.0,2.0,,1.0,,,,,,3.0,,2.0,2.0,,,0.0335,,,,,1.0,1.0,,,,,,1.0,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",39.0,25.0,9.0,1.0,19.0,21.0,6.0,18.0,4.0,,,,90.0,64.0,7.1,16.0,0.00320948,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,11.0,6.0,2.0,,1.0,,,1.0,,6.0,3.0,3.0,1.0,,5.0,0.0792,,3.0,3.0,,1.0,3.0,1.0,,,,,,1.0
Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17125,M,lukeshaw23,190839,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,805507200,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك شو', 'hi': 'ल्यूक शॉ', 'bn': 'লুক শ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'hi': 'एल. शॉ', 'bn': 'এল. শ'}}",42.0,39.0,2.0,1.0,26.0,29.0,14.0,18.0,4.0,,,,90.0,58.0,7.0,9.0,0.0421075,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,2.0,3.0,,,2.0,1.0,,,,4.0,,,,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",29.0,17.0,3.0,1.0,11.0,23.0,6.0,8.0,7.0,,,,90.0,62.0,6.5,23.0,0.00861157,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,6.0,5.0,1.0,1.0,2.0,,,,,4.0,1.0,4.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",24.0,22.0,,,8.0,8.0,14.0,16.0,6.0,,,,90.0,31.0,6.4,2.0,0.00583075,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,9.0,2.0,2.0,,,,,,,1.0,,2.0,2.0,,3.0,,,4.0,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",38.0,35.0,1.0,,13.0,15.0,22.0,23.0,3.0,,,,80.0,45.0,6.7,5.0,0.0157049,"{'original': 6.7, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,1.0,,1.0,,,,,,3.0,,,,1.0,,,,2.0,,,,,1.0,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",17.0,11.0,2.0,1.0,5.0,7.0,6.0,11.0,3.0,,,,61.0,22.0,6.3,9.0,0.00551479,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,4.0,1.0,2.0,,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",50.0,42.0,9.0,6.0,11.0,13.0,31.0,39.0,9.0,,,,90.0,64.0,6.7,16.0,0.195991,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,2.0,,8.0,3.0,1.0,2.0,3.0,1.0,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,,2.0,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",15.0,11.0,1.0,1.0,5.0,6.0,6.0,11.0,1.0,,,,90.0,33.0,7.1,9.0,0.0154511,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,5.0,6.0,2.0,1.0,2.0,2.0,,,,,1.0,2.0,1.0,2.0,1.0,0.0968,1.0,1.0,,,,,2.0,1.0,0.1663,,,,
Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",13.0,9.0,,,2.0,4.0,7.0,9.0,,,,,61.0,18.0,6.5,6.0,0.00690461,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,6.0,2.0,,1.0,,,,,,2.0,,,,1.0,,,,5.0,1.0,,,,1.0,,,,,,
