Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,Tckl,Int,PsInA3rd,Passes in the Final Third,HighTOEndGoal,HighTOEndShot,HighTurnoversOP,HighTurnovers,PPDA,Sequences,Seq9+Pass,AvgSeqPass,DirectSpeed,Pass%,PsCmp,PsAtt,BgChncCrtd,BgChnc,TchsA3%,TchsA3,TouchOpBox,FldTilt,Poss%,xGOT,xG Diff,xG,Goal,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
13,6duaxcbrofil112qfq4v895go,1266,Japan,Japan,JPN,Japan,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,11,4,132,64,1,1,0,1,23.69,112,9,3.4,1.15,83.9%,286,341,0,0,26.9%,136,19,40.6%,40.5%,1.32,-0.20,0.59,2,1266,1,NED vs JPN,false,true,false,true,false,2026-06-14,424kyd0drjm51x8dsauowgpp0,657oha8nkne1ybba2bouzkbo7,366,366,Japan,Netherlands,NED,2,2,Played,T 2-2,2608251,NED vs JPN (2026-06-14)
13,3csexoalt9hfesmo2p4619ga4,6512,Curaçao,Curaçao,CUW,Curaçao,,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,16,16,184,31,0,1,4,7,20.56,128,7,2.9,1.15,82.2%,282,343,0,0,14.5%,81,10,21.4%,35.3%,0.50,-3.81,0.41,1,6512,1,GER vs CUW,false,true,false,false,true,2026-06-14,cjc09ujyfc1ks4blsyl8hbfv8,3l2t2db0c5ow2f7s7bhr6mij4,357,357,Curaçao,Germany,GER,1,7,Played,L 1-7,2608249,GER vs CUW (2026-06-14)
23,eh7yt2x2wck51oixw8012ux5j,118,Spain,Spain,ESP,Spain,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,13,6,11,363,0,7,19,29,7.55,149,37,5.7,1.26,91.8%,734,800,2,2,54.4%,537,51,92.7%,73.8%,1.45,1.90,2.10,0,118,1,ESP vs CPV,true,false,false,true,false,2026-06-15,66cem7lh6o8ckkfxp4tao7o5w,1iq69zi4oze3oh0cis0s5wb7o,1529,1529,Spain,Cabo Verde,CPV,0,0,Played,T 0-0,2608255,ESP vs CPV (2026-06-15)
23,4w1ktgu1nbbgqfe3ssbb4fg5v,361,Sweden,Sweden,SWE,Sweden,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,14,6,65,62,2,5,9,14,13.62,134,9,2.8,1.48,78.1%,278,356,3,4,27.7%,144,22,50.0%,48.9%,2.12,1.06,1.33,5,361,1,SWE vs TUN,true,false,true,false,false,2026-06-15,4v4v3ge0g7tm1w9uzpoehmzh0,ctp7ovvf34m7fzshua9ogbr6i,1224,1224,Sweden,Tunisia,TUN,5,1,Played,W 5-1,2608252,SWE vs TUN (2026-06-15)
23,pfvmhackqyhhk02majd2tb8l,360,Belgium,Belgium,BEL,Belgium,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,17,10,61,116,0,3,8,13,8.15,136,17,3.6,1.47,85.9%,391,455,2,2,33.5%,229,31,68.2%,53.9%,0.64,0.27,1.35,1,360,1,BEL vs EGY,true,false,false,true,false,2026-06-15,aw4mhrfav7b5r7d4lc6dwz1g4,3669sbeijslw88073qlw1cbcp,1225,1225,Belgium,Egypt,EGY,1,1,Played,T 1-1,2608253,BEL vs EGY (2026-06-15)
23,9l06impjllgop0gte8fldb4zo,837,Uruguay,Uruguay,URU,Uruguay,#3399FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,3,10,55,140,1,5,8,8,11.95,148,25,4.5,1.05,88.2%,540,612,1,2,34.5%,281,41,73.6%,66.2%,1.68,1.06,1.72,1,837,1,KSA vs URU,false,true,false,true,false,2026-06-15,6zuh8kndp7mz2j33tqajmos2c,9l4imoomrnyceg5u3kdxf5l5r,1264,1264,Uruguay,Saudi Arabia,KSA,1,1,Played,T 1-1,2608256,KSA vs URU (2026-06-15)
23,9l4imoomrnyceg5u3kdxf5l5r,1264,Saudi Arabia,Saudi Arabia,KSA,Saudi Arabia,#008000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,11,9,166,51,1,3,7,10,17.38,124,8,2.8,0.99,73.3%,236,322,0,1,17.0%,84,10,26.4%,33.8%,0.65,-1.06,0.66,1,1264,1,KSA vs URU,true,false,false,true,false,2026-06-15,6zuh8kndp7mz2j33tqajmos2c,9l06impjllgop0gte8fldb4zo,837,837,Saudi Arabia,Uruguay,URU,1,1,Played,T 1-1,2608256,KSA vs URU (2026-06-15)
23,ctp7ovvf34m7fzshua9ogbr6i,1224,Tunisia,Tunisia,TUN,Tunisia,#ed001a,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,21,6,74,52,0,0,0,2,18.79,130,10,3.0,1.93,78.7%,292,371,0,0,21.0%,111,10,50.0%,51.1%,0.35,-1.06,0.28,1,1224,1,SWE vs TUN,false,true,false,false,true,2026-06-15,4v4v3ge0g7tm1w9uzpoehmzh0,4w1ktgu1nbbgqfe3ssbb4fg5v,361,361,Tunisia,Sweden,SWE,1,5,Played,L 1-5,2608252,SWE vs TUN (2026-06-15)
23,3669sbeijslw88073qlw1cbcp,1225,Egypt,Egypt,EGY,Egypt,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,28,16,137,55,0,2,7,9,10.08,133,10,3.2,1.33,81.2%,323,398,1,2,19.7%,119,27,31.8%,46.1%,0.61,-0.27,1.08,1,1225,1,BEL vs EGY,false,true,false,true,false,2026-06-15,aw4mhrfav7b5r7d4lc6dwz1g4,pfvmhackqyhhk02majd2tb8l,360,360,Egypt,Belgium,BEL,1,1,Played,T 1-1,2608253,BEL vs EGY (2026-06-15)
23,1iq69zi4oze3oh0cis0s5wb7o,1529,Cabo Verde,Cabo Verde,CPV,Cabo Verde,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,18,15,401,9,0,0,1,1,96.33,121,6,2.5,1.30,73.7%,205,278,1,1,5.3%,26,6,7.3%,26.2%,0.13,-1.90,0.20,0,1529,1,ESP vs CPV,false,true,false,true,false,2026-06-15,66cem7lh6o8ckkfxp4tao7o5w,eh7yt2x2wck51oixw8012ux5j,118,118,Cabo Verde,Spain,ESP,0,0,Played,T 0-0,2608255,ESP vs CPV (2026-06-15)
