name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,sofascoreId,totalCross,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,aerialWon,totalClearance,unsuccessfulTouch,fouls,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,accurateCross,goals,hitWoodwork,goalAssist,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox,punches,errorLeadToAShot,bigChanceMissed
Neto,neto,Neto,G,22,190.0,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",35.0,22.0,21.0,8.0,15.0,18.0,7.0,17.0,12.0,7.0,,,90.0,51.0,8.2,13.0,0.00556412,"{'original': 8.2, 'alternative': 7.9}",0,-0.042,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,Neto_Murara,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,5.0,2.0,,
Adam Smith,adam-smith,A. Smith,D,15,180.0,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",22.0,15.0,6.0,2.0,6.0,10.0,10.0,13.0,3.0,,,,90.0,52.0,7.1,9.0,0.21576,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,7.0,3.0,,,2.0,2.0,3.0,1.0,,1.0,1.0,,4.0,,4.0,2.0,1.0,,,,,,1.0,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189.0,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",32.0,21.0,8.0,1.0,13.0,18.0,8.0,14.0,1.0,,,,90.0,40.0,6.1,11.0,0.00442628,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,IlliaZabarnyi,,2.0,3.0,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191.0,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",52.0,35.0,16.0,3.0,31.0,37.0,4.0,15.0,10.0,,,,90.0,68.0,6.7,19.0,0.00381591,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,6.0,,,1.0,,3.0,2.0,1.0,,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180.0,24997,M,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",26.0,19.0,2.0,,9.0,14.0,10.0,12.0,4.0,,,,86.0,48.0,6.5,13.0,0.00185166,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Milos,Kerkez,miloskerkez,,4.0,2.0,,,,2.0,1.0,1.0,,,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175.0,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",20.0,15.0,4.0,1.0,7.0,8.0,8.0,13.0,7.0,,,,87.0,27.0,6.6,8.0,0.00604862,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,4.0,2.0,1.0,,,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178.0,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",38.0,22.0,11.0,3.0,15.0,20.0,7.0,20.0,11.0,,,,90.0,73.0,6.6,24.0,0.34551,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,10.0,12.0,6.0,5.0,,1.0,6.0,2.0,1.0,,3.0,,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178.0,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",20.0,13.0,3.0,1.0,3.0,6.0,10.0,15.0,2.0,,,,58.0,31.0,7.3,11.0,0.146353,"{'original': 7.3, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,4.0,1.0,3.0,,,,,,,,,1.0,2.0,,,1.0,,2.0,1.0,,0.0831,0.2774,,1.0,1.0,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171.0,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",17.0,11.0,,,6.0,6.0,5.0,12.0,5.0,,,,68.0,30.0,7.4,10.0,0.0161839,"{'original': 7.4, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,justinkluivert,1.0,2.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,1.0,3.0,,,0.187,,,,1.0,1.0,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185.0,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",16.0,12.0,3.0,2.0,6.0,6.0,6.0,13.0,5.0,,,,68.0,36.0,6.6,13.0,0.00561931,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,antoinesemenyo42,3.0,7.0,5.0,6.0,3.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,
