name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelLost,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,accurateLongBalls,unsuccessfulTouch,keyPass,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,blockedScoringAttempt,goalAssist,accurateCross,penaltyWon,outfielderBlock,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",15.0,13.0,,2.0,2.0,13.0,1.0,,1.0,,,60.0,20.0,6.7,4.0,0.0362,0.0,0.0228082,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,11.0,,3.0,,3.0,,,,,,,,,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",20.0,19.0,1.0,13.0,14.0,6.0,2.0,2.0,,,,45.0,24.0,7.0,1.0,0.0,0.0,0.0245787,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,6.0,,3.0,2.0,3.0,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,
Jadon Sancho,,,sancho-jadon,J. Sancho,M,19,180,74821,M,JSancho,851100,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,953942400,"{'value': 19400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جادون سانشو', 'hi': 'सैन्चो, जाडॉन', 'bn': 'সানচো, জাডন'}, 'shortNameTranslation': {'ar': 'ج. سانشو', 'hi': 'जे. जाडॉन', 'bn': 'জে. সানচো'}}",12.0,10.0,,3.0,3.0,9.0,1.0,2.0,1.0,,,30.0,16.0,6.5,5.0,0.0,0.0,0.0129261,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,,3.0,,5.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",5.0,3.0,,1.0,1.0,4.0,2.0,1.0,1.0,,,15.0,7.0,6.7,2.0,0.0,0.0,0.00193531,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Carreras,,,alvaro-carreras,Á. Carreras,D,18,186,75449,M,,1085081,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1048377600,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفارو كاريراس', 'hi': 'अल्वारो कैरेरास', 'bn': 'আলভারো ক্যারেরাস'}, 'shortNameTranslation': {'ar': 'أ. كاريراس', 'hi': 'ए. कैरेरास', 'bn': 'আ. ক্যারেরাস'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gore,,,gore-daniel,D. Gore,M,44,170,3534,M,,1146145,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096156800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غور، دانيال', 'hi': 'गोर, डैनियल', 'bn': 'গোর, ড্যানিয়েল'}, 'shortNameTranslation': {'ar': 'د. غور', 'hi': 'डी. गोर', 'bn': 'ডি. গোর'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,,,matt-turner,M. Turner,G,30,190,1581,M,,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",30.0,17.0,23.0,9.0,12.0,18.0,,11.0,,1.0,7.0,90.0,50.0,8.0,14.0,0.0,0.0,0.00233157,"{'original': 8, 'alternative': 7.3}",0,1.0272,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,
Willy Boly,,,willy-boly,W. Boly,D,30,195,1805,M,,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",31.0,22.0,5.0,17.0,20.0,11.0,8.0,5.0,,,,90.0,58.0,7.7,12.0,0.2278,1.0072,0.0143049,"{'original': 7.7, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,3.0,3.0,6.0,1.0,,2.0,1.0,8.0,1.0,4.0,3.0,1.0,2.0,1.0,,,,2.0,1.0,,,,,,,1.0,,,,,
Joe Worrall,,,joe-worrall,J. Worrall,D,4,193,313,M,,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",18.0,16.0,3.0,11.0,12.0,6.0,2.0,1.0,1.0,,,67.0,23.0,5.7,2.0,0.0,0.0,0.00114608,"{'original': 5.7, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,5.0,,,,2.0,,,,,3.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
Scott McKenna,,,scott-mckenna,S. McKenna,D,26,188,950,M,,358108,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,847756800,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت ماكنيا', 'hi': 'स्कॉट मैककेना', 'bn': 'স্কট ম্যাককেনা'}, 'shortNameTranslation': {'ar': 'س. ماكنيا', 'hi': 'एस. मैककेना', 'bn': 'এস. ম্যাককেনা'}}",26.0,21.0,4.0,15.0,17.0,9.0,2.0,6.0,,,,57.0,39.0,6.7,6.0,0.0,0.0,0.0152553,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,,2.0,1.0,1.0,,,,5.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,
Serge Aurier,,,serge-aurier,S. Aurier,D,93,176,3021,M,Serge_aurier,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",33.0,20.0,3.0,10.0,12.0,22.0,6.0,8.0,1.0,,,90.0,52.0,6.4,19.0,0.0,0.0,0.00996055,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,1.0,2.0,3.0,8.0,1.0,,4.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",24.0,19.0,1.0,12.0,13.0,11.0,8.0,3.0,2.0,,,90.0,39.0,6.8,6.0,0.0,0.0,0.00318338,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,,3.0,2.0,7.0,1.0,1.0,,,3.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
Danilo,,,danilo,Danilo,M,35,177,4572,M,Danilo,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",27.0,18.0,3.0,12.0,17.0,10.0,3.0,6.0,,,,81.0,39.0,6.1,11.0,0.0314,0.0124,0.0027854,"{'original': 6.1, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,,,2.0,3.0,2.0,,,,1.0,3.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0
Ola Aina,,,ola-aina,O. Aina,D,34,182,4048,M,,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",27.0,21.0,3.0,16.0,18.0,11.0,7.0,6.0,2.0,,,90.0,49.0,6.7,15.0,0.0,0.0,0.0139287,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,2.0,,,4.0,,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
Brennan Johnson,,,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",18.0,17.0,2.0,8.0,8.0,10.0,6.0,5.0,2.0,,,70.0,30.0,7.2,4.0,0.0,0.0,0.024967,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,,1.0,,3.0,,1.0,3.0,2.0,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,Morgangibbs27,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",30.0,23.0,3.0,8.0,10.0,27.0,4.0,4.0,2.0,,,90.0,54.0,7.6,19.0,0.2675,0.0,0.237658,"{'original': 7.6, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,17.0,7.0,,1.0,4.0,,1.0,4.0,1.0,,3.0,,,,2.0,2.0,3.0,,,,,,1.0,2.0,1.0,2.0,,,,,,,
