name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,totalContest,totalClearance,totalTackle,fouls,aerialWon,shotOffTarget,unsuccessfulTouch,expectedGoals,aerialLost,outfielderBlock,interceptionWon,goalAssist,challengeLost,bigChanceCreated,wonTackle,errorLeadToAGoal,keyPass,sofascoreId,dispossessed,blockedScoringAttempt,wasFouled,totalOffside,wonContest,firstName,lastName,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,goodHighClaim,hitWoodwork
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",7.0,5.0,,,1.0,1.0,4.0,6.0,2.0,,,90.0,23.0,8.5,7.0,0.209992,"{'original': 8.5, 'alternative': 8.3}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,1.0,,,1.0,4.0,6.0,4.0,0.5728,1.0,,,,,1.0,,,1.0,RodrigoMuniz019,1.0,,,,1.0,,,2.0,1.0,0.6079,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",15.0,12.0,2.0,1.0,6.0,6.0,6.0,11.0,2.0,,,45.0,22.0,6.6,7.0,0.0166953,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,2.0,,2.0,,,,,,,0.2885,,,,,,,,,,alexanderiwobi,,,,1.0,,,,1.0,,0.2748,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",12.0,10.0,1.0,1.0,1.0,1.0,11.0,14.0,2.0,,,26.0,18.0,7.1,3.0,0.402474,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,2.0,,2.0,,,,,,1.0,,0.0248,,,,,,,,,3.0,,,,2.0,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",16.0,14.0,,,13.0,13.0,1.0,3.0,3.0,,,15.0,18.0,6.6,2.0,0.00068847,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Adama Traoré,adama-traore,A. Traoré,F,11,178,10385,M,286165,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,822528000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أداما تراوري', 'hi': 'एडाम ट्राओरे', 'bn': 'আদামা ট্রাওরে'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'hi': 'ए. ट्राओरे', 'bn': 'এ. ট্রাওরে'}}",2.0,1.0,1.0,1.0,,,2.0,3.0,1.0,,,15.0,6.0,6.3,2.0,0.00641418,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,4.0,1.0,1.0,,,2.0,,,,0.4783,1.0,,,,,,,,,adamatrd,1.0,,,,1.0,,,1.0,,0.5742,1.0,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",1.0,1.0,,,,,1.0,1.0,,,,1.0,3.0,,1.0,0.00206887,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,tosinadarabioyo,,,,,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",41.0,34.0,9.0,2.0,34.0,34.0,,7.0,14.0,3.0,3.0,90.0,53.0,7.1,9.0,4.141e-05,"{'original': 7.1, 'alternative': 7}",0,0.4569,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,EmiMartínez,,,,,,,,,,,,1.0,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",47.0,39.0,4.0,2.0,26.0,30.0,13.0,18.0,2.0,,,90.0,71.0,6.8,13.0,0.00523114,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,1.0,,6.0,,1.0,,,2.0,,1.0,,1.0,,,,,,,mattycash622,1.0,,1.0,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",46.0,45.0,1.0,,32.0,32.0,13.0,14.0,2.0,,,90.0,58.0,6.8,1.0,0.00249831,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,4.0,,8.0,1.0,,2.0,,,0.0616,3.0,,,,1.0,,1.0,,,clement_lenglet,,1.0,1.0,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",80.0,63.0,16.0,4.0,47.0,53.0,16.0,27.0,1.0,,,90.0,91.0,6.6,18.0,0.0110182,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,4.0,1.0,6.0,2.0,,1.0,,,,1.0,,,,,,1.0,,,pauttorres,,,,,1.0,,,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1209,M,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",32.0,26.0,3.0,1.0,20.0,23.0,6.0,12.0,3.0,,,81.0,47.0,6.5,11.0,0.00594755,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,2.0,2.0,,,1.0,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",31.0,28.0,2.0,1.0,16.0,18.0,12.0,13.0,4.0,,,90.0,48.0,6.5,8.0,0.00448807,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,5.0,7.0,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,2.0,,,,3.0,,4.0,,,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",50.0,44.0,5.0,4.0,21.0,22.0,26.0,32.0,6.0,,,90.0,62.0,7.5,8.0,0.152628,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,1.0,4.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,1.0,,,,4.0,Douglas_Luiz,,,1.0,,1.0,,,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",19.0,15.0,2.0,2.0,6.0,6.0,9.0,15.0,3.0,,,81.0,35.0,7.0,10.0,0.0461619,"{'original': 7, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,3.0,2.0,3.0,,,1.0,,2.0,3.0,0.1185,,,,,1.0,,,,1.0,leonbailey,,1.0,,2.0,2.0,,,,,,,,1.0
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",32.0,26.0,3.0,2.0,8.0,10.0,18.0,22.0,1.0,,,89.0,45.0,7.0,12.0,0.204761,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,5.0,2.0,,2.0,,1.0,,2.0,0.3831,1.0,,,1.0,2.0,1.0,1.0,,1.0,youritielemans,1.0,,2.0,,,,,1.0,,0.3797,1.0,,
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3079,M,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",30.0,27.0,,,9.0,10.0,18.0,20.0,3.0,,,90.0,48.0,6.8,9.0,0.0227927,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,1.0,1.0,3.0,,1.0,,2.0,3.0,0.1583,,,1.0,,,,,,2.0,,3.0,,,,1.0,,,,,,,,
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",14.0,10.0,,,4.0,5.0,6.0,9.0,4.0,,,90.0,28.0,9.1,7.0,0.254338,"{'original': 9.1, 'alternative': 9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,0.8896,,,,,,1.0,1.0,,1.0,OllieWatkins,,1.0,,3.0,,,,2.0,2.0,1.3035,,,
