name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,goalAssist,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,expectedGoals,keyPass,challengeLost,dispossessed,outfielderBlock,wasFouled,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,savedShotsFromInsideTheBox,saves,totalOffside
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,Matetajphilippe,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",18.0,16.0,2.0,2.0,3.0,3.0,13.0,16.0,4.0,,,,68.0,26.0,8.4,6.0,0.0162145,"{'original': 8.4, 'alternative': 8.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,,,,,2.0,,,1.0,,2.0,1.0,,1.0,,0.8129,2.0,,,,,3.0,,2.0,1.3692,,,
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,183,422,M,,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",34.0,30.0,4.0,2.0,21.0,22.0,9.0,12.0,3.0,,,,29.0,43.0,6.8,6.0,0.00958932,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,3.0,6.0,,,4.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",20.0,15.0,1.0,1.0,6.0,6.0,9.0,15.0,,,,,22.0,31.0,6.9,11.0,0.00673255,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,4.0,4.0,,1.0,3.0,2.0,2.0,,,1.0,,2.0,1.0,,,,,,,2.0,,,,,,,,,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",11.0,10.0,,,4.0,4.0,6.0,7.0,,,,,22.0,17.0,6.7,1.0,0.00768455,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",7.0,5.0,1.0,1.0,3.0,3.0,2.0,4.0,,,,,9.0,8.0,6.6,2.0,0.00041908,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",15.0,11.0,2.0,1.0,6.0,8.0,5.0,7.0,1.0,,,,9.0,19.0,6.8,4.0,0.00152487,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,3.0,,,2.0,1.0,,,,,,,,,,1.0,0.0204,,,,,1.0,,,,,,,
Remi Matthews,,,remi-matthews,R. Matthews,G,31,184,187,M,,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Holding,,,rob-holding,R. Holding,D,6,189,1071,M,,793228,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811555200,"{'value': 2800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روب هولدينغ', 'hi': 'रोब होल्डिंग', 'bn': 'রব হোল্ডিং'}, 'shortNameTranslation': {'ar': 'ر. هولدينغ', 'hi': 'आर. होल्डिंग', 'bn': 'আর. হোল্ডিং'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,,,james-tomkins,J. Tomkins,D,,192,104,M,,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,,,joel-ward,J. Ward,D,,188,256,M,,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łukasz Fabiański,,,lukasz-fabianski,Ł. Fabiański,G,22,190,3815,M,lukasz.fabianski,15479,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,482630400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس فابيانسكي', 'hi': 'लुकाज़ फ़ेबियान्स्की', 'bn': 'লুকাস ফ্যাবিয়ানস্কি'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'hi': 'एल. फ़ेबियान्स्की', 'bn': 'এল.ফ্যাবিয়ানস্কি'}}",32.0,19.0,23.0,10.0,13.0,14.0,6.0,18.0,5.0,,,,90.0,40.0,6.1,15.0,0.00260003,"{'original': 6.1, 'alternative': 5.6}",0,-1.6375,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
Vladimír Coufal,,,vladimir-coufal,V. Coufal,D,34,179,1643,M,,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",29.0,19.0,4.0,3.0,11.0,14.0,8.0,15.0,1.0,,,,90.0,49.0,5.6,15.0,0.0553413,"{'original': 5.6, 'alternative': 5.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,,,3.0,2.0,,,,,,,,,
Kurt Zouma,,,kurt-zouma,K. Zouma,D,4,190,2242,M,,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",36.0,31.0,1.0,1.0,26.0,27.0,5.0,9.0,4.0,,,,90.0,48.0,6.0,8.0,0.00087983,"{'original': 6, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,1.0,3.0,2.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
Angelo Ogbonna,,,angelo-ogbonna,A. Ogbonna,D,,191,382,M,,21164,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,580348800,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنجيلو أوغبونا', 'hi': 'एंजेलो ओगबोना', 'bn': 'অ্যাঞ্জেলো ওগবোন্না'}, 'shortNameTranslation': {'ar': 'أ. أوغبونا', 'hi': 'ए. ओगबोना', 'bn': 'এ. ওগবোন্না'}}",16.0,12.0,2.0,,12.0,12.0,,4.0,,,,,45.0,21.0,6.2,4.0,3.984e-05,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,3.0,3.0,,1.0,1.0,,,,,,,,,,1.0,0.0427,,,,,,,,,,,,
Emerson Palmieri,,,emerson-palmieri,Emerson,D,3,176,2307,M,,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",37.0,33.0,3.0,2.0,16.0,17.0,17.0,23.0,5.0,,1.0,,90.0,74.0,5.9,20.0,0.00675617,"{'original': 5.9, 'alternative': 5.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,8.0,8.0,1.0,3.0,3.0,3.0,3.0,,,3.0,,3.0,,,,,,,1.0,3.0,,3.0,,,,,,,
Tomáš Souček,,,tomas-soucek,T. Souček,M,28,192,3227,M,,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",14.0,12.0,,,9.0,10.0,3.0,4.0,6.0,,,,45.0,22.0,7.1,3.0,0.172194,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,
Edson Álvarez,,,edson-alvarez,E. Álvarez,M,11,190,10874,M,EdsonAlvarez19,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",34.0,30.0,5.0,3.0,16.0,18.0,15.0,17.0,6.0,,,,75.0,46.0,6.9,5.0,0.0473347,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,7.0,1.0,2.0,5.0,4.0,,1.0,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,,,,
Mohammed Kudus,,,mohammed-kudus,M. Kudus,M,20,176,89694,M,Kudus,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",17.0,16.0,,,7.0,8.0,9.0,9.0,3.0,,,,85.0,36.0,5.4,14.0,0.008682,"{'original': 5.4, 'alternative': 5.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,12.0,2.0,,,,,3.0,1.0,,,,5.0,1.0,,,,0.0316,,1.0,5.0,,1.0,,1.0,,,,,3.0
James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,prowsey16,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",50.0,45.0,,,29.0,31.0,18.0,21.0,5.0,,,,90.0,63.0,6.9,7.0,0.228261,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,5.0,,2.0,4.0,2.0,,1.0,,2.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,
Lucas Paquetá,,,lucas-paqueta,L. Paquetá,M,10,180,54701,M,Paqueta,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",42.0,30.0,4.0,2.0,10.0,12.0,20.0,30.0,7.0,,,,90.0,66.0,6.1,24.0,0.015287,"{'original': 6.1, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,14.0,6.0,,1.0,4.0,2.0,4.0,2.0,,,,2.0,,,,,,1.0,1.0,6.0,,1.0,,,,,,,
