name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,dispossessed,totalContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,totalClearance,interceptionWon,expectedGoals,keyPass,sofascoreId,challengeLost,unsuccessfulTouch,expectedGoalsOnTarget,clearanceOffLine,outfielderBlock,accurateCross,totalTackle,wonTackle,fouls,wonContest,wasFouled,bigChanceCreated,firstName,lastName,blockedScoringAttempt,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,punches,totalKeeperSweeper,accurateKeeperSweeper
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,16724,M,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",12.0,9.0,1.0,7.0,8.0,6.0,1.0,2.0,4.0,,45.0,23.0,6.4,8.0,0.00740039,"{'original': 6.4, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,1.0,2.0,1.0,,1.0,2.0,,,,,0.2901,,RJimenez9,,3.0,,,,1.0,,,,,1.0,,,,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",5.0,4.0,,2.0,3.0,2.0,2.0,2.0,1.0,,45.0,13.0,6.5,5.0,0.00993896,"{'original': 6.5, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,3.0,6.0,,2.0,,,1.0,,1.0,1.0,0.2638,,RodrigoMuniz019,,2.0,0.0561,,,,,,1.0,,,,,,1.0,1.0,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",9.0,7.0,1.0,5.0,7.0,2.0,1.0,1.0,,,15.0,12.0,7.5,2.0,0.00083181,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Tete,kenny-tete,K. Tete,D,2,180,1091,M,190877,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,813196800,"{'value': 11900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيني تيتي', 'hi': 'केनी टेटे', 'bn': 'কেনি টেটে'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'hi': 'के. टेटे', 'bn': 'কে. টেটে'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Francois,tyrese-francois,T. Francois,M,35,167,89,M,941757,"{'alpha2': 'AU', 'alpha3': 'AUS', 'name': 'Australia', 'slug': 'australia'}",EUR,963705600,"{'value': 300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريز فرانسوا', 'hi': 'टायरेस फ्रेंकोइस', 'bn': 'টাইরেস ফ্রাঙ্কোইস'}, 'shortNameTranslation': {'ar': 'ت. فرانسوا', 'hi': 'टी. फ्रेंकोइस', 'bn': 'টি. ফ্রাঙ্কোইস'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristian Šekularac,kristian-sekularac,K. Šekularac,M,,185,97,M,1087748,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,1070755200,"{'value': 110000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان شيكولاراك', 'hi': 'क्रिस्टियन सेकुलरैक', 'bn': 'ক্রিস্টিয়ান সেকুলারাক'}, 'shortNameTranslation': {'ar': 'ك. شيكولاراك', 'hi': 'के. शेकुलारैक', 'bn': 'কে. সেকুলারাক'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,4988,M,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",46.0,32.0,27.0,22.0,25.0,21.0,,,7.0,5.0,90.0,57.0,8.3,14.0,0.0110708,"{'original': 8.3, 'alternative': 8.2}",0,0.9864,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,10.0,,,,,,,,,,1.0,,,,jpickford1,,,,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,1.0
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",18.0,9.0,6.0,4.0,7.0,13.0,2.0,6.0,3.0,,90.0,38.0,6.7,11.0,0.0175126,"{'original': 6.7, 'alternative': 6.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,2.0,1.0,7.0,,,3.0,1.0,1.0,,7.0,,0.6261,1.0,,3.0,,,,,,4.0,2.0,3.0,,,,,,2.0,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",26.0,19.0,7.0,10.0,11.0,15.0,3.0,4.0,1.0,,90.0,43.0,8.5,8.0,0.206174,"{'original': 8.5, 'alternative': 8.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,4.0,9.0,,1.0,2.0,,,1.0,,1.0,1.0,9.0,1.0,0.1755,2.0,,,1.0,,1.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",34.0,21.0,7.0,21.0,24.0,10.0,3.0,7.0,2.0,,90.0,53.0,7.5,15.0,0.00011208,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,2.0,3.0,,,,,,,5.0,1.0,,,,,2.0,,,3.0,,3.0,2.0,1.0,,1.0,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",23.0,15.0,5.0,8.0,10.0,16.0,1.0,2.0,3.0,,90.0,45.0,7.2,12.0,0.0773117,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,8.0,3.0,1.0,3.0,,2.0,,,,,6.0,1.0,,1.0,mikola_16,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",8.0,3.0,4.0,1.0,3.0,9.0,1.0,6.0,4.0,,81.0,25.0,7.2,7.0,0.0999113,"{'original': 7.2, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,4.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,0.0437,2.0,,,,,,,2.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",32.0,25.0,1.0,8.0,10.0,24.0,1.0,3.0,2.0,,90.0,47.0,6.7,15.0,0.0617748,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,19.0,2.0,1.0,7.0,2.0,1.0,,,,,1.0,,,1.0,,2.0,4.0,,,,2.0,2.0,2.0,1.0,,,,Dwight,McNeil,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",26.0,23.0,2.0,12.0,14.0,17.0,,4.0,8.0,,90.0,51.0,7.5,6.0,0.0664108,"{'original': 7.5, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,13.0,5.0,1.0,4.0,,,,,,,4.0,6.0,0.0855,2.0,,1.0,,,,1.0,2.0,4.0,2.0,2.0,,,,,,1.0,,,,,,
Arnaut Danjuma,arnaut-danjuma,A. Danjuma,F,7,178,3562,M,827064,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,854668800,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرنوت دانجوما', 'hi': 'अरनौत दानजुमा', 'bn': 'আরনাউত দানজুমা'}, 'shortNameTranslation': {'ar': 'أ. دانجوما', 'hi': 'ए. दानजुमा', 'bn': 'এ. দানজুমা'}}",16.0,12.0,,7.0,8.0,9.0,,3.0,6.0,,89.0,27.0,6.8,7.0,0.0130872,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,,,1.0,0.1643,,,1.0,2.0,0.1168,,,,2.0,1.0,3.0,1.0,,,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",13.0,11.0,,2.0,3.0,10.0,,2.0,3.0,,90.0,26.0,7.1,9.0,0.0707928,"{'original': 7.1, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,9.0,,,1.0,1.0,1.0,,1.0,1.0,,,,0.1823,1.0,,,5.0,0.0186,,,,,,,1.0,1.0,,,,1.0,,,,,,
