name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,outfielderBlock,totalContest,wonContest,wasFouled,totalCross,accurateCross,keyPass,goalAssist,bigChanceCreated,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,sofascoreId
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",28.0,22.0,1.0,,9.0,10.0,13.0,18.0,2.0,4.0,,,,,90.0,42.0,6.9,11.0,0.5492,1.4255,0.0515585,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,8.0,2.0,1.0,,,,,1.0,,,,4.0,3.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,
Hannes Delcroix,,,hannes-delcroix,H. Delcroix,D,44,185,5084,M,826169,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,920160000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هانيس ديلكروكس', 'hi': 'हेन्नेस डेलक्रोइक्स', 'bn': 'হ্যানেস ডেলক্রোইক্স'}, 'shortNameTranslation': {'ar': 'ه. ديلكروكس', 'hi': 'एच. डेलक्रोइक्स', 'bn': 'এইচ. ডেলক্রোইক্স'}}",26.0,26.0,1.0,1.0,21.0,21.0,5.0,5.0,1.0,4.0,,,,,45.0,31.0,6.6,,0.2918,0.0551,0.00153672,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,2.0,,,1.0,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",20.0,17.0,1.0,1.0,5.0,7.0,14.0,18.0,,1.0,,,,,45.0,31.0,7.2,7.0,0.1974,0.7884,0.16679,"{'original': 7.2, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,5.0,2.0,1.0,,,,,1.0,1.0,
Nathan Redmond,,,nathan-redmond,N. Redmond,M,15,173,423,M,115346,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762912000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان ريدموند', 'hi': 'नाथन रेडमंड', 'bn': 'নাথান রেডমন্ড'}, 'shortNameTranslation': {'ar': 'ن. ريدموند', 'hi': 'एन. रेडमंड', 'bn': 'এন. রেডমন্ড'}}",5.0,3.0,,,1.0,1.0,3.0,5.0,,1.0,,,,,30.0,10.0,6.5,4.0,0.0,0.0,0.24876,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,2.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",8.0,8.0,,,2.0,2.0,6.0,6.0,1.0,,,,,,22.0,15.0,6.7,2.0,0.0557,0.0,0.0453587,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,
Jack Cork,,,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",15.0,9.0,3.0,1.0,5.0,6.0,4.0,10.0,,2.0,,,,,16.0,17.0,6.3,7.0,0.0,0.0,0.00609805,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,5.0,1.0,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Benson,,,manuel-benson,M. Benson,M,21,166,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guglielmo Vicario,,,guglielmo-vicario,G. Vicario,G,1,194,7041,M,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",49.0,35.0,19.0,5.0,35.0,41.0,,8.0,,5.0,2.0,3.0,,,90.0,56.0,6.7,14.0,0.0,0.0,7.583e-05,"{'original': 6.7, 'alternative': 6.7}",0,0.269,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guglielmovicario
Pedro Porro,,,pedro-porro,P. Porro,D,23,173,11089,M,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",45.0,36.0,8.0,4.0,17.0,19.0,19.0,26.0,2.0,5.0,,,,,90.0,68.0,7.6,12.0,0.1834,0.0,0.161792,"{'original': 7.6, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,3.0,2.0,,2.0,1.0,2.0,2.0,,,,1.0,1.0,,,3.0,1.0,,,,2.0,1.0,2.0,,,,,pedroporro29
Cristian Romero,,,cristian-romero,C. Romero,D,17,185,37279,M,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",74.0,68.0,6.0,5.0,48.0,50.0,20.0,24.0,3.0,9.0,,,,,90.0,84.0,7.8,6.0,0.0339,0.6013,0.0088798,"{'original': 7.8, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,7.0,1.0,,,,,2.0,,,,,,4.0,2.0,,,1.0,,,,,,,,1.0,1.0,cutiromero2
Micky van de Ven,,,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",72.0,66.0,1.0,1.0,46.0,47.0,20.0,25.0,2.0,7.0,,,,,90.0,81.0,6.9,7.0,0.0,0.0,0.0080335,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,3.0,4.0,,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,mickyvdven
Destiny Udogie,,,destiny-udogie,D. Udogie,D,13,186,5987,M,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",41.0,38.0,1.0,1.0,17.0,19.0,21.0,23.0,3.0,14.0,,,,,90.0,66.0,7.8,6.0,0.0,0.0,0.0189502,"{'original': 7.8, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,8.0,,1.0,,,2.0,5.0,4.0,,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,udogiethree
Pape Matar Sarr,,,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",36.0,30.0,,,18.0,18.0,12.0,18.0,2.0,5.0,,,,,68.0,49.0,6.6,7.0,0.4159,0.801,0.0365666,"{'original': 6.6, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,3.0,1.0,,,2.0,,2.0,2.0,,,,2.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,pape
Yves Bissouma,,,yves-bissouma,Y. Bissouma,M,8,181,14766,M,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",64.0,59.0,3.0,1.0,25.0,27.0,34.0,37.0,2.0,7.0,,,,,90.0,90.0,7.1,14.0,0.0488,0.4897,0.0410132,"{'original': 7.1, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,8.0,8.0,1.0,5.0,1.0,,3.0,4.0,3.0,,,2.0,1.0,,,3.0,2.0,2.0,,,,,,,,1.0,,YB8
Dejan Kulusevski,,,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",35.0,29.0,,,7.0,8.0,22.0,27.0,,7.0,,,,,86.0,58.0,6.8,19.0,0.0,0.0,0.178357,"{'original': 6.8, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,14.0,6.0,2.0,5.0,,,2.0,2.0,2.0,,,3.0,1.0,,,7.0,3.0,1.0,,,3.0,,,,,,,dejan_k10
James Maddison,,,james-maddison,J. Maddison,M,10,175,16399,M,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",53.0,44.0,3.0,3.0,16.0,17.0,29.0,40.0,,2.0,,,,,86.0,76.0,8.2,17.0,0.3607,1.2012,0.176908,"{'original': 8.2, 'alternative': 8.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,6.0,1.0,1.0,,,1.0,,,,,2.0,2.0,,,4.0,3.0,3.0,4.0,1.0,1.0,,,,,5.0,1.0,Madders
