name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelWon,dispossessed,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,aerialWon,goalAssist,bigChanceCreated,wasFouled,keyPass,shotOffTarget,hitWoodwork,expectedGoals,onTargetScoringAttempt,goals,totalOffside,expectedGoalsOnTarget,accurateCross,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot
Stefan Ortega,,,stefan-ortega,S. Ortega,G,18,186,10750,M,stefan.ortega1,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",29.0,25.0,6.0,2.0,23.0,23.0,2.0,6.0,,,2.0,7.0,1.0,2.0,1.0,90.0,38.0,6.6,4.0,0.00027339,"{'original': 6.6, 'alternative': 6.4}",0,-0.6432,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stones,,,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",112.0,108.0,5.0,2.0,46.0,47.0,62.0,65.0,2.0,,1.0,3.0,,,,90.0,116.0,6.7,5.0,0.0509078,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
Rúben Dias,,,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",148.0,140.0,11.0,8.0,62.0,65.0,78.0,83.0,4.0,1.0,1.0,,,,,90.0,154.0,7.2,9.0,0.0655666,"{'original': 7.2, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,3.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,
Joško Gvardiol,,,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",68.0,62.0,1.0,,14.0,15.0,48.0,53.0,1.0,,3.0,3.0,,,,45.0,80.0,6.7,7.0,0.0214696,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,,,,,,,,1.0,1.0,,3.0,,,1.0,,1.0,,0.3541,,,1.0,,,1.0,1.0,
Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",60.0,52.0,1.0,,21.0,22.0,31.0,38.0,1.0,,,4.0,,,,90.0,75.0,7.9,11.0,0.0585952,"{'original': 7.9, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,4.0,2.0,,,0.1823,2.0,1.0,,0.4695,,,,
Rodri,,,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",106.0,99.0,3.0,2.0,26.0,27.0,73.0,81.0,2.0,,,7.0,,,,74.0,119.0,7.4,12.0,0.104086,"{'original': 7.4, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,1.0,1.0,,,,,2.0,1.0,2.0,,1.0,,1.0,1.0,,,0.1078,1.0,,,0.3688,,,,1.0
Oscar Bobb,Oscar Bobb,,oscar-bobb,O. Bobb,M,52,174,17188,M,oscarbobb,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",42.0,38.0,,,4.0,4.0,34.0,39.0,6.0,1.0,,3.0,,,,90.0,55.0,7.0,11.0,0.123407,"{'original': 7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,1.0,4.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",31.0,29.0,,,8.0,8.0,21.0,23.0,2.0,1.0,1.0,4.0,,,,74.0,41.0,6.2,3.0,0.0427708,"{'original': 6.2, 'alternative': 6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,,,,,,,,,,,1.0,,0.4174,1.0,,,0.0831,,2.0,2.0,
Kevin De Bruyne,,,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,KDB,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",75.0,61.0,2.0,2.0,10.0,11.0,53.0,75.0,3.0,2.0,1.0,5.0,,,,89.0,98.0,10.0,26.0,1.17222,"{'original': 10, 'alternative': 10}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,1.0,,,,,2.0,1.0,1.0,,11.0,1.0,1.0,3.0,,4.0,1.0,,0.0946,2.0,2.0,,0.8445,2.0,,,
Jack Grealish,,,jack-grealish,J. Grealish,M,18,180,61911,M,JGrealish,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",61.0,58.0,2.0,1.0,7.0,7.0,51.0,56.0,2.0,,,2.0,,,,90.0,75.0,7.4,8.0,0.164566,"{'original': 7.4, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,2.0,,,,,,1.0,,2.0,,,,3.0,2.0,2.0,,0.1054,,,,,,,1.0,
