name,slug,shortName,position,userCount,gender,sofascoreId,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,jerseyNumber,firstName,lastName
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,save,assisted,right-foot,52,3081,381,,4.9,52.3,0,48.1,16.5,7,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,goal,assisted,right-foot,49,2907,207,regular,5.6,49.0,0,50.8,3.2,11,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,66101,M,DomSzobo,869856,"{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",True,block,assisted,right-foot,42,2505,2505,,22.5,60.3,0,53.4,19.0,8,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,208066,M,TrentAA,795064,"{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",True,post,assisted,right-foot,39,2315,2315,,1.9,83.9,0,55.2,33.5,12,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,save,regular,right-foot,36,2112,2112,,18.2,35.2,0,48.3,13.9,7,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,save,fast-break,right-foot,36,2106,2106,,14.9,43.5,0,47.5,2.5,7,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,66101,M,DomSzobo,869856,"{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",True,block,assisted,right-foot,30,1766,1766,,27.5,37.7,0,51.3,19.0,8,,
Wataru Endo,wataru-endo,W. Endo,M,19922,M,endowataru,143040,"{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",True,block,assisted,right-foot,29,1716,1716,,24.4,48.4,0,51.3,19.0,3,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,27389,M,ibrahimakonate,826215,"{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",True,block,corner,head,26,1553,1553,,9.1,48.2,0,50.6,19.0,5,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,103743,M,VvD,151545,"{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",True,block,corner,right-foot,26,1536,1536,,12.9,43.9,0,51.6,19.0,4,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",True,block,assisted,left-foot,26,1500,1500,,3.0,38.0,0,50.5,19.0,17,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",True,save,regular,right-foot,24,1397,1397,,23.0,42.1,0,51.6,9.5,17,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,208066,M,TrentAA,795064,"{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",True,miss,set-piece,right-foot,23,1320,1320,,5.8,58.9,0,46.7,72.2,12,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,save,penalty,left-foot,22,1318,1318,,11.5,50.0,0,48.5,20.3,11,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,miss,set-piece,head,17,961,961,,9.6,38.2,0,48.7,63.9,7,,
Wataru Endo,wataru-endo,W. Endo,M,19922,M,endowataru,143040,"{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",True,miss,assisted,right-foot,12,696,696,,23.5,34.2,0,37.5,66.7,3,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",True,block,regular,left-foot,12,688,688,,12.0,41.7,0,50.1,19.0,17,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,save,assisted,right-foot,12,686,686,,6.9,54.6,0,50.7,4.4,7,,
Lewis Miley,lewis-miley,L. Miley,M,3070,M,,1400650,"{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",False,block,assisted,right-foot,8,452,452,,10.7,65.8,0,49.5,19.0,67,Lewis Miley,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,208066,M,TrentAA,795064,"{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",True,block,assisted,left-foot,2,83,83,,18.7,53.6,0,49.5,19.0,12,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,66101,M,DomSzobo,869856,"{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",True,block,assisted,left-foot,1,20,20,,13.1,54.5,0,49.2,19.0,8,,
