name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,outfielderBlock,interceptionWon,wasFouled,fouls,firstName,lastName,sofascoreId,onTargetScoringAttempt,errorLeadToAGoal,expectedGoals,expectedGoalsOnTarget,dispossessed,shotOffTarget,blockedScoringAttempt,totalOffside,keyPass,accurateCross,penaltyWon,bigChanceCreated,goals,bigChanceMissed,penaltyFaced,penaltyConceded
Neto,neto,Neto,G,22,190,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",39.0,24.0,20.0,6.0,22.0,29.0,2.0,10.0,,7.0,1.0,2.0,90.0,46.0,6.8,15.0,0.00049409,"{'original': 6.8, 'alternative': 6.6}",0,0.0366,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,,,,,,,,,,,,Neto_Murara,,,,,,,,,,,,,,,1.0,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",46.0,36.0,8.0,,21.0,27.0,15.0,20.0,3.0,6.0,,,90.0,78.0,6.4,17.0,0.00736605,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,2.0,4.0,4.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",59.0,40.0,17.0,5.0,28.0,32.0,12.0,27.0,3.0,3.0,,,90.0,67.0,6.7,19.0,0.0328692,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,3.0,4.0,5.0,,,,1.0,,,1.0,,1.0,1.0,,,IlliaZabarnyi,,,,,,,,,1.0,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",64.0,48.0,11.0,3.0,29.0,34.0,19.0,30.0,4.0,8.0,,,90.0,76.0,7.0,16.0,0.0201742,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,2.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,0.1118,,,1.0,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",33.0,26.0,3.0,1.0,12.0,16.0,14.0,17.0,3.0,3.0,,,78.0,57.0,6.9,11.0,0.0068721,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,5.0,7.0,,,,5.0,4.0,,,,1.0,3.0,,,,1.0,,0.0344,0.1187,1.0,,,,,,,,,,,1.0
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",60.0,50.0,2.0,1.0,27.0,29.0,23.0,32.0,,8.0,,,90.0,70.0,7.2,11.0,0.0751356,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,3.0,6.0,2.0,,,2.0,2.0,,,1.0,2.0,1.0,,,,,,0.0183,,,1.0,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",51.0,38.0,5.0,,13.0,14.0,25.0,38.0,4.0,15.0,,,90.0,80.0,7.4,18.0,0.0343696,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,8.0,9.0,2.0,3.0,3.0,4.0,3.0,1.0,,4.0,2.0,3.0,,,,,,0.0481,,2.0,1.0,,,1.0,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",18.0,14.0,,,6.0,8.0,8.0,10.0,,2.0,,,68.0,32.0,6.6,8.0,0.0146379,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,2.0,5.0,4.0,,2.0,,1.0,1.0,,,1.0,1.0,,,,antoinesemenyo42,2.0,,0.3981,0.2073,1.0,,1.0,,1.0,,,,,1.0,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",18.0,17.0,2.0,2.0,3.0,4.0,15.0,21.0,,4.0,,,68.0,36.0,6.4,14.0,0.0355944,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,4.0,1.0,9.0,3.0,,2.0,,1.0,,2.0,,,2.0,1.0,Alex Scott,,,,,,,2.0,,,,,1.0,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",40.0,33.0,1.0,,6.0,7.0,28.0,34.0,1.0,6.0,,,89.0,66.0,6.2,21.0,0.0986628,"{'original': 6.2, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,,17.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,,,,1.0,,,,,,,,5.0,,,,2.0,1.0,,,,,,
