name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,penaltyFaced,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,onTargetScoringAttempt,goals,clearanceOffLine,outfielderBlock,interceptionWon,expectedGoals,expectedGoalsOnTarget,keyPass,shotOffTarget,totalTackle,penaltyConceded,fouls,wonContest,blockedScoringAttempt,wonTackle,sofascoreId,goalAssist,totalCross,challengeLost,dispossessed,bigChanceMissed,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,lastName,totalOffside,savedShotsFromInsideTheBox,saves,penaltyWon
João Pedro,joao-pedro,J. Pedro,F,20,182.0,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",24.0,16.0,1.0,,5.0,5.0,11.0,19.0,,,,,,69.0,40.0,7.0,16.0,0.0476845,"{'original': 7, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,7.0,3.0,2.0,,2.0,,,,,0.4889,0.2638,,1.0,,,,1.0,1.0,,joaopedro,,,,4.0,,,2.0,,,,,,,
James Milner,james-milner,J. Milner,M,20,175.0,3314,M,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",25.0,24.0,2.0,1.0,3.0,4.0,21.0,21.0,1.0,,,,,21.0,31.0,7.1,1.0,0.024003,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,3.0,1.0,,,,,,1.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188.0,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",7.0,5.0,,,2.0,2.0,3.0,5.0,,1.0,,,,21.0,11.0,6.4,5.0,0.00033512,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,EvanFerguson9,,,,1.0,,,1.0,,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184.0,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",9.0,7.0,4.0,2.0,5.0,6.0,2.0,3.0,2.0,3.0,,,,17.0,15.0,6.6,2.0,0.0008826,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Benicio Boaitey,boaitey-benicio,B. Boaitey,M,26,162.0,113,M,1142604,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073606400,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوياتي، بينيشيو', 'hi': 'बोआइटे, बेनिसियो', 'bn': 'বোয়াইতে, বেনিসিও'}, 'shortNameTranslation': {'ar': 'ب. بينيشيو', 'hi': 'बी. बोआइटे', 'bn': 'বি. বোয়াইটি'}}",3.0,2.0,,,2.0,3.0,,,1.0,1.0,,,,12.0,7.0,6.6,2.0,3.97e-06,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Jakub Moder,jakub-moder,J. Moder,M,7,191.0,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",5.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,,,,12.0,9.0,6.6,2.0,0.00052338,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,1.0,kubamoder,,,1.0,1.0,,,,1.0,,,,,,
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193.0,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leigh Kavanagh,kavanagh-leigh,L. Kavanagh,D,20,189.0,47,M,1005689,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1072483200,"{'value': 165000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كافانا، لي', 'hi': 'कवानाघ, लेह', 'bn': 'কাভানাঘ, লে'}, 'shortNameTranslation': {'ar': 'ل. كافانا', 'hi': 'एल. कवानाघ', 'bn': 'এল. কাভানাঘ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Barrington,barrington-luca,L. Barrington,F,,,48,M,1152188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1102809600,"{'value': 270000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارينجتون، لوكا', 'hi': 'बैरिंगटन, लुका', 'bn': 'ব্যারিংটন, লুকা'}, 'shortNameTranslation': {'ar': 'ب. لوكا', 'hi': 'एल. बैरिंगटन', 'bn': 'এল. ব্যারিংটন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark O'Mahony,omahony-mark,M. O'Mahony,F,20,182.0,328,M,1149855,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1105660800,"{'value': 425000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوماهوني، مارك', 'hi': ""ओ'महोनी, मार्क"", 'bn': ""ও'মাহনি, মার্ক""}, 'shortNameTranslation': {'ar': 'م. أوماهوني', 'hi': ""एम. ओ'महोनी"", 'bn': ""এম. ও'মাহনি""}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Flekken,mark-flekken,M. Flekken,G,1,194.0,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",51.0,32.0,26.0,7.0,26.0,30.0,6.0,21.0,1.0,8.0,1.0,,,90.0,59.0,7.1,19.0,0.00139575,"{'original': 7.1, 'alternative': 7}",0,0.2174,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184.0,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",35.0,18.0,5.0,,12.0,19.0,6.0,17.0,2.0,3.0,,,,84.0,54.0,6.3,22.0,0.00459202,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Mads,1.0,,3.0,3.0,2.0,,,,,,3.0,,,,,2.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,Roerslev,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194.0,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",58.0,50.0,9.0,4.0,41.0,42.0,9.0,16.0,7.0,8.0,,,,90.0,76.0,7.4,8.0,0.00258675,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,1.0,9.0,,,,,,,2.0,0.0882,,,1.0,5.0,,,,,3.0,,,,,,,,,1.0,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180.0,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",53.0,44.0,9.0,4.0,30.0,34.0,14.0,19.0,3.0,5.0,,,,90.0,64.0,6.5,11.0,0.00674202,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,3.0,3.0,4.0,1.0,,,,,1.0,,0.0866,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177.0,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",29.0,19.0,6.0,1.0,12.0,14.0,8.0,22.0,,5.0,,,,90.0,55.0,6.6,22.0,0.0830468,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,6.0,5.0,3.0,,,,,,1.0,,,1.0,,4.0,,1.0,,,4.0,,,7.0,1.0,1.0,,,1.0,1.0,1.0,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183.0,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",23.0,18.0,1.0,,12.0,13.0,6.0,10.0,1.0,3.0,,,,90.0,37.0,6.8,6.0,0.153248,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,8.0,8.0,1.0,,,,,,,0.0359,,1.0,1.0,5.0,,3.0,1.0,,3.0,,,,3.0,,,,1.0,2.0,,,1.0,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180.0,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",14.0,13.0,1.0,1.0,9.0,9.0,4.0,5.0,,3.0,,,,45.0,22.0,6.8,2.0,0.00563509,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,2.0,2.0,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184.0,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",36.0,31.0,2.0,1.0,17.0,19.0,15.0,19.0,3.0,7.0,,,,90.0,54.0,7.5,6.0,0.0617791,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,1.0,4.0,7.0,,,,,,1.0,,,,1.0,,4.0,,2.0,,,3.0,,,2.0,1.0,,,,,2.0,1.0,,,,,1.0
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180.0,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",17.0,13.0,3.0,1.0,8.0,10.0,5.0,7.0,1.0,4.0,,,,69.0,28.0,6.5,7.0,0.00514598,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,2.0,5.0,4.0,3.0,,,,,1.0,2.0,,,,,1.0,,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,
