name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalClearance,totalTackle,wonTackle,ownGoals,aerialLost,aerialWon,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,expectedGoals,expectedGoalsOnTarget,goals,unsuccessfulTouch,wasFouled,firstName,lastName,dispossessed,totalOffside
Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,4980,M,CalvertLewin14,372344,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858470400,"{'value': 16200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'hi': 'डोमिनिक कैल्वर्ट-लेविन', 'bn': 'ডমিনিক কালভার্ট-লেউইন'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'hi': 'डी. कैल्वर्ट-लेविन', 'bn': 'ডি. কালভার্ট-লেউইন'}}",20.0,9.0,,,2.0,4.0,7.0,16.0,3.0,,,,89.0,30.0,6.8,14.0,0.00334202,,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,8.0,,1.0,,,,6.0,6.0,1.0,1.0,1.0,,,,,2.0,0.0624,,,3.0,1.0,,,,
Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",,,,,,,,,,,,,1.0,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,Nathan,Patterson,,
Beto,beto,Beto,F,9,194,3261,M,,987489,"{'alpha2': 'GW', 'alpha3': 'GNB', 'name': 'Guinea-Bissau', 'slug': 'guinea-bissau'}",EUR,886204800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}, 'shortNameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}}",,,,,,,,,,,,,1.0,2.0,,2.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,
João Virgínia,joao-virginia,J. Virgínia,G,12,191,814,M,,930666,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,939513600,"{'value': 730000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو فيرجينيا', 'hi': 'जोआओ विरजीनिया', 'bn': 'জন ভার্জিনিয়া'}, 'shortNameTranslation': {'ar': 'ج. فيرجينيا', 'hi': 'जे. विरजीनिया', 'bn': 'জে. ভার্জিনিয়া'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,João,Virgínia,,
Andy Lonergan,andy-lonergan,A. Lonergan,G,,192,87,M,,10343,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,435369600,,"{'nameTranslation': {'ar': 'آندي لونيرجان', 'hi': 'एंडी लोनेरगन', 'bn': 'অ্যান্ডি লোনারগান'}, 'shortNameTranslation': {'ar': 'آ. لونيرجان', 'hi': 'ए. लोनेरगन', 'bn': 'এ. লোনারগান'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Keane,michael-keane,M. Keane,D,5,188,1521,M,,110846,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,726710400,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل كين', 'hi': 'माइकल कीन', 'bn': 'মাইকেল কিন'}, 'shortNameTranslation': {'ar': 'م. كين', 'hi': 'एम. कीन', 'bn': 'এম. কিন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Chermiti,youssef-chermiti,Y. Chermiti,F,9,192,1566,M,,1145627,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1085356800,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسف شرميطي', 'hi': 'यूसुफ़ चेरमीटी', 'bn': 'ইউসুফ চেরমিতি'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'hi': 'वाई. चेरमीटी', 'bn': 'ওয়াই. চেরমিতি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,arnaut-danjuma,A. Danjuma,F,7,178,3562,M,,827064,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,854668800,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرنوت دانجوما', 'hi': 'अरनौत दानजुमा', 'bn': 'আরনাউত দানজুমা'}, 'shortNameTranslation': {'ar': 'أ. دانجوما', 'hi': 'ए. दानजुमा', 'bn': 'এ. দানজুমা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dobbin,lewis-dobbin,L. Dobbin,F,17,175,444,M,,998832,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1041552000,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دوبين', 'hi': 'लुईस डोबिन', 'bn': 'লুইস ডবিন'}, 'shortNameTranslation': {'ar': 'ل. دوبين', 'hi': 'एल. डोबिन', 'bn': 'এল. ডবিন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",35.0,34.0,2.0,2.0,34.0,35.0,,,6.0,,3.0,3.0,90.0,44.0,6.9,1.0,0.00010666,,"{'original': 6.9, 'alternative': 6.8}",0,-0.3787,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",73.0,65.0,4.0,2.0,25.0,27.0,40.0,49.0,4.0,,,,90.0,95.0,7.0,13.0,0.0171465,,"{'original': 7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,7.0,6.0,,3.0,1.0,1.0,,5.0,2.0,1.0,,,,,,,1.0,,,,,4.0,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",158.0,147.0,4.0,1.0,89.0,93.0,58.0,65.0,8.0,,,,90.0,168.0,7.2,11.0,0.0269762,,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,5.0,1.0,2.0,2.0,,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",141.0,133.0,13.0,8.0,87.0,89.0,46.0,53.0,7.0,,,,90.0,153.0,7.5,11.0,0.0488803,,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,4.0,3.0,,4.0,,,,2.0,3.0,,,,1.0,,1.0,1.0,2.0,0.119,0.2879,,1.0,,,,,1.0
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,pascalgross65,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",128.0,117.0,4.0,1.0,57.0,60.0,61.0,75.0,3.0,,,,90.0,141.0,7.1,19.0,0.157528,1.0,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,1.0,3.0,1.0,1.0,,,,,2.0,1.0,,,1.0,,,,,,0.0567,,,1.0,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",24.0,22.0,,,13.0,13.0,9.0,11.0,,,,,45.0,25.0,6.6,3.0,0.00444793,,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,billygilmour,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",96.0,88.0,6.0,5.0,49.0,49.0,39.0,47.0,9.0,,,,68.0,101.0,6.9,9.0,0.0306939,,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,
James Milner,james-milner,J. Milner,M,20,175,3314,M,,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",71.0,59.0,5.0,3.0,27.0,31.0,33.0,42.0,5.0,,,,79.0,97.0,7.1,17.0,0.16607,2.0,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,simon.adingra,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",36.0,33.0,,,8.0,9.0,25.0,28.0,4.0,,,,89.0,55.0,6.8,10.0,0.0225972,,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,7.0,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,4.0,2.0,2.0,,,,,,0.0568,,,,1.0,,,2.0,
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,EvanFerguson9,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",9.0,8.0,,,4.0,4.0,4.0,5.0,,,,,68.0,16.0,6.6,3.0,0.0363365,1.0,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,1.0,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,KaoruM,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",38.0,31.0,2.0,1.0,10.0,10.0,21.0,31.0,2.0,,,,90.0,53.0,7.5,15.0,0.0541618,,"{'original': 7.5, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,4.0,6.0,,,,,,,1.0,7.0,4.0,1.0,1.0,,,,1.0,0.1284,0.0395,,2.0,1.0,,,,1.0
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,joaopedro,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",15.0,7.0,2.0,1.0,,1.0,7.0,14.0,1.0,,,,45.0,19.0,6.6,11.0,0.0435232,1.0,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,3.0,,,,,,,3.0,1.0,,,,1.0,,,,0.1457,,,,,,,2.0,
