name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,keyPass,aerialWon,challengeLost,shotOffTarget,aerialLost,totalClearance,wasFouled,totalOffside,unsuccessfulTouch,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,hitWoodwork,bigChanceMissed,goals,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Jason Steele,,,jason-steele,J. Steele,G,23,188,502,M,,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",53.0,48.0,13.0,9.0,0.0,47.0,50.0,3.0,8.0,1.0,3.0,90.0,60.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Joël Veltman,,,joel-veltman,J. Veltman,D,34,184,1159,M,,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",66.0,57.0,3.0,2.0,0.0,43.0,47.0,19.0,6.0,,,90.0,87.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,3.0,6.0,,1.0,1.0,1.0,3.0,3.0,1.0,,1.0,2.0,,,5.0,1.0,,2.0,,,,,,,,,,2.0
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",102.0,98.0,4.0,3.0,0.0,90.0,93.0,9.0,4.0,,,90.0,111.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,,3.0,4.0,,,,1.0,2.0,,,,2.0,2.0,,1.0,3.0,,,,,,,,,,,,,2.0
Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190,1872,M,,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",94.0,86.0,15.0,10.0,0.0,74.0,77.0,17.0,11.0,,,90.0,102.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,12.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0
Tariq Lamptey,,,lamptey-tariq,T. Lamptey,D,48,165,4099,M,TariqLamptey,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",42.0,36.0,2.0,1.0,2.0,22.0,25.0,17.0,3.0,,,77.0,54.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,3.0,2.0,,2.0,1.0,,1.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
Pascal Groß,,,pascal-gross,P. Groß,M,13,181,4485,M,pascalgross65,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",100.0,98.0,5.0,5.0,0.0,65.0,65.0,35.0,6.0,,,90.0,113.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,33.0,,4.0,2.0,,2.0,1.0,,1.0,,1.0,,,2.0,,,,,,3.0,,2.0,,,,,1.0,,,
Mahmoud Dahoud,,,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",48.0,42.0,4.0,2.0,0.0,37.0,38.0,10.0,3.0,,,77.0,55.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,3.0,3.0,1.0,,,,2.0,,,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,1.0
Simon Adingra,,,simon-adingra,S. Adingra,M,24,175,45746,M,simon.adingra,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",29.0,24.0,4.0,2.0,1.0,20.0,22.0,9.0,7.0,,,85.0,44.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,2.0,8.0,5.0,,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,,,1.0,,1.0,4.0,2.0,,,1.0,,,,,,
Adam Lallana,,,adam-lallana,A. Lallana,M,10,172,1265,M,,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",21.0,19.0,,,0.0,12.0,12.0,9.0,2.0,,,64.0,28.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,
Kaoru Mitoma,,,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,KaoruM,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",24.0,20.0,,,0.0,7.0,8.0,18.0,3.0,,,90.0,40.0,5.9,15.0,"{'original': 5.9, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,13.0,2.0,8.0,2.0,,5.0,,1.0,1.0,,,,,3.0,,,,1.0,,3.0,,1.0,,,,1.0,,,,
