name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,shotOffTarget,totalClearance,totalTackle,wonTackle,expectedGoals,keyPass,aerialWon,outfielderBlock,unsuccessfulTouch,wasFouled,fouls,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,challengeLost,bigChanceCreated,totalOffside,totalContest,wonContest,dispossessed,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot,goodHighClaim,punches
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",8.0,5.0,,,1.0,1.0,4.0,8.0,2.0,,,,,79.0,18.0,6.0,8.0,0.0475531,"{'original': 6, 'alternative': 5.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,3.0,,1.0,1.0,,,1.1147,,,,3.0,,,1.0,,,0.9399,,,,1.0,,,2.0,1.0,,,
Mason Mount,,,mason-mount,M. Mount,M,7,181,42056,M,MMount,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",21.0,17.0,1.0,,3.0,4.0,15.0,19.0,6.0,,,,,50.0,33.0,7.2,6.0,0.0867653,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,1.0,,2.0,6.0,,,4.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",5.0,5.0,,,,,5.0,5.0,,,,,,22.0,8.0,7.0,1.0,0.0615372,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",3.0,2.0,,,2.0,2.0,,1.0,,,,,,11.0,4.0,6.6,1.0,2.277e-05,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",2.0,1.0,,,,,1.0,2.0,,,,,,11.0,3.0,6.5,2.0,0.00032885,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182,19155,M,hannibal_mj,1009386,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,1043107200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حنبعل المجبري', 'hi': 'हैनिबल मेजब्री', 'bn': 'হ্যানিবল মেজব্রি'}, 'shortNameTranslation': {'ar': 'ح. المجبري', 'hi': 'एच. मेजब्री', 'bn': 'এইচ. মেজব্রি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,558,M,,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",30.0,15.0,18.0,4.0,12.0,15.0,3.0,15.0,3.0,3.0,3.0,,,90.0,40.0,7.0,16.0,0.00046344,"{'original': 7, 'alternative': 7.1}",0,0.476,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,793,M,,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",27.0,22.0,4.0,,16.0,17.0,6.0,10.0,2.0,,,,,90.0,45.0,7.1,6.0,0.00129927,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,2.0,4.0,,5.0,3.0,3.0,0.026,,,,,,,1.0,,1.0,0.0903,,,,2.0,1.0,,,,,,
Tom Lockyer,,,tom-lockyer,T. Lockyer,D,12,183,188,M,,197848,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,786412800,"{'value': 405000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",48.0,37.0,8.0,4.0,27.0,31.0,10.0,17.0,4.0,,,,,90.0,63.0,7.2,11.0,0.0171013,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,1.0,2.0,,8.0,1.0,1.0,,,1.0,,,,1.0,,,5.0,,,,,,,,,,,,
Gabriel Osho,,,gabriel-osho,G. Osho,D,3,185,835,M,,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",28.0,22.0,6.0,,14.0,18.0,8.0,10.0,4.0,,,,,90.0,43.0,6.7,7.0,0.0453001,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,1.0,,7.0,,,,,1.0,1.0,,,1.0,,,2.0,,,,,1.0,,,,,,,
Issa Kaboré,,,issa-kabore,I. Kaboré,D,12,180,17342,M,issa_kabore_29,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",23.0,20.0,1.0,,7.0,10.0,14.0,17.0,4.0,,,,,86.0,46.0,6.6,16.0,0.161143,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,2.0,9.0,5.0,,2.0,3.0,2.0,,2.0,,,1.0,,3.0,,,,,1.0,,,4.0,2.0,2.0,,,,,
Marvelous Nakamba,,,marvelous-nakamba,M. Nakamba,M,13,177,1025,M,,556904,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,758937600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارفلوس ناكامبا', 'hi': 'मार्वलस नाकाम्बा', 'bn': 'বিস্ময়কর নাকাম্বা'}, 'shortNameTranslation': {'ar': 'م. ناكامبا', 'hi': 'एम. नाकाम्बा', 'bn': 'এম. নাকাম্বা'}}",22.0,20.0,3.0,3.0,9.0,11.0,11.0,11.0,1.0,,,,,86.0,31.0,6.7,3.0,0.0035023,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,3.0,,,1.0,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,
Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2380,M,,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",44.0,37.0,3.0,2.0,19.0,22.0,18.0,22.0,8.0,,,,,90.0,56.0,6.9,10.0,0.0261089,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,6.0,3.0,1.0,2.0,,,0.0816,2.0,1.0,1.0,,1.0,,,,1.0,,2.0,,,2.0,1.0,2.0,,1.0,,,
Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,576,M,,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",18.0,16.0,2.0,1.0,6.0,6.0,11.0,17.0,4.0,,,,,73.0,35.0,7.1,6.0,0.0364823,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,1.0,,,3.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,
Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,609,M,,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",16.0,10.0,5.0,1.0,3.0,5.0,7.0,13.0,5.0,,,,,60.0,35.0,7.0,12.0,0.00753368,"{'original': 7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,1.0,5.0,5.0,1.0,,3.0,3.0,0.0928,,,,1.0,,,1.0,,2.0,0.2647,1.0,,,4.0,2.0,1.0,,1.0,,,
Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",17.0,14.0,,,6.0,6.0,8.0,13.0,4.0,,,,,86.0,32.0,7.2,7.0,0.0519737,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,1.0,2.0,3.0,,2.0,1.0,1.0,0.0217,2.0,1.0,,1.0,1.0,,1.0,,1.0,0.0287,,,,,,1.0,,,,,
