name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,challengeLost,onTargetScoringAttempt,totalCross,shotOffTarget,blockedScoringAttempt,errorLeadToAShot,unsuccessfulTouch,accurateCross,wonContest,wasFouled,keyPass,bigChanceCreated,sofascoreId,goalAssist,bigChanceMissed,hitWoodwork,totalOffside,goals,ownGoals,clearanceOffLine,lastManTackle
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",6.0,6.0,,,3.0,3.0,3.0,3.0,1.0,,,,,,75.0,21.0,7.3,10.0,0.1749,0.2685,0.00236298,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,9.0,2.0,5.0,2.0,,,,,,1.0,,1.0,,1.0,,,4.0,,1.0,1.0,,,,,,1.0,,1.0,,,
Chris Basham,,,chris-basham,C. Basham,D,,191,57,M,33854,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,585360000,,"{'nameTranslation': {'ar': 'كريس باشام', 'hi': 'क्रिस बाशम', 'bn': 'ক্রিস বাশাম'}, 'shortNameTranslation': {'ar': 'ك. باشام', 'hi': 'सी. बाशम', 'bn': 'সি. বাশাম'}}",13.0,6.0,2.0,,5.0,9.0,1.0,4.0,3.0,,,,,,22.0,18.0,6.8,7.0,0.0,0.0,0.00069143,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,2.0,,,3.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
Luke Thomas,,,luke-thomas,L. Thomas,D,33,178,494,M,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",8.0,5.0,1.0,,4.0,4.0,1.0,4.0,3.0,,,,,,22.0,12.0,6.7,3.0,0.1646,0.693,9.976e-05,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,
Bénie Traoré,Benie Traore,,benie-traore,B. Traore,M,11,172,1364,M,1099792,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1038614400,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيني تراوري', 'hi': 'बेनी ट्राओरे', 'bn': 'বেনি ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्राओरे', 'bn': 'বি. ট্রাওরে'}}",3.0,2.0,,,,,2.0,3.0,,,,,,,15.0,8.0,6.2,5.0,0.0,0.0,0.0670713,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,3.0,,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
Adam Davies,,,adam-davies,A. Davies,G,17,185,115,M,288997,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,711331200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ديفيز', 'hi': 'एडम डेविस', 'bn': 'অ্যাডাম ডেভিস'}, 'shortNameTranslation': {'ar': 'آ. ديفيز', 'hi': 'ए. डेविस', 'bn': 'এ. ডেভিস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,,,jordan-pickford,J. Pickford,G,1,185,7467,M,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",29.0,13.0,20.0,5.0,9.0,10.0,4.0,19.0,15.0,2.0,6.0,6.0,2.0,2.0,90.0,47.0,7.6,16.0,0.0,0.0,0.00569926,"{'original': 7.6, 'alternative': 7.4}",0,-0.0237,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,jpickford1,,,,,,1.0,,
Nathan Patterson,Nathan,Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",57.0,44.0,6.0,5.0,22.0,24.0,23.0,37.0,5.0,,,,,,90.0,87.0,7.8,21.0,0.0,0.0,0.464232,"{'original': 7.8, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,6.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,,,,2.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0
James Tarkowski,,,james-tarkowski,J. Tarkowski,D,6,185,2332,M,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",53.0,43.0,11.0,5.0,24.0,25.0,19.0,28.0,5.0,,,,,,89.0,65.0,7.0,10.0,0.0,0.0,0.00391596,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,2.0,1.0,5.0,,,4.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",47.0,41.0,2.0,2.0,30.0,33.0,11.0,14.0,7.0,,,,,,90.0,58.0,6.8,6.0,0.0,0.0,0.00175874,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,6.0,6.0,9.0,,,4.0,,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
Ashley Young,,,ashley-young,A. Young,D,15,180,1765,M,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",60.0,37.0,6.0,1.0,17.0,23.0,24.0,46.0,11.0,,,,,,90.0,101.0,7.3,33.0,0.0729,0.1039,0.135524,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,7.0,8.0,,1.0,2.0,,1.0,4.0,4.0,1.0,3.0,1.0,9.0,,,,,4.0,,3.0,2.0,,,,,,,,,,
James Garner,,,james-garner,J. Garner,M,37,182,2524,M,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",13.0,9.0,2.0,,3.0,4.0,6.0,13.0,3.0,,,,,,75.0,25.0,6.6,11.0,0.0,0.0,0.0125985,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,3.0,,2.0,,,,2.0,2.0,1.0,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,
Idrissa Gueye,,,idrissa-gueye,I. Gueye,M,27,174,17031,M,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",57.0,50.0,2.0,2.0,24.0,27.0,26.0,30.0,8.0,,,,,,90.0,70.0,7.1,10.0,0.0,0.0,0.0184259,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,6.0,1.0,2.0,,,1.0,3.0,3.0,1.0,,,,,,,1.0,,1.0,2.0,,,iganagueye,,,,,,,,
Amadou Onana,,,amadou-onana,A. Onana,M,24,195,6827,M,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",44.0,37.0,3.0,2.0,15.0,16.0,22.0,30.0,2.0,,,,,,90.0,58.0,7.2,12.0,0.0467,0.0,0.0197138,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,6.0,3.0,11.0,,,2.0,,,2.0,2.0,2.0,,,2.0,,1.0,,2.0,,,3.0,1.0,1.0,its_onana,,,,,,,,
Arnaut Danjuma,,,arnaut-danjuma,A. Danjuma,F,7,178,3562,M,827064,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,854668800,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرنوت دانجوما', 'hi': 'अरनौत दानजुमा', 'bn': 'আরনাউত দানজুমা'}, 'shortNameTranslation': {'ar': 'أ. دانجوما', 'hi': 'ए. दानजुमा', 'bn': 'এ. দানজুমা'}}",26.0,19.0,1.0,,4.0,7.0,15.0,20.0,8.0,,,,,,90.0,37.0,7.5,8.0,1.1,1.6659,0.0218546,"{'original': 7.5, 'alternative': 7.3}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,3.0,5.0,,1.0,,,,1.0,,1.0,,2.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,
Abdoulaye Doucouré,,,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",46.0,37.0,3.0,2.0,19.0,19.0,18.0,28.0,8.0,,,,,,90.0,60.0,7.6,12.0,1.0729,1.9107,0.0317533,"{'original': 7.6, 'alternative': 7.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,5.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,,2.0,,,,1.0,,1.0,1.0,,,
