name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,unsuccessfulTouch,fouls,sofascoreId,aerialLost,aerialWon,dispossessed,shotOffTarget,totalTackle,expectedGoals,firstName,lastName,challengeLost,wasFouled,accurateCross,wonTackle,errorLeadToAShot,keyPass,blockedScoringAttempt,outfielderBlock,goalAssist,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,hitWoodwork,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,16724,M,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",27.0,22.0,2.0,2.0,11.0,12.0,11.0,15.0,4.0,,,90.0,44.0,7.6,12.0,0.0270422,"{'original': 7.6, 'alternative': 7.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,10.0,7.0,3.0,2.0,,1.0,3.0,1.0,RJimenez9,4.0,4.0,3.0,1.0,,0.4507,,,1.0,1.0,,,,1.0,2.0,,,,2.0,0.4251,1.0,3.0,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",10.0,5.0,1.0,1.0,1.0,3.0,5.0,10.0,2.0,,,18.0,16.0,6.8,7.0,0.0233801,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,,,,,,,andreaspereira,,,,1.0,,0.0793,,,,,1.0,,,,,,,,,,,,1.0,,,
Issa Diop,issa-diop,I. Diop,D,31,194,855,M,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",2.0,1.0,,,,,1.0,2.0,,,,11.0,4.0,6.7,1.0,0.00078674,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,11.0,6.0,7.1,,0.00056293,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,1.0,,,,,,,,1.0,1.0,0.0335,,,,1.0,,1.0,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Tete,kenny-tete,K. Tete,D,2,180,1091,M,190877,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,813196800,"{'value': 11900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيني تيتي', 'hi': 'केनी टेटे', 'bn': 'কেনি টেটে'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'hi': 'के. टेटे', 'bn': 'কে. টেটে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,RodrigoMuniz019,,,,,,,,,,,,,,,,,,,,,,,,,,
David Raya,david-raya,D. Raya,G,1,183,25247,M,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",23.0,17.0,8.0,2.0,16.0,16.0,1.0,7.0,6.0,1.0,2.0,90.0,29.0,6.7,6.0,0.00020611,"{'original': 6.7, 'alternative': 6.6}",0,-0.9829,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,d_raya1,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Ben White,benjamin-white,B. White,D,4,186,13312,M,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",50.0,46.0,1.0,,27.0,27.0,19.0,24.0,3.0,,,67.0,55.0,6.4,5.0,0.0121351,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,,,,,,,benwhite,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",104.0,95.0,2.0,,58.0,62.0,37.0,42.0,8.0,,,90.0,114.0,6.4,11.0,0.0164012,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,3.0,,,3.0,1.0,1.0,2.0,WSaliba4,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",97.0,88.0,2.0,1.0,53.0,56.0,35.0,41.0,9.0,,,90.0,114.0,7.4,11.0,0.0187354,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,5.0,,,3.0,2.0,2.0,2.0,GabrielMagalhães,3.0,2.0,,,3.0,,,,,,,2.0,,,,3.0,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",26.0,24.0,1.0,1.0,13.0,13.0,11.0,13.0,2.0,,,45.0,35.0,6.7,3.0,0.0125967,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,3.0,,,1.0,1.0,,,j_kiwior,1.0,,,,3.0,,,,1.0,,,2.0,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",67.0,61.0,,,25.0,25.0,37.0,44.0,4.0,,,90.0,82.0,7.1,11.0,0.279739,"{'original': 7.1, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,6.0,4.0,3.0,2.0,1.0,,1.0,1.0,Ødegaard,1.0,,2.0,2.0,,0.1127,,,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",103.0,97.0,1.0,,40.0,42.0,57.0,63.0,3.0,,,90.0,117.0,7.6,9.0,0.0941681,"{'original': 7.6, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,4.0,5.0,3.0,3.0,2.0,,1.0,,DeclanRice,3.0,1.0,,1.0,1.0,0.03,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",30.0,26.0,,,13.0,15.0,13.0,15.0,5.0,,,77.0,37.0,6.5,6.0,0.00964214,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,1.0,,,1.0,1.0,1.0,KaiHav,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",42.0,33.0,5.0,2.0,7.0,9.0,26.0,41.0,3.0,,,90.0,69.0,6.8,25.0,0.0857254,"{'original': 6.8, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,9.0,3.0,5.0,1.0,,,2.0,1.0,BSaka7,,,2.0,1.0,1.0,1.0187,,,2.0,1.0,,,,1.0,1.0,,,,1.0,0.9872,1.0,,,,,1.0
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",11.0,7.0,1.0,,2.0,3.0,5.0,8.0,2.0,,,90.0,23.0,6.8,9.0,0.00881391,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,6.0,1.0,,,1.0,3.0,1.0,EN9,,2.0,1.0,1.0,1.0,0.1487,,,,3.0,,1.0,,,,,,,1.0,0.0658,,,,,,
