name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,shotOffTarget,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,errorLeadToAShot,keyPass,firstName,lastName,unsuccessfulTouch,sofascoreId,goalAssist,accurateCross,totalContest,bigChanceCreated,blockedScoringAttempt,dispossessed,outfielderBlock,totalOffside,wonContest,goals,goodHighClaim,punches,bigChanceMissed
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",42.0,29.0,5.0,4.0,4.0,7.0,30.0,44.0,2.0,9.0,,9.0,2.0,,,,,90.0,68.0,7.9,25.0,0.0658,0.3247,0.392527,"{'original': 7.9, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,2.0,7.0,,1.0,1.0,,2.0,1.0,1.0,,4.0,,,4.0,Morgangibbs27,,5.0,7.0,,,,,,3.0,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",12.0,10.0,1.0,,4.0,4.0,6.0,9.0,,1.0,1.0,3.0,,,,,,21.0,20.0,6.8,4.0,0.0,0.0,0.0128264,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",7.0,4.0,,,2.0,4.0,2.0,4.0,,1.0,,2.0,,,,,,21.0,15.0,6.5,6.0,0.0314,0.0,0.00351387,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,,,,,,,,,,1.0,anthonyelanga,,,2.0,,1.0,,,,1.0,,,,
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",5.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,1.0,,,,,,16.0,7.0,7.3,3.0,0.1185,0.0795,0.00565725,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,2.0,,,1.0,,,,,,,,,1.0,wodsy39,,,,,,,,,,1.0,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",,,,,,,,,,1.0,,,,,,,,9.0,1.0,6.7,,0.0,0.0,0.0,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,1.0,1.0,,,,,,,niakhate,,,,,,,,,,,,,
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",5.0,3.0,,,2.0,2.0,1.0,3.0,1.0,2.0,,1.0,,,,,,9.0,6.0,6.7,2.0,0.0,0.0,4.604e-05,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
Ethan Horvath,ethan-horvath,E. Horvath,G,24,194,402,M,343013,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,802656000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان هورفاث', 'hi': 'एथन होर्वाथ', 'bn': 'ইথান হোরভাথ'}, 'shortNameTranslation': {'ar': 'إ. هورفاث', 'hi': 'ई. होर्वाथ', 'bn': 'ই. হোরভাথ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remo Freuler,remo-freuler,R. Freuler,M,8,181,1944,M,115516,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,703296000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمو فريلر', 'hi': 'रेमो फ्र्यूलर', 'bn': 'রেমো ফ্রেউলার'}, 'shortNameTranslation': {'ar': 'ر. فريلر', 'hi': 'आर. फ्र्यूलर', 'bn': 'আর. ফ্রেউলার'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ui-Jo Hwang,ui-jo-hwang,U. Hwang,F,16,186,1052,M,791314,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,714960000,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'وي-جو هوانغ', 'hi': 'उई-जो ह्वांग', 'bn': 'উই-জো হোয়াং'}, 'shortNameTranslation': {'ar': 'و. هوانغ', 'hi': 'यू. ह्वांग', 'bn': 'ইউ. হোয়াং'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",30.0,18.0,16.0,4.0,15.0,18.0,3.0,12.0,,1.0,1.0,10.0,,1.0,2.0,1.0,,90.0,40.0,6.7,12.0,0.0,0.0,0.00052924,"{'original': 6.7, 'alternative': 6.4}",0,0.0504,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,
Anel Ahmedhodžić,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",55.0,41.0,4.0,2.0,27.0,32.0,14.0,24.0,5.0,9.0,4.0,3.0,,,,,,90.0,74.0,6.9,17.0,0.0727,0.0,0.00495412,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,9.0,3.0,,,1.0,3.0,3.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,
John Egan,john-egan,J. Egan,D,15,185,214,M,100578,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,719539200,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون إيغن', 'hi': 'जॉन एगन', 'bn': 'জন ইগান'}, 'shortNameTranslation': {'ar': 'ج. إيغن', 'hi': 'जे. एगन', 'bn': 'জে. ইগান'}}",45.0,35.0,3.0,1.0,30.0,33.0,5.0,12.0,5.0,6.0,2.0,4.0,,,,,,90.0,57.0,6.7,11.0,0.0,0.0,0.00107387,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,4.0,1.0,,,4.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
Jack Robinson,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",46.0,35.0,9.0,5.0,19.0,23.0,16.0,24.0,1.0,4.0,1.0,8.0,1.0,,,,,90.0,65.0,7.0,14.0,0.0346,0.0,0.0257876,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,1.0,1.0,,4.0,2.0,2.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,
Ben Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",41.0,33.0,4.0,2.0,13.0,15.0,21.0,31.0,2.0,4.0,4.0,8.0,,,,,,90.0,73.0,6.4,19.0,0.0,0.0,0.0901391,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,2.0,8.0,1.0,,,,2.0,1.0,,,,Ben,Osborn,,,,1.0,3.0,,,2.0,,,,,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",74.0,58.0,13.0,2.0,28.0,29.0,31.0,49.0,1.0,4.0,1.0,9.0,,,,,,90.0,88.0,6.8,21.0,0.0,0.0,0.186279,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,1.0,,,,1.0,3.0,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,
Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",36.0,29.0,2.0,1.0,20.0,27.0,9.0,10.0,1.0,6.0,,8.0,,,,,,58.0,50.0,7.3,8.0,0.0558,0.449,0.00349588,"{'original': 7.3, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,2.0,,1.0,1.0,2.0,5.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,
Max Lowe,max-lowe,M. Lowe,D,3,175,114,M,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",6.0,2.0,1.0,1.0,,1.0,2.0,5.0,1.0,1.0,,,,,,,,45.0,11.0,6.4,6.0,0.0,0.0,0.00384393,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,6.0,,,,,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",42.0,31.0,6.0,3.0,5.0,7.0,28.0,40.0,,3.0,1.0,3.0,1.0,,,,,90.0,61.0,7.5,19.0,0.0244,0.4588,0.11624,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,3.0,,,1.0,2.0,1.0,,1.0,,1.0,,,3.0,,,2.0,2.0,,,1.0,,,1.0,1.0,,,
Bénie Traoré,benie-traore,B. Traore,M,11,172,1364,M,1099792,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1038614400,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيني تراوري', 'hi': 'बेनी ट्राओरे', 'bn': 'বেনি ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्राओरे', 'bn': 'বি. ট্রাওরে'}}",14.0,13.0,,,7.0,8.0,6.0,7.0,,3.0,,3.0,1.0,,,,,82.0,29.0,5.9,10.0,0.2676,0.6183,0.0308713,"{'original': 5.9, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,10.0,1.0,,1.0,,,,1.0,,,Benie Traore,,1.0,,,,7.0,,,1.0,,1.0,2.0,,,,1.0
