name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,aerialLost,duelWon,totalTackle,wonTackle,wasFouled,keyPass,aerialWon,interceptionWon,sofascoreId,totalContest,wonContest,dispossessed,bigChanceCreated,fouls,accurateCross,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,totalOffside,goals,outfielderBlock,goodHighClaim,blockedScoringAttempt,bigChanceMissed,hitWoodwork
Nick Pope,nick-pope,N. Pope,G,1,198,4568,M,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",22.0,16.0,9.0,3.0,15.0,16.0,1.0,6.0,1.0,1.0,2.0,13.0,1.0,1.0,2.0,90.0,39.0,6.7,6.0,0.0,0.0,0.00011998,"{'original': 6.7, 'alternative': 6.4}",0,-0.6876,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,,,1.0,,,,npope29,,,,,,,,,,,,,3.0,,,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",98.0,88.0,10.0,8.0,52.0,55.0,40.0,50.0,2.0,1.0,,6.0,,,,90.0,122.0,8.2,14.0,0.0,0.0,0.434414,"{'original': 8.2, 'alternative': 8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,7.0,,5.0,1.0,1.0,1.0,5.0,3.0,,ktrippier2,,,,1.0,1.0,4.0,,,,,,,,,,
Jamaal Lascelles,jamaal-lascelles,J. Lascelles,D,6,188,970,M,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",75.0,64.0,6.0,1.0,48.0,51.0,16.0,24.0,4.0,,3.0,5.0,,,,90.0,82.0,6.5,11.0,0.0,0.0,0.00651858,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,3.0,9.0,2.0,,1.0,,6.0,,,,,,,2.0,,,,,,,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",70.0,60.0,10.0,4.0,48.0,52.0,12.0,18.0,8.0,,9.0,6.0,,,,90.0,84.0,6.5,11.0,0.0,0.0,0.00485839,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,6.0,3.0,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",51.0,42.0,2.0,1.0,32.0,34.0,11.0,18.0,7.0,1.0,3.0,5.0,,,,90.0,78.0,7.2,12.0,0.2403,0.1952,0.186109,"{'original': 7.2, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,5.0,2.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",41.0,33.0,3.0,1.0,19.0,23.0,14.0,18.0,6.0,2.0,,6.0,,,,90.0,48.0,6.2,10.0,0.0,0.0,0.0130942,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,3.0,,,3.0,,,,,,,2.0,,2.0,,,,,1.0,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",89.0,82.0,10.0,8.0,39.0,40.0,43.0,50.0,6.0,,1.0,3.0,,,,90.0,100.0,6.8,11.0,0.0201,0.0,0.0869239,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,BrunoGuimarães,,,3.0,,2.0,,1.0,,,,,,,,,
Sandro Tonali,sandro-tonali,S. Tonali,M,8,181,14020,M,892673,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,957744000,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندرو تونالي', 'hi': 'सैंड्रो टोनाली', 'bn': 'সান্দ্রো টোনালি'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'hi': 'एस. टोनाली', 'bn': 'এস. টোনালি'}}",57.0,52.0,2.0,1.0,18.0,20.0,34.0,39.0,3.0,,,6.0,,,,90.0,63.0,6.8,7.0,0.0,0.0,0.020435,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,,3.0,1.0,1.0,2.0,1.0,,,sandrotonali,,,,,3.0,,,,,,,,,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",42.0,36.0,,,7.0,9.0,29.0,34.0,1.0,,,1.0,,,,82.0,49.0,6.7,11.0,0.0156,0.0,0.0227882,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,1.0,,,1.0,,,,miguel_almiron,,,,,1.0,,1.0,3.0,,,,,,,,
Alexander Isak,alexander-isak,A. Isak,F,9,193,101689,M,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",21.0,17.0,,,6.0,6.0,11.0,15.0,5.0,1.0,,1.0,,,,86.0,33.0,8.4,6.0,1.6024,1.2862,0.0100872,"{'original': 8.4, 'alternative': 8.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,6.0,,,1.0,,1.0,,AlexIsak,6.0,4.0,,,1.0,,1.0,,2.0,,2.0,,,,1.0,1.0
